"","code","coding_system","description","entity","list_name","upload_date"
"1","I21  ","ICD-10","Acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"2","I21.0  ","ICD-10","Acute transmural myocardial infarction of anterior wall","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"3","I21.1  ","ICD-10","Acute transmural myocardial infarction of inferior wall","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"4","I21.2 ","ICD-10","Acute transmural myocardial infarction of other sites","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"5","I21.3 ","ICD-10","Acute transmural myocardial infarction of unspecified site ","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"6","I21.4","ICD-10","Acute subendocardial myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"7","I21.9 ","ICD-10","Acute myocardial infarction; unspecified","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"8","I22","ICD-10"," Subsequent myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"9","I22.0 ","ICD-10","Subsequent myocardial infarction of anterior wall ","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"10","I22.1","ICD-10","Subsequent myocardial infarction of inferior wall","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"11","I22.8 ","ICD-10","Subsequent myocardial infarction of other sites","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"12","I22.9 ","ICD-10","Subsequent myocardial infarction of unspecified site","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"13","I23 ","ICD-10","Certain current complications following acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"14","I23.0","ICD-10"," Haemopericardium as current complication following acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"15","I23.1 ","ICD-10","Atrial septal defect as current complication following acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"16","I23.2 ","ICD-10","Ventricular septal defect as current complication following acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"17","I23.3 ","ICD-10","Rupture of cardiac wall without haemopericardium as current complication following acute myocardial ","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"18","I23.4 ","ICD-10","Rupture of chordae tendineae as current complication following acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"19","I23.5 ","ICD-10","Rupture of papillary muscle as current complication following acute myocardial infarction ","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"20","I23.6 ","ICD-10","Thrombosis of atrium; auricular appendage; and ventricle as current complications following acute my","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
"21","I23.8 ","ICD-10","Other current complications following acute myocardial infarction","diagnostic","131 - myocardial infarction - icd10","2014-06-23"
