"","code","coding_system","description","entity","list_name","upload_date"
"1",410,"ICD-9","Acute myocardial infarction of anterolateral wall; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"2",410.01,"ICD-9","Acute myocardial infarction of anterolateral wall; initial episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"3",410.02,"ICD-9","Acute myocardial infarction of anterolateral wall; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"4",410.1,"ICD-9","Acute myocardial infarction of other anterior wall; episode of care unspecified ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"5",410.11,"ICD-9","Acute myocardial infarction of other anterior wall; initial episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"6",410.12,"ICD-9","Acute myocardial infarction of other anterior wall; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"7",410.2,"ICD-9","Acute myocardial infarction of inferolateral wall; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"8",410.21,"ICD-9","Acute myocardial infarction of inferolateral wall; initial episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"9",410.22,"ICD-9","Acute myocardial infarction of inferolateral wall; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"10",410.3,"ICD-9","Acute myocardial infarction of inferoposterior wall; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"11",410.31,"ICD-9","Acute myocardial infarction of inferoposterior wall; initial episode of care    ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"12",410.32,"ICD-9","Acute myocardial infarction of inferoposterior wall; subsequent episode of care    ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"13",410.4,"ICD-9","Acute myocardial infarction of other inferior wall; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"14",410.41,"ICD-9"," Acute myocardial infarction of other inferior wall; initial episode of care ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"15",410.42,"ICD-9","Acute myocardial infarction of other inferior wall; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"16",410.5,"ICD-9","Acute myocardial infarction of other lateral wall; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"17",410.51,"ICD-9","Acute myocardial infarction of other lateral wall; initial episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"18",410.52,"ICD-9","Acute myocardial infarction of other lateral wall; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"19",410.6,"ICD-9","True posterior wall infarction; episode of care unspecified ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"20",410.61,"ICD-9","True posterior wall infarction; initial episode of care       ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"21",410.62,"ICD-9","True posterior wall infarction; subsequent episode of care ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"22",410.7,"ICD-9","Subendocardial infarction; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"23",410.71,"ICD-9","Subendocardial infarction; initial episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"24",410.72,"ICD-9","Subendocardial infarction; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"25",410.8,"ICD-9","Acute myocardial infarction of other specified sites; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"26",410.81,"ICD-9","Acute myocardial infarction of other specified sites; initial episode of care   ","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"27",410.82,"ICD-9","Acute myocardial infarction of other specified sites; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"28",410.9,"ICD-9","Acute myocardial infarction of unspecified site; episode of care unspecified","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"29",410.91,"ICD-9","Acute myocardial infarction of unspecified site; initial episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
"30",410.92,"ICD-9","Acute myocardial infarction of unspecified site; subsequent episode of care","diagnostic","132 - myocardial infarction - icd9","2014-06-23"
