"","code","coding_system","description","entity","list_name","upload_date"
"1","323..00","Read","ECG: myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"2","323Z.00","Read","ECG: myocardial infarct NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"3","G30..00","Read","Acute myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"4","G300.00","Read","Acute anterolateral infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"5","G301.00","Read","Other specified anterior myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"6","G301000","Read","Acute anteroapical infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"7","G301100","Read","Acute anteroseptal infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"8","G30..12","Read","Coronary thrombosis","diagnostic","130 - myocardial infarction - read","2014-06-23"
"9","G30..13","Read","Cardiac rupture following myocardial infarction (MI)","diagnostic","130 - myocardial infarction - read","2014-06-23"
"10","G30..15","Read","MI - acute myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"11","G30..16","Read","Thrombosis - coronary","diagnostic","130 - myocardial infarction - read","2014-06-23"
"12","G30..17","Read","Silent myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"13","G301z00","Read","Anterior myocardial infarction NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"14","G302.00","Read","Acute inferolateral infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"15","G303.00","Read","Acute inferoposterior infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"16","G304.00","Read","Posterior myocardial infarction NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"17","G305.00","Read","Lateral myocardial infarction NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"18","G306.00","Read","True posterior myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"19","G307.00","Read","Acute subendocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"20","G307000","Read","Acute non-Q wave infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"21","G307100","Read","Acute non-ST segment elevation myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"22","G308.00","Read","Inferior myocardial infarction NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"23","G309.00","Read","Acute Q-wave infarct","diagnostic","130 - myocardial infarction - read","2014-06-23"
"24","G30B.00","Read","Acute posterolateral myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"25","G30X.00","Read","Acute transmural myocardial infarction of unspecif site","diagnostic","130 - myocardial infarction - read","2014-06-23"
"26","G30X000","Read","Acute ST segment elevation myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"27","G30y.00","Read","Other acute myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"28","G30y100","Read","Acute papillary muscle infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"29","G30y200","Read","Acute septal infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"30","G30yz00","Read","Other acute myocardial infarction NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"31","G30z.00","Read","Acute myocardial infarction NOS","diagnostic","130 - myocardial infarction - read","2014-06-23"
"32","G311000","Read","Myocardial infarction aborted","diagnostic","130 - myocardial infarction - read","2014-06-23"
"33","G311011","Read","MI - myocardial infarction aborted","diagnostic","130 - myocardial infarction - read","2014-06-23"
"34","G311500","Read","Acute coronary syndrome","diagnostic","130 - myocardial infarction - read","2014-06-23"
"35","G35..00","Read","Subsequent myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"36","G350.00","Read","Subsequent myocardial infarction of anterior wall","diagnostic","130 - myocardial infarction - read","2014-06-23"
"37","G351.00","Read","Subsequent myocardial infarction of inferior wall","diagnostic","130 - myocardial infarction - read","2014-06-23"
"38","G353.00","Read","Subsequent myocardial infarction of other sites","diagnostic","130 - myocardial infarction - read","2014-06-23"
"39","G35X.00","Read","Subsequent myocardial infarction of unspecified site","diagnostic","130 - myocardial infarction - read","2014-06-23"
"40","G360.00","Read","Haemopericardium/current comp folow acut myocard infarct","diagnostic","130 - myocardial infarction - read","2014-06-23"
"41","G362.00","Read","Ventric septal defect/curr comp fol acut myocardal infarctn","diagnostic","130 - myocardial infarction - read","2014-06-23"
"42","G363.00","Read","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","diagnostic","130 - myocardial infarction - read","2014-06-23"
"43","G364.00","Read","Ruptur chordae tendinae/curr comp fol acute myocard infarct","diagnostic","130 - myocardial infarction - read","2014-06-23"
"44","G365.00","Read","Rupture papillary muscle/curr comp fol acute myocard infarct","diagnostic","130 - myocardial infarction - read","2014-06-23"
"45","G38..00","Read","Postoperative myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"46","G380.00","Read","Postoperative transmural myocardial infarction anterior wall","diagnostic","130 - myocardial infarction - read","2014-06-23"
"47","G381.00","Read","Postoperative transmural myocardial infarction inferior wall","diagnostic","130 - myocardial infarction - read","2014-06-23"
"48","G384.00","Read","Postoperative subendocardial myocardial infarction","diagnostic","130 - myocardial infarction - read","2014-06-23"
"49","G38z.00","Read","Postoperative myocardial infarction; unspecified","diagnostic","130 - myocardial infarction - read","2014-06-23"
"50","G574011","Read","Cardiac arrest-ventricular fibrillation","diagnostic","130 - myocardial infarction - read","2014-06-23"
"51","G575.00","Read","Cardiac arrest","diagnostic","130 - myocardial infarction - read","2014-06-23"
"52","G575000","Read","Cardiac arrest with successful resuscitation","diagnostic","130 - myocardial infarction - read","2014-06-23"
"53","G575100","Read","Sudden cardiac death; so described","diagnostic","130 - myocardial infarction - read","2014-06-23"
"54","G575.11","Read","Cardio-respiratory arrest","diagnostic","130 - myocardial infarction - read","2014-06-23"
"55","G575.12","Read","Asystole","diagnostic","130 - myocardial infarction - read","2014-06-23"
"56","G575z00","Read","Cardiac arrest; unspecified","diagnostic","130 - myocardial infarction - read","2014-06-23"
"57","Gyu3400","Read","[X]Acute transmural myocardial infarction of unspecif site","diagnostic","130 - myocardial infarction - read","2014-06-23"
"58","Gyu3600","Read","[X]Subsequent myocardial infarction of unspecified site","diagnostic","130 - myocardial infarction - read","2014-06-23"
