"","code","coding_system","description","entity","list_name","upload_date"
"1","M16..00","Read","Psoriasis and similar disorders","diagnostic","129 - psoriasis","2014-06-23"
"2","M161.00","Read","Other psoriasis","diagnostic","129 - psoriasis","2014-06-23"
"3","M161000","Read","Psoriasis unspecified","diagnostic","129 - psoriasis","2014-06-23"
"4","M161100","Read","Psoriasis annularis","diagnostic","129 - psoriasis","2014-06-23"
"5","M161200","Read","Psoriasis circinata","diagnostic","129 - psoriasis","2014-06-23"
"6","M161300","Read","Psoriasis diffusa","diagnostic","129 - psoriasis","2014-06-23"
"7","M161400","Read","Psoriasis discoidea","diagnostic","129 - psoriasis","2014-06-23"
"8","M161500","Read","Psoriasis geographica","diagnostic","129 - psoriasis","2014-06-23"
"9","M161600","Read","Guttate psoriasis","diagnostic","129 - psoriasis","2014-06-23"
"10","M161700","Read","Psoriasis gyrata","diagnostic","129 - psoriasis","2014-06-23"
"11","M161800","Read","Psoriasis inveterata","diagnostic","129 - psoriasis","2014-06-23"
"12","M161900","Read","Psoriasis ostracea","diagnostic","129 - psoriasis","2014-06-23"
"13","M161A00","Read","Psoriasis palmaris","diagnostic","129 - psoriasis","2014-06-23"
"14","M161B00","Read","Psoriasis plantaris","diagnostic","129 - psoriasis","2014-06-23"
"15","M161C00","Read","Psoriasis punctata","diagnostic","129 - psoriasis","2014-06-23"
"16","M161E00","Read","Psoriasis universalis","diagnostic","129 - psoriasis","2014-06-23"
"17","M161F00","Read","Psoriasis vulgaris","diagnostic","129 - psoriasis","2014-06-23"
"18","M161F11","Read","Chronic large plaque psoriasis","diagnostic","129 - psoriasis","2014-06-23"
"19","M161H00","Read","Erythrodermic psoriasis","diagnostic","129 - psoriasis","2014-06-23"
"20","M161z00","Read","Psoriasis NOS","diagnostic","129 - psoriasis","2014-06-23"
"21","M16y.00","Read","Other psoriasis and similar disorders","diagnostic","129 - psoriasis","2014-06-23"
"22","M16y000","Read","Scalp psoriasis","diagnostic","129 - psoriasis","2014-06-23"
"23","M16z.00","Read","Psoriasis and similar disorders NOS","diagnostic","129 - psoriasis","2014-06-23"
"24","Myu3000","Read","[X]Other psoriasis","diagnostic","129 - psoriasis","2014-06-23"
