"","code","coding_system","description","entity","list_name","upload_date"
"1","1461","Read","H/O: dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"2","E000.00","Read","Uncomplicated senile dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"3","E001.00","Read","Presenile dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"4","E001000","Read","Uncomplicated presenile dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"5","E00..11","Read","Senile dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"6","E001100","Read","Presenile dementia with delirium","diagnostic","140 - res11: Dementia","2014-07-10"
"7","E00..12","Read","Senile/presenile dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"8","E001200","Read","Presenile dementia with paranoia","diagnostic","140 - res11: Dementia","2014-07-10"
"9","E001300","Read","Presenile dementia with depression","diagnostic","140 - res11: Dementia","2014-07-10"
"10","E001z00","Read","Presenile dementia NOS","diagnostic","140 - res11: Dementia","2014-07-10"
"11","E002.00","Read","Senile dementia with depressive or paranoid features","diagnostic","140 - res11: Dementia","2014-07-10"
"12","E002000","Read","Senile dementia with paranoia","diagnostic","140 - res11: Dementia","2014-07-10"
"13","E002100","Read","Senile dementia with depression","diagnostic","140 - res11: Dementia","2014-07-10"
"14","E002z00","Read","Senile dementia with depressive or paranoid features NOS","diagnostic","140 - res11: Dementia","2014-07-10"
"15","E003.00","Read","Senile dementia with delirium","diagnostic","140 - res11: Dementia","2014-07-10"
"16","E004.00","Read","Arteriosclerotic dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"17","E004000","Read","Uncomplicated arteriosclerotic dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"18","E004100","Read","Arteriosclerotic dementia with delirium","diagnostic","140 - res11: Dementia","2014-07-10"
"19","E004.11","Read","Multi infarct dementia","diagnostic","140 - res11: Dementia","2014-07-10"
"20","E004200","Read","Arteriosclerotic dementia with paranoia","diagnostic","140 - res11: Dementia","2014-07-10"
"21","E004300","Read","Arteriosclerotic dementia with depression","diagnostic","140 - res11: Dementia","2014-07-10"
