"","code","coding_system","description","entity","list_name","upload_date","incidence.percentage","prevalence.percentage"
"1","14A..00","Read","H/O: cardiovascular disease","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.3,0.18
"2","14A3.00","Read","H/O: myocardial infarct <60","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.02,0.13
"3","14A4.00","Read","H/O: myocardial infarct >60","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.01,0.07
"4","14AH.00","Read","H/O: Myocardial infarction in last year","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0,0
"5","322..00","Read","ECG: myocardial ischaemia","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.06,0.01
"6","5543","Read","Coronary arteriograph.abnormal","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.24,0.19
"7","6A2..00","Read","Coronary heart disease annual review","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",5.44,26.13
"8","6A4..00","Read","Coronary heart disease review","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",1.47,3.99
"9","792..00","Read","Coronary artery operations","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.36,0.54
"10","7927100","Read","Repair of aneurysm of coronary artery","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.01,0
"11","7927400","Read","Exploration of coronary artery","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0,0
"12","7927500","Read","Open angioplasty of coronary artery","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.19,0.19
"13","7927z00","Read","Other open operation on coronary artery NOS","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0,0
"14","792A.00","Read","Diagnostic transluminal operations on coronary artery","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0.01,0.01
"15","792A100","Read","Intravascular ultrasound of coronary artery","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0,0
"16","792Ay00","Read","Diagnostic transluminal operation on coronary artery OS","diagnostic","144 - res12: Other Coronary Heart Disease","2014-07-10",0,0
