"","code","coding_system","description","entity","list_name","upload_date"
"1","L7873V","Read","ARTHRALGIA VIRAL","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"2","M160.00","Read","Psoriatic arthropathy","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"3","M160000","Read","Psoriasis spondylitica","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"4","M160100","Read","Distal interphalangeal psoriatic arthropathy","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"5","M160.11","Read","","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"6","M160200","Read","Arthritis mutilans","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"7","M160z00","Read","Psoriatic arthropathy NOS","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"8","N044.00","Read","Chronic post-rheumatic arthropathy","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"9","N044.11","Read","Jaccoud's syndrome","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"10","N044.12","Read","Nodular fibrositis of chronic rheumatic disease","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"11","N045200","Read","Juvenile arthritis in psoriasis","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"12","N045300","Read","Juvenile arthritis in Crohn's disease","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"13","N045400","Read","Juvenile arthritis in ulcerative colitis","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"14","N067.00","Read","Ochronotic arthropathy","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"15","N06y900","Read","Other specified arthropathy of multiple sites","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"16","N20..00","Read","Polymyalgia rheumatica","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"17","Nyu0.00","Read","[X]Infectious arthropathies","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"18","Nyu0000","Read","[X]Other streptococcal arthritis and polyarthritis","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"19","Nyu0100","Read","[X]Arthritis+polyarthritis due/other specfd bacterial agents","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"20","Nyu0200","Read","[X]Arthritis in other infectious and parasitic diseases CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"21","Nyu0300","Read","[X]Other reactive arthropathies","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"22","Nyu0400","Read","[X]Other postinfectious arthropathies in diseases CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"23","Nyu0500","Read","[X]Reactive arthropathy in other diseases CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"24","Nyu1300","Read","[X]Other psoriatic arthropathies","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"25","Nyu1400","Read","[X]Other enteropathic arthropathies","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"26","Nyu1600","Read","[X]Juvenile arthritis in other diseases CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"27","Nyu1700","Read","[X]Other secondary gout","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"28","Nyu1900","Read","[X]Other specified crystal arthropathies","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"29","Nyu1C00","Read","[X]Gouty arthrpathy due/enzym defects+oth inherit disordr CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"30","Nyu1D00","Read","[X]Crystal arthropathy in other metabolic disorders CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"31","Nyu1E00","Read","[X]Arthropathies/oth endocrin;nutritionl+metabolic disorders","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"32","Nyu2B00","Read","[X]Other 2ndry arthrosis/1st carpometacarpal joints;bilaterl","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"33","Nyu2D00","Read","[X]Other specified arthrosis","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"34","Nyu4B00","Read","[X]Arthropathy in hypersensitivity reactions CE","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
"35","7149A","OXMIS","RHEUMATIC ARTHRITIS","diagnostic","149 - res13: Other Inflammatory Arthritis/conditions","2014-07-10"
