"","code","coding_system","description","entity","list_name","upload_date"
"1","2G25.00","Read","O/E - hands - ulnar deviation","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"2","2G25.11","Read","O/E - ulnar deviation","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"3","2G27.00","Read","O/E-hands-rheumatoid spindling","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"4","66H..13","Read","Rheumatoid arthrit. monitoring","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"5","F371200","Read","Polyneuropathy in rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"6","F396400","Read","Myopathy due to rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"7","G5y8.00","Read","Rheumatoid myocarditis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"8","G5yA.00","Read","Rheumatoid carditis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"9","H570.00","Read","Rheumatoid lung","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"10","N005.00","Read","Adult Still's Disease","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"11","N04..00","Read","Rheumatoid arthritis and other inflammatory polyarthropathy","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"12","N040.00","Read","Rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"13","N040000","Read","Rheumatoid arthritis of cervical spine","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"14","N040100","Read","Other rheumatoid arthritis of spine","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"15","N040200","Read","Rheumatoid arthritis of shoulder","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"16","N040500","Read","Rheumatoid arthritis of elbow","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"17","N040600","Read","Rheumatoid arthritis of distal radio-ulnar joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"18","N040700","Read","Rheumatoid arthritis of wrist","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"19","N040800","Read","Rheumatoid arthritis of MCP joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"20","N040900","Read","Rheumatoid arthritis of PIP joint of finger","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"21","N040A00","Read","Rheumatoid arthritis of DIP joint of finger","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"22","N040B00","Read","Rheumatoid arthritis of hip","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"23","N040D00","Read","Rheumatoid arthritis of knee","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"24","N040F00","Read","Rheumatoid arthritis of ankle","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"25","N040G00","Read","Rheumatoid arthritis of subtalar joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"26","N040H00","Read","Rheumatoid arthritis of talonavicular joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"27","N040J00","Read","Rheumatoid arthritis of other tarsal joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"28","N040K00","Read","Rheumatoid arthritis of 1st MTP joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"29","N040N00","Read","Rheumatoid vasculitis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"30","N040P00","Read","Seronegative rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"31","N040Q00","Read","Rheumatoid bursitis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"32","N040R00","Read","Rheumatoid nodule","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"33","N040S00","Read","Rheumatoid arthritis - multiple joint","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"34","N040T00","Read","Flare of rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"35","N041.00","Read","Felty's syndrome","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"36","N042.00","Read","Other rheumatoid arthropathy + visceral/systemic involvement","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"37","N042100","Read","Rheumatoid lung disease","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"38","N042200","Read","Rheumatoid nodule","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"39","N042z00","Read","Rheumatoid arthropathy + visceral/systemic involvement NOS","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"40","N043.00","Read","Juvenile rheumatoid arthritis - Still's disease","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"41","N043000","Read","Juvenile rheumatoid arthropathy unspecified","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"42","N043100","Read","Acute polyarticular juvenile rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"43","N043200","Read","Pauciarticular juvenile rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"44","N043300","Read","Monarticular juvenile rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"45","N043z00","Read","Juvenile rheumatoid arthritis NOS","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"46","N045.00","Read","Other juvenile arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"47","N045000","Read","Juvenile ankylosing spondylitis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"48","N045100","Read","Juvenile seronegative polyarthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"49","N045500","Read","Juvenile rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"50","N045600","Read","Pauciarticular onset juvenile chronic arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"51","N047.00","Read","Seropositive errosive rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"52","N04X.00","Read","Seropositive rheumatoid arthritis; unspecified","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"53","N04y000","Read","Rheumatoid lung","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"54","N04y011","Read","Caplan's syndrome","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"55","N04y012","Read","Fibrosing alveolitis associated with rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"56","N04y200","Read","Adult-onset Still's disease","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"57","N362200","Read","Swan-neck finger deformity","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"58","Nyu1100","Read","[X]Other seropositive rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"59","Nyu1200","Read","[X]Other specified rheumatoid arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"60","Nyu1500","Read","[X]Other juvenile arthritis","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
"61","Nyu1G00","Read","[X]Seropositive rheumatoid arthritis; unspecified","diagnostic","147 - res13: Rheumatoid Arthritis","2014-07-10"
