"","code","coding_system","description","entity","list_name","upload_date"
"1","N220.00","Read","Synovitis and tenosynovitis","diagnostic","150 - res13: Synovitis","2014-07-10"
"2","N220000","Read","Synovitis or tenosynovitis NOS","diagnostic","150 - res13: Synovitis","2014-07-10"
"3","N220Q00","Read","Transient synovitis","diagnostic","150 - res13: Synovitis","2014-07-10"
"4","N220S00","Read","Synovitis of hip","diagnostic","150 - res13: Synovitis","2014-07-10"
"5","N220T00","Read","Synovitis NOS","diagnostic","150 - res13: Synovitis","2014-07-10"
"6","N220V00","Read","Synovitis of knee","diagnostic","150 - res13: Synovitis","2014-07-10"
"7","N220W00","Read","Synovitis of elbow","diagnostic","150 - res13: Synovitis","2014-07-10"
"8","N220X00","Read","Synovitis of shoulder","diagnostic","150 - res13: Synovitis","2014-07-10"
"9","N220z11","Read","Shoulder synovitis","diagnostic","150 - res13: Synovitis","2014-07-10"
"10","N220z12","Read","Synovitis of knee","diagnostic","150 - res13: Synovitis","2014-07-10"
"11","N220z13","Read","Synovitis of elbow","diagnostic","150 - res13: Synovitis","2014-07-10"
