"","code","coding_system","description","entity","list_name","upload_date"
"1","N04..11","Read","Inflammatory polyarthropathy","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"2","N045.00","Read","Other juvenile arthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"3","N045100","Read","Juvenile seronegative polyarthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"4","N04y.00","Read","Other specified inflammatory polyarthropathy","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"5","N04y100","Read","Sero negative arthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"6","N04y111","Read","Sero negative polyarthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"7","N04yz00","Read","Other specified inflammatory polyarthropathy NOS","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"8","N04z.00","Read","Inflammatory polyarthropathy NOS","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"9","N060.11","Read","Endemic polyarthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"10","N062900","Read","Allergic arthritis of multiple sites","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"11","N064900","Read","Transient arthropathy of multiple sites","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"12","N065.00","Read","Unspecified polyarthropathy or polyarthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"13","N065.11","Read","Polyarthropathy NEC","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"14","N065900","Read","Unspecified polyarthropathy of multiple sites","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"15","N065z00","Read","Unspecified polyarthropathy or polyarthritis NOS","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"16","N065z11","Read","Polyarthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"17","N06z900","Read","Arthropathy NOS; of multiple sites","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"18","N090900","Read","Effusion of multiple joints","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"19","N093.00","Read","Palindromic rheumatism","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"20","N093000","Read","Palindromic rheumatism of unspecified site","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"21","N093100","Read","Palindromic rheumatism of the shoulder region","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"22","N093.11","Read","Hench - Rosenberg syndrome","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"23","N093200","Read","Palindromic rheumatism of the upper arm","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"24","N093300","Read","Palindromic rheumatism of the forearm","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"25","N093400","Read","Palindromic rheumatism of the hand","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"26","N093500","Read","Palindromic rheumatism of the pelvic region and thigh","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"27","N093600","Read","Palindromic rheumatism of the lower leg","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"28","N093700","Read","Palindromic rheumatism of the ankle and foot","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"29","N093800","Read","Palindromic rheumatism of other specified site","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"30","N093900","Read","Palindromic rheumatism of multiple sites","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"31","N093z00","Read","Palindromic rheumatism NOS","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"32","N094900","Read","Arthralgia of multiple joints","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"33","N095900","Read","Multiple stiff joints","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"34","Nyu1.00","Read","[X]Inflammatory polyarthropathies","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"35","Nyu1500","Read","[X]Other juvenile arthritis","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"36","7122A","OXMIS","RHEUMATISM PALINDROMIC","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"37","7150SN","OXMIS","ARTHRITIS SERO NEGATIVE","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"38","715 B","OXMIS","POLYARTHRITIS","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
"39","7873DM","OXMIS","POLYARTHRALGIA","diagnostic","148 - res13: Unnamed Inflammatory Arthritis","2014-07-10"
