"","code","coding_system","description","entity","list_name","upload_date"
"1","B10..00","Read","Malignant neoplasm of oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"2","B100.00","Read","Malignant neoplasm of cervical oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"3","B101.00","Read","Malignant neoplasm of thoracic oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"4","B102.00","Read","Malignant neoplasm of abdominal oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"5","B103.00","Read","Malignant neoplasm of upper third of oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"6","B104.00","Read","Malignant neoplasm of middle third of oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"7","B105.00","Read","Malignant neoplasm of lower third of oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"8","B106.00","Read","Malignant neoplasm; overlapping lesion of oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"9","B107.00","Read","Siewert type I adenocarcinoma","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"10","B10y.00","Read","Malignant neoplasm of other specified part of oesophagus","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"11","B10z.00","Read","Malignant neoplasm of oesophagus NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"12","B10z.11","Read","Oesophageal cancer","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"13","B11..00","Read","Malignant neoplasm of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"14","B110.00","Read","Malignant neoplasm of cardia of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"15","B110100","Read","Malignant neoplasm of cardio-oesophageal junction of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"16","B110111","Read","Malignant neoplasm of gastro-oesophageal junction","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"17","B110z00","Read","Malignant neoplasm of cardia of stomach NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"18","B111.00","Read","Malignant neoplasm of pylorus of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"19","B111000","Read","Malignant neoplasm of prepylorus of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"20","B11..11","Read","Gastric neoplasm","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"21","B111100","Read","Malignant neoplasm of pyloric canal of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"22","B111z00","Read","Malignant neoplasm of pylorus of stomach NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"23","B112.00","Read","Malignant neoplasm of pyloric antrum of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"24","B113.00","Read","Malignant neoplasm of fundus of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"25","B114.00","Read","Malignant neoplasm of body of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"26","B115.00","Read","Malignant neoplasm of lesser curve of stomach unspecified","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"27","B116.00","Read","Malignant neoplasm of greater curve of stomach unspecified","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"28","B117.00","Read","Malignant neoplasm; overlapping lesion of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"29","B118.00","Read","Siewert type II adenocarcinoma","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"30","B119.00","Read","Siewert type III adenocarcinoma","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"31","B11y.00","Read","Malignant neoplasm of other specified site of stomach","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"32","B11y000","Read","Malignant neoplasm of anterior wall of stomach NEC","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"33","B11y100","Read","Malignant neoplasm of posterior wall of stomach NEC","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"34","B11yz00","Read","Malignant neoplasm of other specified site of stomach NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"35","B11z.00","Read","Malignant neoplasm of stomach NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"36","BB55.00","Read","[M]Linitisplastica","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"37","BB5C.00","Read","[M]Gastrinoma and carcinomas","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"38","BB5C000","Read","[M]Gastrinoma NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"39","BB5C011","Read","[M]G cell tumour NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"40","BB5C100","Read","[M]Gastrinoma; malignant","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
"41","BB5Cz00","Read","[M]Gastrinoma or carcinoma NOS","diagnostic","151 - res14: Upper gastrointestinal malignancy","2014-07-10"
