"","code","coding_system","description","entity","list_name","upload_date"
"1","14A5.00","Read","H/O: angina pectoris","diagnostic","153 - res15: Angina","2014-07-14"
"2","14AJ.00","Read","H/O: Angina in last year","diagnostic","153 - res15: Angina","2014-07-14"
"3","G311.00","Read","Preinfarction syndrome","diagnostic","153 - res15: Angina","2014-07-14"
"4","G311100","Read","Unstable angina","diagnostic","153 - res15: Angina","2014-07-14"
"5","G311.11","Read","Crescendo angina","diagnostic","153 - res15: Angina","2014-07-14"
"6","G311.12","Read","Impending infarction","diagnostic","153 - res15: Angina","2014-07-14"
"7","G311.13","Read","Unstable angina","diagnostic","153 - res15: Angina","2014-07-14"
"8","G311.14","Read","Angina at rest","diagnostic","153 - res15: Angina","2014-07-14"
"9","G311200","Read","Angina at rest","diagnostic","153 - res15: Angina","2014-07-14"
"10","G311300","Read","Refractory angina","diagnostic","153 - res15: Angina","2014-07-14"
"11","G311400","Read","Worsening angina","diagnostic","153 - res15: Angina","2014-07-14"
"12","G311500","Read","Acute coronary syndrome","diagnostic","153 - res15: Angina","2014-07-14"
"13","G311z00","Read","Preinfarction syndrome NOS","diagnostic","153 - res15: Angina","2014-07-14"
"14","G312.00","Read","Coronary thrombosis not resulting in MI","diagnostic","153 - res15: Angina","2014-07-14"
"15","G31y000","Read","Acute coronary insufficiency","diagnostic","153 - res15: Angina","2014-07-14"
"16","G31y200","Read","Subendocardial ischaemia","diagnostic","153 - res15: Angina","2014-07-14"
"17","G31y300","Read","Transient myocardial ischaemia","diagnostic","153 - res15: Angina","2014-07-14"
"18","G33..00","Read","Angina pectoris","diagnostic","153 - res15: Angina","2014-07-14"
"19","G330.00","Read","Angina decubitus","diagnostic","153 - res15: Angina","2014-07-14"
"20","G330000","Read","Nocturnal angina","diagnostic","153 - res15: Angina","2014-07-14"
"21","G330z00","Read","Angina decubitus NOS","diagnostic","153 - res15: Angina","2014-07-14"
"22","G331.00","Read","Prinzmetal's angina","diagnostic","153 - res15: Angina","2014-07-14"
"23","G331.11","Read","Variant angina pectoris","diagnostic","153 - res15: Angina","2014-07-14"
"24","g332.00","Read","Coronary artery spasm","diagnostic","153 - res15: Angina","2014-07-14"
"25","G332.00","Read","Coronary artery spasm","diagnostic","153 - res15: Angina","2014-07-14"
"26","G33z.00","Read","Angina pectoris NOS","diagnostic","153 - res15: Angina","2014-07-14"
"27","G33z000","Read","Status anginosus","diagnostic","153 - res15: Angina","2014-07-14"
"28","G33z100","Read","Stenocardia","diagnostic","153 - res15: Angina","2014-07-14"
"29","G33z200","Read","Syncope anginosa","diagnostic","153 - res15: Angina","2014-07-14"
"30","G33z300","Read","Angina on effort","diagnostic","153 - res15: Angina","2014-07-14"
"31","G33z600","Read","New onset angina","diagnostic","153 - res15: Angina","2014-07-14"
"32","G33z700","Read","Stable angina","diagnostic","153 - res15: Angina","2014-07-14"
"33","G33zz00","Read","Angina pectoris NOS","diagnostic","153 - res15: Angina","2014-07-14"
"34","G34y000","Read","Chronic coronary insufficiency","diagnostic","153 - res15: Angina","2014-07-14"
"35","G34y100","Read","Chronic myocardial ischaemia","diagnostic","153 - res15: Angina","2014-07-14"
"36","Gyu3000","Read","[X]Other forms of angina pectoris","diagnostic","153 - res15: Angina","2014-07-14"
"37","4119P","OXMIS","Syndrome preinfarction myocardia","diagnostic","153 - res15: Angina","2014-07-14"
"38","4129RE","OXMIS","Sclerosis endocardial","diagnostic","153 - res15: Angina","2014-07-14"
"39","4130","OXMIS","Angina pectoris with hypertension","diagnostic","153 - res15: Angina","2014-07-14"
"40","4130E","OXMIS","Angina effort with hypertension","diagnostic","153 - res15: Angina","2014-07-14"
"41","4139","OXMIS","Angina pectoris","diagnostic","153 - res15: Angina","2014-07-14"
"42","4139AA","OXMIS","Angina attack","diagnostic","153 - res15: Angina","2014-07-14"
"43","4139AT","OXMIS","Angina atypical","diagnostic","153 - res15: Angina","2014-07-14"
"44","4139C","OXMIS","Cardiac angina","diagnostic","153 - res15: Angina","2014-07-14"
"45","4139CO","OXMIS","Angina crescendo","diagnostic","153 - res15: Angina","2014-07-14"
"46","4139E","OXMIS","Angina effort","diagnostic","153 - res15: Angina","2014-07-14"
"47","4139M","OXMIS","Syndrome anginal","diagnostic","153 - res15: Angina","2014-07-14"
"48","4139N","OXMIS","Angina","diagnostic","153 - res15: Angina","2014-07-14"
"49","4139PA","OXMIS","Angina inversa","diagnostic","153 - res15: Angina","2014-07-14"
"50","4139PB","OXMIS","Prinzmetal's angina","diagnostic","153 - res15: Angina","2014-07-14"
"51","4139PC","OXMIS","Variant angina pectoris","diagnostic","153 - res15: Angina","2014-07-14"
"52","4139U","OXMIS","Unstable angina","diagnostic","153 - res15: Angina","2014-07-14"
