"","code","coding_system","description","entity","list_name","upload_date"
"1","7920","OXMIS","Saphenous vein graft replacement of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"2","7920000","OXMIS","Saphenous vein graft replacement of one coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"3","7920100","OXMIS","Saphenous vein graft replacement of two coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"4","7920.11","OXMIS","Saphenous vein graft bypass of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"5","7920200","OXMIS","Saphenous vein graft replacement of three coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"6","7920300","OXMIS","Saphenous vein graft replacement of four+ coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"7","7921","OXMIS","Other autograft replacement of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"8","7921000","OXMIS","Autograft replacement of one coronary artery NEC","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"9","7921100","OXMIS","Autograft replacement of two coronary arteries NEC","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"10","7921.11","OXMIS","Other autograft bypass of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"11","7921200","OXMIS","Autograft replacement of three coronary arteries NEC","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"12","7921300","OXMIS","Autograft replacement of four of more coronary arteries NEC","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"13","7922","OXMIS","Allograft replacement of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"14","7922000","OXMIS","Allograft replacement of one coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"15","7922100","OXMIS","Allograft replacement of two coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"16","7922.11","OXMIS","Allograft bypass of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"17","7922200","OXMIS","Allograft replacement of three coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"18","7922300","OXMIS","Allograft replacement of four or more coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"19","7923","OXMIS","Prosthetic replacement of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"20","7923000","OXMIS","Prosthetic replacement of one coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"21","7923100","OXMIS","Prosthetic replacement of two coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"22","7923.11","OXMIS","Prosthetic bypass of coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"23","7923200","OXMIS","Prosthetic replacement of three coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"24","7923300","OXMIS","Prosthetic replacement of four or more coronary arteries","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"25","7924","OXMIS","Revision of bypass for coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
"26","7924000","OXMIS","Revision of bypass for one coronary artery","surgery","154 - res15: Coronary revascularisation","2014-07-14"
