"","code","coding_system","description","entity","list_name","upload_date"
"1","14A3.00","Read","H/O: myocardial infarct <60","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"2","14A4.00","Read","H/O: myocardial infarct >60","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"3","14AH.00","Read","H/O: MI in last year","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"4","G30..00","Read","Acute MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"5","G300.00","Read","Acute anterolateral infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"6","G301.00","Read","Other specified anterior MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"7","G301000","Read","Acute anteroapical infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"8","G30..11","Read","Attack - heart","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"9","G301100","Read","Acute anteroseptal infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"10","G30..12","Read","Coronary thrombosis","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"11","G30..13","Read","Cardiac rupture following MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"12","G30..14","Read","Heart attack","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"13","G30..15","Read","MI - acute MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"14","G30..16","Read","Thrombosis - coronary","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"15","G30..17","Read","Silent MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"16","G301z00","Read","Anterior MI NOS","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"17","G302.00","Read","Acute inferolateral infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"18","G303.00","Read","Acute inferoposterior infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"19","G304.00","Read","Posterior MI NOS","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"20","G305.00","Read","Lateral MI NOS","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"21","G306.00","Read","True posterior MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"22","G307.00","Read","Acute subendocardial infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"23","G307000","Read","Acute non-Q wave infarction","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"24","G307100","Read","Acute non-ST segment elevation MI","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
"25","G308.00","Read","Inferior MI NOS","diagnostic","152 - res15: Myocardial Infarction","2014-07-14"
