"","code","coding_system","description","entity","list_name","upload_date"
"1","136","Read","Alcohol consumption","test","159 - res17: Alcohol status","2014-09-24"
"2","1361","Read","Teetotaller","test","159 - res17: Alcohol status","2014-09-24"
"3","1361-1","Read","Non drinker alcohol","test","159 - res17: Alcohol status","2014-09-24"
"4","1361-2","Read","Non-drinker alcohol","test","159 - res17: Alcohol status","2014-09-24"
"5","1362","Read","Trivial drinker - <1u/day","test","159 - res17: Alcohol status","2014-09-24"
"6","1362-1","Read","Drinks rarely","test","159 - res17: Alcohol status","2014-09-24"
"7","1362-2","Read","Drinks occasionally","test","159 - res17: Alcohol status","2014-09-24"
"8","1363","Read","Light drinker - 1-2u/day","test","159 - res17: Alcohol status","2014-09-24"
"9","1364","Read","Moderate drinker - 3-6u/day","test","159 - res17: Alcohol status","2014-09-24"
"10","1365","Read","Heavy drinker - 7-9u/day","test","159 - res17: Alcohol status","2014-09-24"
"11","1366","Read","Very heavy drinker - >9u/day","test","159 - res17: Alcohol status","2014-09-24"
"12","1367","Read","Stopped drinking alcohol","test","159 - res17: Alcohol status","2014-09-24"
"13","1368","Read","Alcohol consumption unknown","test","159 - res17: Alcohol status","2014-09-24"
"14","1369","Read","Suspect alcohol abuse - denied","test","159 - res17: Alcohol status","2014-09-24"
"15","136a","Read","Increasing risk drinking","test","159 - res17: Alcohol status","2014-09-24"
"16","136A","Read","Ex-trivial drinker (<1u/day)","test","159 - res17: Alcohol status","2014-09-24"
"17","136b","Read","Feels should cut down drinking","test","159 - res17: Alcohol status","2014-09-24"
"18","136B","Read","Ex-light drinker - (1-2u/day)","test","159 - res17: Alcohol status","2014-09-24"
"19","136c","Read","Higher risk drinking","test","159 - res17: Alcohol status","2014-09-24"
"20","136C","Read","Ex-moderate drinker - (3-6u/d)","test","159 - res17: Alcohol status","2014-09-24"
"21","136d","Read","Lower risk drinking","test","159 - res17: Alcohol status","2014-09-24"
"22","136D","Read","Ex-heavy drinker - (7-9u/day)","test","159 - res17: Alcohol status","2014-09-24"
"23","136e","Read","Declines to state current alcohol consumption","test","159 - res17: Alcohol status","2014-09-24"
"24","136E","Read","Ex-very heavy drinker-(>9u/d)","test","159 - res17: Alcohol status","2014-09-24"
"25","136F","Read","Spirit drinker","test","159 - res17: Alcohol status","2014-09-24"
"26","136G","Read","Beer drinker","test","159 - res17: Alcohol status","2014-09-24"
"27","136H","Read","Drinks beer and spirits","test","159 - res17: Alcohol status","2014-09-24"
"28","136I","Read","Drinks wine","test","159 - res17: Alcohol status","2014-09-24"
"29","136J","Read","Social drinker","test","159 - res17: Alcohol status","2014-09-24"
"30","136K","Read","Alcohol intake above recommended sensible limits","test","159 - res17: Alcohol status","2014-09-24"
"31","136L","Read","Alcohol intake within recommended sensible limits","test","159 - res17: Alcohol status","2014-09-24"
"32","136M","Read","Current non drinker","test","159 - res17: Alcohol status","2014-09-24"
"33","136N","Read","Light drinker","test","159 - res17: Alcohol status","2014-09-24"
"34","136O","Read","Moderate drinker","test","159 - res17: Alcohol status","2014-09-24"
"35","136P","Read","Heavy drinker","test","159 - res17: Alcohol status","2014-09-24"
"36","136Q","Read","Very heavy drinker","test","159 - res17: Alcohol status","2014-09-24"
"37","136R","Read","Binge drinker","test","159 - res17: Alcohol status","2014-09-24"
"38","136S","Read","Hazardous alcohol use","test","159 - res17: Alcohol status","2014-09-24"
"39","136T","Read","Harmful alcohol use","test","159 - res17: Alcohol status","2014-09-24"
"40","136V","Read","Alcohol units per week","test","159 - res17: Alcohol status","2014-09-24"
"41","136X","Read","Alcohol units consumed on heaviest drinking day","test","159 - res17: Alcohol status","2014-09-24"
"42","136Y","Read","Drinks in morning to get rid of hangover","test","159 - res17: Alcohol status","2014-09-24"
"43","136Z","Read","Alcohol consumption NOS","test","159 - res17: Alcohol status","2014-09-24"
"44","E23-2","Read","Alcohol problem drinking","test","159 - res17: Alcohol status","2014-09-24"
"45","EGTON418","Read","Alcohol intake","test","159 - res17: Alcohol status","2014-09-24"
"46","EGTONGR6","Read","Grade A none drinker or rare","test","159 - res17: Alcohol status","2014-09-24"
"47","EGTONGR7","Read","Grade B 0-20 units/week","test","159 - res17: Alcohol status","2014-09-24"
"48","EGTONGR8","Read","Grade C 21-49 units/week","test","159 - res17: Alcohol status","2014-09-24"
"49","EGTONGR9","Read","Grade D 50 or more units/week","test","159 - res17: Alcohol status","2014-09-24"
"50","EMISNQUN23","Read","Unsuccessful attempts to reduce alcohol consumption","test","159 - res17: Alcohol status","2014-09-24"
"51","EMISQAL1","Read","Alcohol AUDIT score","test","159 - res17: Alcohol status","2014-09-24"
"52","EMISQAL2","Read","Alcohol reduction-maintain abstinence","test","159 - res17: Alcohol status","2014-09-24"
"53","EMISQAU1","Read","AUDIT score <4 no drinking problem","test","159 - res17: Alcohol status","2014-09-24"
"54","EMISQAU2","Read","AUDIT score >5 alcohol dependence syndrome","test","159 - res17: Alcohol status","2014-09-24"
"55","EMISQAU3","Read","AUDIT score >5 alcohol problem drinker","test","159 - res17: Alcohol status","2014-09-24"
"56","EMISQNO6","Read","Not interested in reducing alcohol","test","159 - res17: Alcohol status","2014-09-24"
"57","EMISQOT3","Read","Other alcohol related information","test","159 - res17: Alcohol status","2014-09-24"
"58","EMISQRE13","Read","Ready to start reducing alcohol","test","159 - res17: Alcohol status","2014-09-24"
"59","EMISQTH4","Read","Thinking about reducing alcohol","test","159 - res17: Alcohol status","2014-09-24"
