"","code","coding_system","description","entity","list_name","upload_date"
"1","22K","Read","Body Mass Index","test","160 - res17: BMI","2014-09-24"
"2","22K1","Read","Body Mass Index normal K/M2","test","160 - res17: BMI","2014-09-24"
"3","22K2","Read","Body Mass Index high K/M2","test","160 - res17: BMI","2014-09-24"
"4","22K3","Read","Body Mass Index low K/M2","test","160 - res17: BMI","2014-09-24"
"5","22K4","Read","Body mass index index 25-29 - overweight","test","160 - res17: BMI","2014-09-24"
"6","22K5","Read","Body mass index 30+ - obesity","test","160 - res17: BMI","2014-09-24"
"7","22K6","Read","Body mass index less than 20","test","160 - res17: BMI","2014-09-24"
"8","22K7","Read","Body mass index 40+ - severely obese","test","160 - res17: BMI","2014-09-24"
"9","22K8","Read","Body mass index 20-24 - normal","test","160 - res17: BMI","2014-09-24"
"10","22K9","Read","Body mass index centile","test","160 - res17: BMI","2014-09-24"
"11","22K90","Read","Baseline body mass index centile","test","160 - res17: BMI","2014-09-24"
"12","22KA","Read","Target body mass index","test","160 - res17: BMI","2014-09-24"
"13","22KB","Read","Baseline body mass index","test","160 - res17: BMI","2014-09-24"
"14","EMISNQBM1","Read","BMI centile","test","160 - res17: BMI","2014-09-24"
"15","EMISNQBO29","Read","Body mass index less than 18.5","test","160 - res17: BMI","2014-09-24"
"16","EMISNQTA9","Read","Target body mass index","test","160 - res17: BMI","2014-09-24"
"17","JHCBO5","Read","Body mass index 18.5-24.9","test","160 - res17: BMI","2014-09-24"
"18","PCNQBO1","Read","Body mass index","test","160 - res17: BMI","2014-09-24"
