"","code","coding_system","description","entity","list_name","upload_date"
"1","B34","Read","Malignant neoplasm of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"2","B340","Read","Malignant neoplasm of nipple and areola of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"3","B3400","Read","Malignant neoplasm of nipple of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"4","B3401","Read","Malignant neoplasm of areola of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"5","B340-99","Read","Ca breast - nipple/central","diagnostic","156 - res17: Breast cancer","2014-09-24"
"6","B340z","Read","Malignant neoplasm of nipple or areola of female breast NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"7","B341","Read","Malignant neoplasm of central part of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"8","B34-1","Read","Ca female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"9","B342","Read","Malignant neoplasm of upper-inner quadrant of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"10","B342-99","Read","Ca breast-upper;inner quadrant","diagnostic","156 - res17: Breast cancer","2014-09-24"
"11","B343","Read","Malignant neoplasm of lower-inner quadrant of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"12","B343-99","Read","Ca breast-lower;inner quadrant","diagnostic","156 - res17: Breast cancer","2014-09-24"
"13","B344","Read","Malignant neoplasm of upper-outer quadrant of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"14","B344-99","Read","Ca breast-upper;outer quadrant","diagnostic","156 - res17: Breast cancer","2014-09-24"
"15","B345","Read","Malignant neoplasm of lower-outer quadrant of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"16","B345-99","Read","Ca breast-lower;outer quadrant","diagnostic","156 - res17: Breast cancer","2014-09-24"
"17","B346","Read","Malignant neoplasm of axillary tail of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"18","B346-99","Read","Ca breast - axillary tail","diagnostic","156 - res17: Breast cancer","2014-09-24"
"19","B347","Read","Malignant neoplasm; overlapping lesion of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"20","B34-98","Read","Ca breast - NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"21","B34-99","Read","Carcinoma breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"22","B34y","Read","Malignant neoplasm of other site of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"23","B34y0","Read","Malignant neoplasm of ectopic site of female breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"24","B34yz","Read","Malignant neoplasm of other site of female breast NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"25","B34z","Read","Malignant neoplasm of female breast NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"26","B34z-99","Read","Ca breast - NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"27","B35","Read","Malignant neoplasm of male breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"28","B350","Read","Malignant neoplasm of nipple and areola of male breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"29","B3500","Read","Malignant neoplasm of nipple of male breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"30","B3501","Read","Malignant neoplasm of areola of male breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"31","B350z","Read","Malignant neoplasm of nipple or areola of male breast NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"32","B35-99","Read","Ca breast - male","diagnostic","156 - res17: Breast cancer","2014-09-24"
"33","B35z","Read","Malignant neoplasm of other site of male breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"34","B35z0","Read","Malignant neoplasm of ectopic site of male breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"35","B35zz","Read","Malignant neoplasm of male breast NOS","diagnostic","156 - res17: Breast cancer","2014-09-24"
"36","B36","Read","Local recurrence of malignant tumour of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"37","B58y0","Read","Secondary malignant neoplasm of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"38","B830","Read","Carcinoma in situ of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"39","B8300","Read","Lobular carcinoma in situ of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"40","B8301","Read","Intraductal carcinoma in situ of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"41","B830-99","Read","Carcinoma in situ breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"42","B933","Read","Neoplasm of uncertain behaviour of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"43","BA03","Read","Neoplasm of unspecified nature of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"44","BB94-1","Read","[M]Secretory breast carcinoma","diagnostic","156 - res17: Breast cancer","2014-09-24"
"45","Byu6","Read","[X]Malignant neoplasm of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"46","EMISNQLO13","Read","Local recurrence of malignant tumour of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
"47","HNG0190","Read","[RFC] Breast cancer","diagnostic","156 - res17: Breast cancer","2014-09-24"
"48","ZV103","Read","[V]Personal history of malignant neoplasm of breast","diagnostic","156 - res17: Breast cancer","2014-09-24"
