"","code","coding_system","description","entity","list_name","upload_date"
"1","B13","Read","Malignant neoplasm of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"2","B130","Read","Malignant neoplasm of hepatic flexure of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"3","B130-99","Read","Ca hepatic flexure - colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"4","B131","Read","Malignant neoplasm of transverse colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"5","B131-99","Read","Ca transverse colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"6","B132","Read","Malignant neoplasm of descending colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"7","B132-99","Read","Ca descending colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"8","B133","Read","Malignant neoplasm of sigmoid colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"9","B133-99","Read","Ca sigmoid colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"10","B134","Read","Malignant neoplasm of caecum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"11","B134-1","Read","Carcinoma of caecum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"12","B135","Read","Malignant neoplasm of appendix","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"13","B136","Read","Malignant neoplasm of ascending colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"14","B136-99","Read","Ca ascending colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"15","B137","Read","Malignant neoplasm of splenic flexure of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"16","B137-99","Read","Ca splenic flexure - colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"17","B138","Read","Malignant neoplasm; overlapping lesion of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"18","B139","Read","Hereditary nonpolyposis colon cancer","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"19","B13y","Read","Malignant neoplasm of other specified sites of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"20","B13z","Read","Malignant neoplasm of colon NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"21","B13z-1","Read","Colonic cancer","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"22","B14","Read","Malignant neoplasm of rectum; rectosigmoid junction and anus","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"23","B140","Read","Malignant neoplasm of rectosigmoid junction","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"24","B140-99","Read","Ca rectosigmoid junction","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"25","B141","Read","Malignant neoplasm of rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"26","B141-1","Read","Carcinoma of rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"27","B141-2","Read","Rectal carcinoma","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"28","B141-99","Read","Adenocarcinoma of rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"29","B1420","Read","Malignant neoplasm of cloacogenic zone","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"30","B143","Read","Malignant neoplasm of anus unspecified","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"31","B14-99","Read","Ca rectum + Ca anus","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"32","B14y","Read","Malig neop other site rectum; rectosigmoid junction and anus","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"33","B14z","Read","Malignant neoplasm rectum;rectosigmoid junction and anus NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"34","B14z-99","Read","Ca rectum + Ca anus NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"35","B1z0-1","Read","Cancer of bowel","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"36","B575","Read","Secondary malignant neoplasm of large intestine and rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"37","B5750","Read","Secondary malignant neoplasm of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"38","B5751","Read","Secondary malignant neoplasm of rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"39","B575z","Read","Secondary malig neop of large intestine or rectum NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"40","B803","Read","Carcinoma in situ of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"41","B8030","Read","Carcinoma in situ of hepatic flexure of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"42","B8031","Read","Carcinoma in situ of transverse colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"43","B8032","Read","Carcinoma in situ of descending colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"44","B8033","Read","Carcinoma in situ of sigmoid colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"45","B8036","Read","Carcinoma in situ of ascending colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"46","B8037","Read","Carcinoma in situ of splenic flexure of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"47","B8038","Read","High grade dysplasia of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"48","B803z","Read","Carcinoma in situ of colon NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"49","B804","Read","Carcinoma in situ of rectum and rectosigmoid junction","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"50","B8040","Read","Carcinoma in situ of rectosigmoid junction","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"51","B8041","Read","Carcinoma in situ of rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"52","B804z","Read","Carcinoma in situ of rectum or rectosigmoid junction NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"53","B902","Read","Neop of uncertain behaviour stomach; intestines and rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"54","B9024","Read","Neoplasm of uncertain behaviour of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"55","B9025","Read","Neoplasm of uncertain behaviour of rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"56","B902z","Read","Neop of uncertain behaviour stomach; intestine or rectum NOS","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"57","BB5N","Read","[M]Adenomatous and adenocarcinomatous polyps of colon","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"58","EGTON2B152","Read","Cause of Death- Ca Rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"59","EMISNQHE41","Read","Hereditary nonpolyposis colon cancer","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
"60","HNG0201","Read","[RFC] Cancer of the rectum","diagnostic","157 - res17: Colorectal cancer","2014-09-24"
