"","code","coding_system","description","entity","list_name","upload_date"
"1","226","Read","O/E - ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"2","226-1","Read","O/E - ethnic origin","test","161 - res17: Ethnicity","2014-09-24"
"3","226Z","Read","O/E - ethnic group NOS","test","161 - res17: Ethnicity","2014-09-24"
"4","916E","Read","Patient ethnicity unknown","test","161 - res17: Ethnicity","2014-09-24"
"5","918t","Read","Carer from Black and minority ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"6","9i","Read","Ethnic category - 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"7","9i0","Read","British or mixed British - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"8","9i00","Read","White British - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"9","9i1","Read","Irish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"10","9i10","Read","White Irish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"11","9i2","Read","Other White background - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"12","9i20","Read","English - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"13","9i21","Read","Scottish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"14","9i22","Read","Welsh - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"15","9i23","Read","Cornish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"16","9i24","Read","Northern Irish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"17","9i25","Read","Ulster Scots - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"18","9i26","Read","Cypriot (part not stated) - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"19","9i27","Read","Greek - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"20","9i28","Read","Greek Cypriot - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"21","9i29","Read","Turkish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"22","9i2A","Read","Turkish Cypriot - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"23","9i2B","Read","Italian - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"24","9i2C","Read","Irish Traveller - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"25","9i2D","Read","Traveller - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"26","9i2E","Read","Gypsy/Romany - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"27","9i2F","Read","Polish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"28","9i2J","Read","Kosovan - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"29","9i2K","Read","Albanian - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
