"","code","coding_system","description","entity","list_name","upload_date"
"1","1D18","Read","Pain from metastases","symptom","163 - res17: Metastases","2014-09-24"
"2","B153","Read","Secondary malignant neoplasm of liver","symptom","163 - res17: Metastases","2014-09-24"
"3","B56","Read","Secondary and unspecified malignant neoplasm of lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"4","B560","Read","Secondary and unspec malig neop lymph nodes head/face/neck","symptom","163 - res17: Metastases","2014-09-24"
"5","B5600","Read","Secondary and unspec malig neop of superficial parotid LN","symptom","163 - res17: Metastases","2014-09-24"
"6","B5601","Read","Secondary and unspec malignant neoplasm mastoid lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"7","B5602","Read","Secondary and unspec malig neop superficial cervical LN","symptom","163 - res17: Metastases","2014-09-24"
"8","B5603","Read","Secondary and unspec malignant neoplasm occipital lymph node","symptom","163 - res17: Metastases","2014-09-24"
"9","B5604","Read","Secondary and unspec malig neop deep parotid lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"10","B5605","Read","Secondary and unspec malig neop submandibular lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"11","B5606","Read","Secondary and unspec malig neop of facial lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"12","B5607","Read","Secondary and unspec malig neop submental lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"13","B5608","Read","Secondary and unspec malig neop anterior cervical LN","symptom","163 - res17: Metastases","2014-09-24"
"14","B5609","Read","Secondary and unspec malig neop deep cervical LN","symptom","163 - res17: Metastases","2014-09-24"
"15","B560-99","Read","Secondary nodes - head/neck","symptom","163 - res17: Metastases","2014-09-24"
"16","B560z","Read","Secondary unspec malig neop lymph nodes head/face/neck NOS","symptom","163 - res17: Metastases","2014-09-24"
"17","B561","Read","Secondary and unspec malig neop intrathoracic lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"18","B56-1","Read","Lymph node metastases","symptom","163 - res17: Metastases","2014-09-24"
"19","B5610","Read","Secondary and unspec malig neop internal mammary lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"20","B5611","Read","Secondary and unspec malig neop intercostal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"21","B5612","Read","Secondary and unspec malig neop diaphragmatic lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"22","B5613","Read","Secondary and unspec malig neop ant mediastinal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"23","B5614","Read","Secondary and unspec malig neop post mediastinal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"24","B5615","Read","Secondary and unspec malig neop paratracheal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"25","B5616","Read","Secondary and unspec malig neop superfic tracheobronchial LN","symptom","163 - res17: Metastases","2014-09-24"
"26","B5617","Read","Secondary and unspec malig neop inferior tracheobronchial LN","symptom","163 - res17: Metastases","2014-09-24"
"27","B5618","Read","Secondary and unspec malig neop bronchopulmonary lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"28","B5619","Read","Secondary and unspec malig neop pulmonary lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"29","B561-99","Read","Secondary nodes -intrathoracic","symptom","163 - res17: Metastases","2014-09-24"
"30","B561z","Read","Secondary and unspec malig neop intrathoracic LN NOS","symptom","163 - res17: Metastases","2014-09-24"
"31","B562","Read","Secondary and unspec malig neop intra-abdominal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"32","B5620","Read","Secondary and unspec malig neop coeliac lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"33","B5621","Read","Secondary and unspec malig neop superficial mesenteric LN","symptom","163 - res17: Metastases","2014-09-24"
"34","B5622","Read","Secondary and unspec malig neop inferior mesenteric LN","symptom","163 - res17: Metastases","2014-09-24"
"35","B5623","Read","Secondary and unspec malig neop common iliac lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"36","B5624","Read","Secondary and unspec malig neop external iliac lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"37","B562-99","Read","Secondary nodes - intra.abdom.","symptom","163 - res17: Metastases","2014-09-24"
"38","B562z","Read","Secondary and unspec malig neop intra-abdominal LN NOS","symptom","163 - res17: Metastases","2014-09-24"
"39","B563","Read","Secondary and unspec malig neop axilla and upper limb LN","symptom","163 - res17: Metastases","2014-09-24"
"40","B5630","Read","Secondary and unspec malig neop axillary lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"41","B5631","Read","Secondary and unspec malig neop supratrochlear lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"42","B5632","Read","Secondary and unspec malig neop infraclavicular lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"43","B5633","Read","Secondary and unspec malig neop pectoral lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"44","B563-99","Read","Secondary nodes - axilla/arm","symptom","163 - res17: Metastases","2014-09-24"
"45","B563z","Read","Secondary and unspec malig neop axilla and upper limb LN NOS","symptom","163 - res17: Metastases","2014-09-24"
"46","B564","Read","Secondary and unspec malig neop inguinal and lower limb LN","symptom","163 - res17: Metastases","2014-09-24"
"47","B5640","Read","Secondary and unspec malig neop superficial inguinal LN","symptom","163 - res17: Metastases","2014-09-24"
"48","B5641","Read","Secondary and unspec malig neop deep inguinal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"49","B5642","Read","Secondary and unspec malig neop popliteal lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"50","B564-99","Read","Secondary nodes - inguinal/leg","symptom","163 - res17: Metastases","2014-09-24"
"51","B564z","Read","Secondary and unspec malig neop of inguinal and leg LN NOS","symptom","163 - res17: Metastases","2014-09-24"
"52","B565","Read","Secondary and unspec malig neop intrapelvic lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"53","B5650","Read","Secondary and unspec malig neop internal iliac lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"54","B5651","Read","Secondary and unspec malig neop inferior epigastric LN","symptom","163 - res17: Metastases","2014-09-24"
"55","B5652","Read","Secondary and unspec malig neop circumflex iliac LN","symptom","163 - res17: Metastases","2014-09-24"
"56","B5653","Read","Secondary and unspec malig neop sacral lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"57","B5654","Read","Secondary and unspec malig neop obturator lymph nodes","symptom","163 - res17: Metastases","2014-09-24"
"58","B565-99","Read","Secondary nodes - intrapelvic","symptom","163 - res17: Metastases","2014-09-24"
"59","B565z","Read","Secondary and unspec malig neop intrapelvic LN NOS","symptom","163 - res17: Metastases","2014-09-24"
"60","B56y","Read","Secondary and unspec malig neop lymph nodes multiple sites","symptom","163 - res17: Metastases","2014-09-24"
"61","B56y-99","Read","Secondary nodes - multiple","symptom","163 - res17: Metastases","2014-09-24"
"62","B56z","Read","Secondary and unspec malig neop lymph nodes NOS","symptom","163 - res17: Metastases","2014-09-24"
"63","B56z-99","Read","Secondary nodes NOS","symptom","163 - res17: Metastases","2014-09-24"
"64","B570","Read","Secondary malignant neoplasm of lung","symptom","163 - res17: Metastases","2014-09-24"
"65","B571","Read","Secondary malignant neoplasm of mediastinum","symptom","163 - res17: Metastases","2014-09-24"
"66","B57-1","Read","Metastases of respiratory and/or digestive systems","symptom","163 - res17: Metastases","2014-09-24"
"67","B572","Read","Secondary malignant neoplasm of pleura","symptom","163 - res17: Metastases","2014-09-24"
"68","B573","Read","Secondary malignant neoplasm of other respiratory organs","symptom","163 - res17: Metastases","2014-09-24"
"69","B574","Read","Secondary malignant neoplasm of small intestine and duodenum","symptom","163 - res17: Metastases","2014-09-24"
"70","B5740","Read","Secondary malignant neoplasm of duodenum","symptom","163 - res17: Metastases","2014-09-24"
"71","B5741","Read","Secondary malignant neoplasm of jejunum","symptom","163 - res17: Metastases","2014-09-24"
"72","B5742","Read","Secondary malignant neoplasm of ileum","symptom","163 - res17: Metastases","2014-09-24"
"73","B574z","Read","Secondary malig neop of small intestine or duodenum NOS","symptom","163 - res17: Metastases","2014-09-24"
"74","B575","Read","Secondary malignant neoplasm of large intestine and rectum","symptom","163 - res17: Metastases","2014-09-24"
"75","B5750","Read","Secondary malignant neoplasm of colon","symptom","163 - res17: Metastases","2014-09-24"
"76","B5751","Read","Secondary malignant neoplasm of rectum","symptom","163 - res17: Metastases","2014-09-24"
"77","B575z","Read","Secondary malig neop of large intestine or rectum NOS","symptom","163 - res17: Metastases","2014-09-24"
"78","B5760","Read","Secondary malignant neoplasm of retroperitoneum","symptom","163 - res17: Metastases","2014-09-24"
"79","B5761","Read","Secondary malignant neoplasm of peritoneum","symptom","163 - res17: Metastases","2014-09-24"
"80","B577","Read","Secondary malignant neoplasm of liver","symptom","163 - res17: Metastases","2014-09-24"
"81","B577-1","Read","Liver metastases","symptom","163 - res17: Metastases","2014-09-24"
"82","B57y","Read","Secondary malignant neoplasm of other digestive organ","symptom","163 - res17: Metastases","2014-09-24"
"83","B58","Read","Secondary malignant neoplasm of other specified sites","symptom","163 - res17: Metastases","2014-09-24"
"84","B580","Read","Secondary malignant neoplasm of kidney","symptom","163 - res17: Metastases","2014-09-24"
"85","B5823","Read","Secondary malignant neoplasm of skin of trunk","symptom","163 - res17: Metastases","2014-09-24"
