"","code","coding_system","description","entity","list_name","upload_date"
"1","14270","Read","H/O: prostate cancer","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"2","1J08","Read","Suspected prostate cancer","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"3","4M0","Read","Gleason grading of prostate cancer","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"4","4M00","Read","Gleason prostate grade 2-4 (low)","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"5","4M01","Read","Gleason prostate grade 5-7 (medium)","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"6","4M02","Read","Gleason prostate grade 8-10 (high)","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"7","B46","Read","Malignant neoplasm of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"8","B58y5","Read","Secondary malignant neoplasm of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"9","B7C20","Read","Adenoma of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"10","B834","Read","Carcinoma in situ of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"11","B8340","Read","High grade prostatic intraepithelial neoplasia","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"12","B8341","Read","Prostatic intraepithelial neoplasia","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"13","B915","Read","Neoplasm of uncertain behaviour of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"14","EMISNQPR140","Read","Prostatic intraepithelial neoplasia","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"15","HNG0200","Read","[RFC] Cancer of the prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"16","K223","Read","Dysplasia of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"17","PCSDT1PR16","Read","Prostate carcinoma","diagnostic","158 - res17: Prostate cancer","2014-09-24"
"18","ZV104-5","Read","[V]Personal history of malignant neoplasm of prostate","diagnostic","158 - res17: Prostate cancer","2014-09-24"
