"","code","coding_system","description","entity","list_name","upload_date"
"1","1371","Read","Never smoked tobacco","test","164 - res17: Smoking status","2014-09-24"
"2","137-1","Read","Smoker - amount smoked","test","164 - res17: Smoking status","2014-09-24"
"3","1371-1","Read","Non-smoker","test","164 - res17: Smoking status","2014-09-24"
"4","1372","Read","Trivial smoker - < 1 cig/day","test","164 - res17: Smoking status","2014-09-24"
"5","1372-1","Read","Occasional smoker","test","164 - res17: Smoking status","2014-09-24"
"6","1373","Read","Light smoker - 1-9 cigs/day","test","164 - res17: Smoking status","2014-09-24"
"7","1374","Read","Moderate smoker - 10-19 cigs/d","test","164 - res17: Smoking status","2014-09-24"
"8","1375","Read","Heavy smoker - 20-39 cigs/day","test","164 - res17: Smoking status","2014-09-24"
"9","1376","Read","Very heavy smoker - 40+cigs/d","test","164 - res17: Smoking status","2014-09-24"
"10","1377","Read","Ex-trivial smoker (<1/day)","test","164 - res17: Smoking status","2014-09-24"
"11","1378","Read","Ex-light smoker (1-9/day)","test","164 - res17: Smoking status","2014-09-24"
"12","1379","Read","Ex-moderate smoker (10-19/day)","test","164 - res17: Smoking status","2014-09-24"
"13","137a","Read","Pipe tobacco consumption","test","164 - res17: Smoking status","2014-09-24"
"14","137A","Read","Ex-heavy smoker (20-39/day)","test","164 - res17: Smoking status","2014-09-24"
"15","137b","Read","Ready to stop smoking","test","164 - res17: Smoking status","2014-09-24"
"16","137B","Read","Ex-very heavy smoker (40+/day)","test","164 - res17: Smoking status","2014-09-24"
"17","137c","Read","Thinking about stopping smoking","test","164 - res17: Smoking status","2014-09-24"
"18","137C","Read","Keeps trying to stop smoking","test","164 - res17: Smoking status","2014-09-24"
"19","137d","Read","Not interested in stopping smoking","test","164 - res17: Smoking status","2014-09-24"
"20","137D","Read","Admitted tobacco cons untrue ?","test","164 - res17: Smoking status","2014-09-24"
"21","137e","Read","Smoking restarted","test","164 - res17: Smoking status","2014-09-24"
"22","137E","Read","Tobacco consumption unknown","test","164 - res17: Smoking status","2014-09-24"
"23","137f","Read","Reason for restarting smoking","test","164 - res17: Smoking status","2014-09-24"
"24","137F","Read","Ex-smoker - amount unknown","test","164 - res17: Smoking status","2014-09-24"
"25","137F-99","Read","EX-Smoker NOS","test","164 - res17: Smoking status","2014-09-24"
"26","137g","Read","Cigarette pack-years","test","164 - res17: Smoking status","2014-09-24"
"27","137G","Read","Trying to give up smoking","test","164 - res17: Smoking status","2014-09-24"
"28","137h","Read","Minutes from waking to first tobacco consumption","test","164 - res17: Smoking status","2014-09-24"
"29","137H","Read","Pipe smoker","test","164 - res17: Smoking status","2014-09-24"
"30","137i","Read","Ex-tobacco chewer","test","164 - res17: Smoking status","2014-09-24"
