"","code","coding_system","description","entity","list_name","upload_date"
"1","C10..00","Read","Diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"2","C109J00","Read","Insulin treated Type 2 diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"3","C109K00","Read","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"4","C10C.00","Read","Diabetes mellitus autosomal dominant","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"5","C10D.00","Read","Diabetes mellitus autosomal dominant type 2","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"6","C10E.00","Read","Type 1 diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"7","C10E000","Read","Type 1 diabetes mellitus with renal complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"8","C10E012","Read","Insulin-dependent diabetes mellitus with renal complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"9","C10E100","Read","Type 1 diabetes mellitus with ophthalmic complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"10","C10E.11","Read","Type I diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"11","C10E111","Read","Type I diabetes mellitus with ophthalmic complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"12","C10E112","Read","Insulin-dependent diabetes mellitus with ophthalmic comps","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"13","C10E.12","Read","Insulin dependent diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"14","C10E200","Read","Type 1 diabetes mellitus with neurological complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"15","C10E212","Read","Insulin-dependent diabetes mellitus with neurological comps","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"16","C10E300","Read","Type 1 diabetes mellitus with multiple complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"17","C10E311","Read","Type I diabetes mellitus with multiple complications","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"18","C10E312","Read","Insulin dependent diabetes mellitus with multiple complicat","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"19","C10E400","Read","Unstable type 1 diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"20","C10E411","Read","Unstable type I diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"21","C10E412","Read","Unstable insulin dependent diabetes mellitus","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"22","C10E500","Read","Type 1 diabetes mellitus with ulcer","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"23","C10E511","Read","Type I diabetes mellitus with ulcer","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
"24","C10E512","Read","Insulin dependent diabetes mellitus with ulcer","diagnostic","165 - tes18: 21 - Diabetes","2014-10-20"
