"","code","coding_system","description","entity","list_name","upload_date"
"1","H312000","Read","Chronic asthmatic bronchitis","diagnostic","26 - Asthma","2013-11-07"
"2","H33..00","Read","Asthma","diagnostic","26 - Asthma","2013-11-07"
"3","H330.00","Read","Extrinsic (atopic) asthma","diagnostic","26 - Asthma","2013-11-07"
"4","H330000","Read","Extrinsic asthma without status asthmaticus","diagnostic","26 - Asthma","2013-11-07"
"5","H330011","Read","Hay fever with asthma","diagnostic","26 - Asthma","2013-11-07"
"6","H330100","Read","Extrinsic asthma with status asthmaticus","diagnostic","26 - Asthma","2013-11-07"
"7","H330.11","Read","Allergic asthma","diagnostic","26 - Asthma","2013-11-07"
"8","H330111","Read","Extrinsic asthma with asthma attack","diagnostic","26 - Asthma","2013-11-07"
"9","H330.12","Read","Childhood asthma","diagnostic","26 - Asthma","2013-11-07"
"10","H330.13","Read","Hay fever with asthma","diagnostic","26 - Asthma","2013-11-07"
"11","H330.14","Read","Pollen asthma","diagnostic","26 - Asthma","2013-11-07"
"12","H330z00","Read","Extrinsic asthma NOS","diagnostic","26 - Asthma","2013-11-07"
"13","H331.00","Read","Intrinsic asthma","diagnostic","26 - Asthma","2013-11-07"
"14","H331000","Read","Intrinsic asthma without status asthmaticus","diagnostic","26 - Asthma","2013-11-07"
"15","H33..11","Read","Bronchial asthma","diagnostic","26 - Asthma","2013-11-07"
"16","H331100","Read","Intrinsic asthma with status asthmaticus","diagnostic","26 - Asthma","2013-11-07"
"17","H331.11","Read","Late onset asthma","diagnostic","26 - Asthma","2013-11-07"
"18","H331111","Read","Intrinsic asthma with asthma attack","diagnostic","26 - Asthma","2013-11-07"
"19","H331z00","Read","Intrinsic asthma NOS","diagnostic","26 - Asthma","2013-11-07"
"20","H332.00","Read","Mixed asthma","diagnostic","26 - Asthma","2013-11-07"
"21","H333.00","Read","Acute exacerbation of asthma","diagnostic","26 - Asthma","2013-11-07"
"22","H334.00","Read","Brittle asthma","diagnostic","26 - Asthma","2013-11-07"
"23","H33z.00","Read","Asthma unspecified","diagnostic","26 - Asthma","2013-11-07"
"24","H33z000","Read","Status asthmaticus NOS","diagnostic","26 - Asthma","2013-11-07"
"25","H33z011","Read","Severe asthma attack","diagnostic","26 - Asthma","2013-11-07"
"26","H33z100","Read","Asthma attack","diagnostic","26 - Asthma","2013-11-07"
"27","H33z.11","Read","Hyperreactive airways disease","diagnostic","26 - Asthma","2013-11-07"
"28","H33z111","Read","Asthma attack NOS","diagnostic","26 - Asthma","2013-11-07"
"29","H33z200","Read","Late-onset asthma","diagnostic","26 - Asthma","2013-11-07"
"30","H33zz00","Read","Asthma NOS","diagnostic","26 - Asthma","2013-11-07"
"31","H33zz11","Read","Exercise induced asthma","diagnostic","26 - Asthma","2013-11-07"
"32","H33zz12","Read","Allergic asthma NEC","diagnostic","26 - Asthma","2013-11-07"
"33","H33zz13","Read","Allergic bronchitis NEC","diagnostic","26 - Asthma","2013-11-07"
