"","code","coding_system","description","entity","list_name","upload_date"
"1","B0...00","Read","Malignant neoplasm of lip; oral cavity and pharynx","diagnostic","25 - Cancer","2013-11-07"
"2","B00..00","Read","Malignant neoplasm of lip","diagnostic","25 - Cancer","2013-11-07"
"3","B000.00","Read","Malignant neoplasm of upper lip; vermilion border","diagnostic","25 - Cancer","2013-11-07"
"4","B000000","Read","Malignant neoplasm of upper lip; external","diagnostic","25 - Cancer","2013-11-07"
"5","B000100","Read","Malignant neoplasm of upper lip; lipstick area","diagnostic","25 - Cancer","2013-11-07"
"6","B000z00","Read","Malignant neoplasm of upper lip; vermilion border NOS","diagnostic","25 - Cancer","2013-11-07"
"7","B001.00","Read","Malignant neoplasm of lower lip; vermilion border","diagnostic","25 - Cancer","2013-11-07"
"8","B001000","Read","Malignant neoplasm of lower lip; external","diagnostic","25 - Cancer","2013-11-07"
"9","B00..11","Read","Carcinoma of lip","diagnostic","25 - Cancer","2013-11-07"
"10","B001100","Read","Malignant neoplasm of lower lip; lipstick area","diagnostic","25 - Cancer","2013-11-07"
"11","B001z00","Read","Malignant neoplasm of lower lip; vermilion border NOS","diagnostic","25 - Cancer","2013-11-07"
"12","B002.00","Read","Malignant neoplasm of upper lip; inner aspect","diagnostic","25 - Cancer","2013-11-07"
"13","B002100","Read","Malignant neoplasm of upper lip; frenulum","diagnostic","25 - Cancer","2013-11-07"
"14","B002200","Read","Malignant neoplasm of upper lip; mucosa","diagnostic","25 - Cancer","2013-11-07"
"15","B002300","Read","Malignant neoplasm of upper lip; oral aspect","diagnostic","25 - Cancer","2013-11-07"
"16","B002z00","Read","Malignant neoplasm of upper lip; inner aspect NOS","diagnostic","25 - Cancer","2013-11-07"
"17","B003.00","Read","Malignant neoplasm of lower lip; inner aspect","diagnostic","25 - Cancer","2013-11-07"
"18","B003000","Read","Malignant neoplasm of lower lip; buccal aspect","diagnostic","25 - Cancer","2013-11-07"
"19","B003100","Read","Malignant neoplasm of lower lip; frenulum","diagnostic","25 - Cancer","2013-11-07"
"20","B003200","Read","Malignant neoplasm of lower lip; mucosa","diagnostic","25 - Cancer","2013-11-07"
