"","code","coding_system","description","entity","list_name","upload_date"
"1","G3...00","Read","Ischaemic heart disease","diagnostic","17 - CHD","2013-11-07"
"2","G30..00","Read","Acute myocardial infarction","diagnostic","17 - CHD","2013-11-07"
"3","G300.00","Read","Acute anterolateral infarction","diagnostic","17 - CHD","2013-11-07"
"4","G301.00","Read","Other specified anterior myocardial infarction","diagnostic","17 - CHD","2013-11-07"
"5","G301000","Read","Acute anteroapical infarction","diagnostic","17 - CHD","2013-11-07"
"6","G30..11","Read","Attack - heart","diagnostic","17 - CHD","2013-11-07"
"7","G301100","Read","Acute anteroseptal infarction","diagnostic","17 - CHD","2013-11-07"
"8","G30..12","Read","Coronary thrombosis","diagnostic","17 - CHD","2013-11-07"
"9","G30..13","Read","Cardiac rupture following myocardial infarction (MI)","diagnostic","17 - CHD","2013-11-07"
"10","G30..14","Read","Heart attack","diagnostic","17 - CHD","2013-11-07"
"11","G30..15","Read","MI - acute myocardial infarction","diagnostic","17 - CHD","2013-11-07"
"12","G30..16","Read","Thrombosis - coronary","diagnostic","17 - CHD","2013-11-07"
"13","G30..17","Read","Silent myocardial infarction","diagnostic","17 - CHD","2013-11-07"
"14","G301z00","Read","Anterior myocardial infarction NOS","diagnostic","17 - CHD","2013-11-07"
"15","G302.00","Read","Acute inferolateral infarction","diagnostic","17 - CHD","2013-11-07"
"16","G303.00","Read","Acute inferoposterior infarction","diagnostic","17 - CHD","2013-11-07"
"17","G304.00","Read","Posterior myocardial infarction NOS","diagnostic","17 - CHD","2013-11-07"
"18","G305.00","Read","Lateral myocardial infarction NOS","diagnostic","17 - CHD","2013-11-07"
"19","G306.00","Read","True posterior myocardial infarction","diagnostic","17 - CHD","2013-11-07"
"20","G307.00","Read","Acute subendocardial infarction","diagnostic","17 - CHD","2013-11-07"
"21","G307000","Read","Acute non-Q wave infarction","diagnostic","17 - CHD","2013-11-07"
"22","G307100","Read","Acute non-ST segment elevation myocardial infarction","diagnostic","17 - CHD","2013-11-07"
"23","G308.00","Read","Inferior myocardial infarction NOS","diagnostic","17 - CHD","2013-11-07"
