"","code","coding_system","description","entity","list_name","upload_date"
"1","H3...00","Read","Chronic obstructive pulmonary disease","diagnostic","22 - COPD","2013-11-07"
"2","H31..00","Read","Chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"3","H310.00","Read","Simple chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"4","H310000","Read","Chronic catarrhal bronchitis","diagnostic","22 - COPD","2013-11-07"
"5","H310100","Read","Smokers' cough","diagnostic","22 - COPD","2013-11-07"
"6","H310z00","Read","Simple chronic bronchitis NOS","diagnostic","22 - COPD","2013-11-07"
"7","H311.00","Read","Mucopurulent chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"8","H311000","Read","Purulent chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"9","H311100","Read","Fetid chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"10","H311z00","Read","Mucopurulent chronic bronchitis NOS","diagnostic","22 - COPD","2013-11-07"
"11","H312.00","Read","Obstructive chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"12","H312000","Read","Chronic asthmatic bronchitis","diagnostic","22 - COPD","2013-11-07"
"13","H312011","Read","Chronic wheezy bronchitis","diagnostic","22 - COPD","2013-11-07"
"14","H312100","Read","Emphysematous bronchitis","diagnostic","22 - COPD","2013-11-07"
"15","H312200","Read","Acute exacerbation of chronic obstructive airways disease","diagnostic","22 - COPD","2013-11-07"
"16","H312300","Read","Bronchiolitis obliterans","diagnostic","22 - COPD","2013-11-07"
"17","H312z00","Read","Obstructive chronic bronchitis NOS","diagnostic","22 - COPD","2013-11-07"
"18","H313.00","Read","Mixed simple and mucopurulent chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"19","H31y.00","Read","Other chronic bronchitis","diagnostic","22 - COPD","2013-11-07"
"20","H31y000","Read","Chronic tracheitis","diagnostic","22 - COPD","2013-11-07"
"21","H31y100","Read","Chronic tracheobronchitis","diagnostic","22 - COPD","2013-11-07"
"22","H31yz00","Read","Other chronic bronchitis NOS","diagnostic","22 - COPD","2013-11-07"
"23","H31z.00","Read","Chronic bronchitis NOS","diagnostic","22 - COPD","2013-11-07"
"24","H32..00","Read","Emphysema","diagnostic","22 - COPD","2013-11-07"
"25","H320.00","Read","Chronic bullous emphysema","diagnostic","22 - COPD","2013-11-07"
"26","H320000","Read","Segmental bullous emphysema","diagnostic","22 - COPD","2013-11-07"
"27","H320100","Read","Zonal bullous emphysema","diagnostic","22 - COPD","2013-11-07"
"28","H320200","Read","Giant bullous emphysema","diagnostic","22 - COPD","2013-11-07"
"29","H320300","Read","Bullous emphysema with collapse","diagnostic","22 - COPD","2013-11-07"
"30","H320311","Read","Tension pneumatocoele","diagnostic","22 - COPD","2013-11-07"
"31","H320z00","Read","Chronic bullous emphysema NOS","diagnostic","22 - COPD","2013-11-07"
"32","H321.00","Read","Panlobular emphysema","diagnostic","22 - COPD","2013-11-07"
"33","H322.00","Read","Centrilobular emphysema","diagnostic","22 - COPD","2013-11-07"
"34","H32y.00","Read","Other emphysema","diagnostic","22 - COPD","2013-11-07"
"35","H32y000","Read","Acute vesicular emphysema","diagnostic","22 - COPD","2013-11-07"
"36","H32y100","Read","Atrophic (senile) emphysema","diagnostic","22 - COPD","2013-11-07"
"37","H32y111","Read","Acute interstitial emphysema","diagnostic","22 - COPD","2013-11-07"
"38","H32y200","Read","MacLeod's unilateral emphysema","diagnostic","22 - COPD","2013-11-07"
"39","H32yz00","Read","Other emphysema NOS","diagnostic","22 - COPD","2013-11-07"
"40","H32z.00","Read","Emphysema NOS","diagnostic","22 - COPD","2013-11-07"
"41","H36..00","Read","Mild chronic obstructive pulmonary disease","diagnostic","22 - COPD","2013-11-07"
"42","H37..00","Read","Moderate chronic obstructive pulmonary disease","diagnostic","22 - COPD","2013-11-07"
"43","H38..00","Read","Severe chronic obstructive pulmonary disease","diagnostic","22 - COPD","2013-11-07"
"44","H39..00","Read","Very severe chronic obstructive pulmonary disease","diagnostic","22 - COPD","2013-11-07"
"45","H3A..00","Read","","diagnostic","22 - COPD","2013-11-07"
"46","H3y..00","Read","Other specified chronic obstructive airways disease","diagnostic","22 - COPD","2013-11-07"
"47","H3y0.00","Read","Chronic obstruct pulmonary dis with acute lower resp infectn","diagnostic","22 - COPD","2013-11-07"
"48","H3y1.00","Read","Chron obstruct pulmonary dis wth acute exacerbation; unspec","diagnostic","22 - COPD","2013-11-07"
"49","H3y..11","Read","Other specified chronic obstructive pulmonary disease","diagnostic","22 - COPD","2013-11-07"
"50","H3z..00","Read","Chronic obstructive airways disease NOS","diagnostic","22 - COPD","2013-11-07"
