"","code","coding_system","description","entity","list_name","upload_date"
"1","C10..00","Read","Diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"2","C109J00","Read","Insulin treated Type 2 diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"3","C109K00","Read","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"4","C10C.00","Read","Diabetes mellitus autosomal dominant","diagnostic","21 - Diabetes","2013-11-07"
"5","C10D.00","Read","Diabetes mellitus autosomal dominant type 2","diagnostic","21 - Diabetes","2013-11-07"
"6","C10E.00","Read","Type 1 diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"7","C10E000","Read","Type 1 diabetes mellitus with renal complications","diagnostic","21 - Diabetes","2013-11-07"
"8","C10E012","Read","Insulin-dependent diabetes mellitus with renal complications","diagnostic","21 - Diabetes","2013-11-07"
"9","C10E100","Read","Type 1 diabetes mellitus with ophthalmic complications","diagnostic","21 - Diabetes","2013-11-07"
"10","C10E.11","Read","Type I diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"11","C10E111","Read","Type I diabetes mellitus with ophthalmic complications","diagnostic","21 - Diabetes","2013-11-07"
"12","C10E112","Read","Insulin-dependent diabetes mellitus with ophthalmic comps","diagnostic","21 - Diabetes","2013-11-07"
"13","C10E.12","Read","Insulin dependent diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"14","C10E200","Read","Type 1 diabetes mellitus with neurological complications","diagnostic","21 - Diabetes","2013-11-07"
"15","C10E212","Read","Insulin-dependent diabetes mellitus with neurological comps","diagnostic","21 - Diabetes","2013-11-07"
"16","C10E300","Read","Type 1 diabetes mellitus with multiple complications","diagnostic","21 - Diabetes","2013-11-07"
"17","C10E311","Read","Type I diabetes mellitus with multiple complications","diagnostic","21 - Diabetes","2013-11-07"
"18","C10E312","Read","Insulin dependent diabetes mellitus with multiple complicat","diagnostic","21 - Diabetes","2013-11-07"
"19","C10E400","Read","Unstable type 1 diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"20","C10E411","Read","Unstable type I diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"21","C10E412","Read","Unstable insulin dependent diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"22","C10E500","Read","Type 1 diabetes mellitus with ulcer","diagnostic","21 - Diabetes","2013-11-07"
"23","C10E511","Read","Type I diabetes mellitus with ulcer","diagnostic","21 - Diabetes","2013-11-07"
"24","C10E512","Read","Insulin dependent diabetes mellitus with ulcer","diagnostic","21 - Diabetes","2013-11-07"
"25","C10E600","Read","Type 1 diabetes mellitus with gangrene","diagnostic","21 - Diabetes","2013-11-07"
"26","C10E611","Read","Type I diabetes mellitus with gangrene","diagnostic","21 - Diabetes","2013-11-07"
"27","C10E700","Read","Type 1 diabetes mellitus with retinopathy","diagnostic","21 - Diabetes","2013-11-07"
"28","C10E711","Read","Type I diabetes mellitus with retinopathy","diagnostic","21 - Diabetes","2013-11-07"
"29","C10E712","Read","Insulin dependent diabetes mellitus with retinopathy","diagnostic","21 - Diabetes","2013-11-07"
"30","C10E800","Read","Type 1 diabetes mellitus - poor control","diagnostic","21 - Diabetes","2013-11-07"
"31","C10E812","Read","Insulin dependent diabetes mellitus - poor control","diagnostic","21 - Diabetes","2013-11-07"
"32","C10E900","Read","Type 1 diabetes mellitus maturity onset","diagnostic","21 - Diabetes","2013-11-07"
"33","C10E911","Read","Type I diabetes mellitus maturity onset","diagnostic","21 - Diabetes","2013-11-07"
"34","C10E912","Read","Insulin dependent diabetes maturity onset","diagnostic","21 - Diabetes","2013-11-07"
"35","C10EA00","Read","Type 1 diabetes mellitus without complication","diagnostic","21 - Diabetes","2013-11-07"
"36","C10EA11","Read","Type I diabetes mellitus without complication","diagnostic","21 - Diabetes","2013-11-07"
"37","C10EA12","Read","Insulin-dependent diabetes without complication","diagnostic","21 - Diabetes","2013-11-07"
"38","C10EB00","Read","Type 1 diabetes mellitus with mononeuropathy","diagnostic","21 - Diabetes","2013-11-07"
"39","C10EC00","Read","Type 1 diabetes mellitus with polyneuropathy","diagnostic","21 - Diabetes","2013-11-07"
"40","C10EC11","Read","Type I diabetes mellitus with polyneuropathy","diagnostic","21 - Diabetes","2013-11-07"
"41","C10EC12","Read","Insulin dependent diabetes mellitus with polyneuropathy","diagnostic","21 - Diabetes","2013-11-07"
"42","C10ED00","Read","Type 1 diabetes mellitus with nephropathy","diagnostic","21 - Diabetes","2013-11-07"
"43","C10ED12","Read","Insulin dependent diabetes mellitus with nephropathy","diagnostic","21 - Diabetes","2013-11-07"
"44","C10EE00","Read","Type 1 diabetes mellitus with hypoglycaemic coma","diagnostic","21 - Diabetes","2013-11-07"
"45","C10EE12","Read","Insulin dependent diabetes mellitus with hypoglycaemic coma","diagnostic","21 - Diabetes","2013-11-07"
"46","C10EF00","Read","Type 1 diabetes mellitus with diabetic cataract","diagnostic","21 - Diabetes","2013-11-07"
"47","C10EF12","Read","Insulin dependent diabetes mellitus with diabetic cataract","diagnostic","21 - Diabetes","2013-11-07"
"48","C10EG00","Read","Type 1 diabetes mellitus with peripheral angiopathy","diagnostic","21 - Diabetes","2013-11-07"
"49","C10EH00","Read","Type 1 diabetes mellitus with arthropathy","diagnostic","21 - Diabetes","2013-11-07"
"50","C10EJ00","Read","Type 1 diabetes mellitus with neuropathic arthropathy","diagnostic","21 - Diabetes","2013-11-07"
"51","C10EK00","Read","Type 1 diabetes mellitus with persistent proteinuria","diagnostic","21 - Diabetes","2013-11-07"
"52","C10EL00","Read","Type 1 diabetes mellitus with persistent microalbuminuria","diagnostic","21 - Diabetes","2013-11-07"
"53","C10EL11","Read","Type I diabetes mellitus with persistent microalbuminuria","diagnostic","21 - Diabetes","2013-11-07"
"54","C10EM00","Read","Type 1 diabetes mellitus with ketoacidosis","diagnostic","21 - Diabetes","2013-11-07"
"55","C10EM11","Read","Type I diabetes mellitus with ketoacidosis","diagnostic","21 - Diabetes","2013-11-07"
"56","C10EN00","Read","Type 1 diabetes mellitus with ketoacidotic coma","diagnostic","21 - Diabetes","2013-11-07"
"57","C10EN11","Read","Type I diabetes mellitus with ketoacidotic coma","diagnostic","21 - Diabetes","2013-11-07"
"58","C10EP00","Read","Type 1 diabetes mellitus with exudative maculopathy","diagnostic","21 - Diabetes","2013-11-07"
"59","C10EP11","Read","Type I diabetes mellitus with exudative maculopathy","diagnostic","21 - Diabetes","2013-11-07"
"60","C10EQ00","Read","Type 1 diabetes mellitus with gastroparesis","diagnostic","21 - Diabetes","2013-11-07"
"61","C10ER00","Read","Latent autoimmune diabetes mellitus in adult","diagnostic","21 - Diabetes","2013-11-07"
"62","C10F.00","Read","Type 2 diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"63","C10F000","Read","Type 2 diabetes mellitus with renal complications","diagnostic","21 - Diabetes","2013-11-07"
"64","C10F011","Read","Type II diabetes mellitus with renal complications","diagnostic","21 - Diabetes","2013-11-07"
"65","C10F100","Read","Type 2 diabetes mellitus with ophthalmic complications","diagnostic","21 - Diabetes","2013-11-07"
"66","C10F.11","Read","Type II diabetes mellitus","diagnostic","21 - Diabetes","2013-11-07"
"67","C10F111","Read","Type II diabetes mellitus with ophthalmic complications","diagnostic","21 - Diabetes","2013-11-07"
