"","code","coding_system","description","entity","list_name","upload_date"
"1","F132100","Read","Progressive myoclonic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"2","F25..00","Read","Epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"3","F250.00","Read","Generalised nonconvulsive epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"4","F250000","Read","Petit mal (minor) epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"5","F250011","Read","Epileptic absences","diagnostic","23 - Epilepsy","2013-11-07"
"6","F250100","Read","Pykno-epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"7","F250200","Read","Epileptic seizures - atonic","diagnostic","23 - Epilepsy","2013-11-07"
"8","F250300","Read","Epileptic seizures - akinetic","diagnostic","23 - Epilepsy","2013-11-07"
"9","F250400","Read","Juvenile absence epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"10","F250500","Read","Lennox-Gastaut syndrome","diagnostic","23 - Epilepsy","2013-11-07"
"11","F250 A","Read","","diagnostic","23 - Epilepsy","2013-11-07"
"12","F250y00","Read","Other specified generalised nonconvulsive epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"13","F250z00","Read","Generalised nonconvulsive epilepsy NOS","diagnostic","23 - Epilepsy","2013-11-07"
"14","F2510","Read","","diagnostic","23 - Epilepsy","2013-11-07"
"15","F251.00","Read","Generalised convulsive epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"16","F251000","Read","Grand mal (major) epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"17","F251011","Read","Tonic-clonic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"18","F251100","Read","Neonatal myoclonic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"19","F251111","Read","Otohara syndrome","diagnostic","23 - Epilepsy","2013-11-07"
"20","F251200","Read","Epileptic seizures - clonic","diagnostic","23 - Epilepsy","2013-11-07"
"21","F251300","Read","Epileptic seizures - myoclonic","diagnostic","23 - Epilepsy","2013-11-07"
"22","F251400","Read","Epileptic seizures - tonic","diagnostic","23 - Epilepsy","2013-11-07"
"23","F251500","Read","Tonic-clonic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"24","F251600","Read","Grand mal seizure","diagnostic","23 - Epilepsy","2013-11-07"
"25","F251y00","Read","Other specified generalised convulsive epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"26","F251z00","Read","Generalised convulsive epilepsy NOS","diagnostic","23 - Epilepsy","2013-11-07"
"27","F252.00","Read","Petit mal status","diagnostic","23 - Epilepsy","2013-11-07"
"28","F253.00","Read","Grand mal status","diagnostic","23 - Epilepsy","2013-11-07"
"29","F253.11","Read","Status epilepticus","diagnostic","23 - Epilepsy","2013-11-07"
"30","F254.00","Read","Partial epilepsy with impairment of consciousness","diagnostic","23 - Epilepsy","2013-11-07"
"31","F254000","Read","Temporal lobe epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"32","F254100","Read","Psychomotor epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"33","F254200","Read","Psychosensory epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"34","F254300","Read","Limbic system epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"35","F254400","Read","Epileptic automatism","diagnostic","23 - Epilepsy","2013-11-07"
"36","F254500","Read","Complex partial epileptic seizure","diagnostic","23 - Epilepsy","2013-11-07"
"37","F254z00","Read","Partial epilepsy with impairment of consciousness NOS","diagnostic","23 - Epilepsy","2013-11-07"
"38","F255.00","Read","Partial epilepsy without impairment of consciousness","diagnostic","23 - Epilepsy","2013-11-07"
"39","F255000","Read","Jacksonian; focal or motor epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"40","F255011","Read","Focal epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"41","F255012","Read","Motor epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"42","F255100","Read","Sensory induced epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"43","F255200","Read","Somatosensory epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"44","F255300","Read","Visceral reflex epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"45","F255311","Read","Partial epilepsy with autonomic symptoms","diagnostic","23 - Epilepsy","2013-11-07"
"46","F255400","Read","Visual reflex epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"47","F255500","Read","Unilateral epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"48","F255600","Read","Simple partial epileptic seizure","diagnostic","23 - Epilepsy","2013-11-07"
"49","F255y00","Read","Partial epilepsy without impairment of consciousness OS","diagnostic","23 - Epilepsy","2013-11-07"
"50","F255z00","Read","Partial epilepsy without impairment of consciousness NOS","diagnostic","23 - Epilepsy","2013-11-07"
"51","F256.00","Read","Infantile spasms","diagnostic","23 - Epilepsy","2013-11-07"
"52","F256000","Read","Hypsarrhythmia","diagnostic","23 - Epilepsy","2013-11-07"
"53","F256100","Read","Salaam attacks","diagnostic","23 - Epilepsy","2013-11-07"
"54","F256.11","Read","Lightning spasms","diagnostic","23 - Epilepsy","2013-11-07"
"55","F256.12","Read","West syndrome","diagnostic","23 - Epilepsy","2013-11-07"
"56","F256z00","Read","Infantile spasms NOS","diagnostic","23 - Epilepsy","2013-11-07"
"57","F257.00","Read","Kojevnikov's epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"58","F258.00","Read","Post-ictal state","diagnostic","23 - Epilepsy","2013-11-07"
"59","F259.00","Read","Early infant epileptic encephalopathy wth suppression bursts","diagnostic","23 - Epilepsy","2013-11-07"
"60","F259.11","Read","Ohtahara syndrome","diagnostic","23 - Epilepsy","2013-11-07"
"61","F25A.00","Read","Juvenile myoclonic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"62","F25B.00","Read","Alcohol-induced epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"63","F25C.00","Read","Drug-induced epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"64","F25D.00","Read","Menstrual epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"65","F25E.00","Read","Stress-induced epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"66","F25F.00","Read","Photosensitive epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"67","F25X.00","Read","Status epilepticus; unspecified","diagnostic","23 - Epilepsy","2013-11-07"
"68","F25y.00","Read","Other forms of epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"69","F25y000","Read","Cursive (running) epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"70","F25y100","Read","Gelastic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"71","F25y200","Read","Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset","diagnostic","23 - Epilepsy","2013-11-07"
"72","F25y300","Read","Complex partial status epilepticus","diagnostic","23 - Epilepsy","2013-11-07"
"73","F25y400","Read","Benign Rolandic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
"74","F25y500","Read","Panayiotopoulos syndrome","diagnostic","23 - Epilepsy","2013-11-07"
"75","F25yz00","Read","Other forms of epilepsy NOS","diagnostic","23 - Epilepsy","2013-11-07"
"76","F25z.00","Read","Epilepsy NOS","diagnostic","23 - Epilepsy","2013-11-07"
"77","F25z.11","Read","Fit (in known epileptic) NOS","diagnostic","23 - Epilepsy","2013-11-07"
"78","SC20000","Read","Traumatic epilepsy","diagnostic","23 - Epilepsy","2013-11-07"
