"","code","coding_system","description","entity","list_name","upload_date"
"1","662f.00","Read","New York Heart Association classification - class I","diagnostic","18 - Heart_failure","2013-11-07"
"2","662F.00","Read","Hypertension treatm. started","diagnostic","18 - Heart_failure","2013-11-07"
"3","662g.00","Read","New York Heart Association classification - class II","diagnostic","18 - Heart_failure","2013-11-07"
"4","662G.00","Read","Hypertensive treatm.changed","diagnostic","18 - Heart_failure","2013-11-07"
"5","662h.00","Read","New York Heart Association classification - class III","diagnostic","18 - Heart_failure","2013-11-07"
"6","662H.00","Read","Hypertension treatm.stopped","diagnostic","18 - Heart_failure","2013-11-07"
"7","662i.00","Read","New York Heart Association classification - class IV","diagnostic","18 - Heart_failure","2013-11-07"
"8","G1yz100","Read","Rheumatic left ventricular failure","diagnostic","18 - Heart_failure","2013-11-07"
"9","G58..00","Read","Heart failure","diagnostic","18 - Heart_failure","2013-11-07"
"10","G580.00","Read","Congestive heart failure","diagnostic","18 - Heart_failure","2013-11-07"
"11","G580000","Read","Acute congestive heart failure","diagnostic","18 - Heart_failure","2013-11-07"
"12","G580100","Read","Chronic congestive heart failure","diagnostic","18 - Heart_failure","2013-11-07"
"13","G580.11","Read","Congestive cardiac failure","diagnostic","18 - Heart_failure","2013-11-07"
"14","G580.12","Read","Right heart failure","diagnostic","18 - Heart_failure","2013-11-07"
"15","G580.13","Read","Right ventricular failure","diagnostic","18 - Heart_failure","2013-11-07"
"16","G580.14","Read","Biventricular failure","diagnostic","18 - Heart_failure","2013-11-07"
"17","G580200","Read","Decompensated cardiac failure","diagnostic","18 - Heart_failure","2013-11-07"
"18","G580300","Read","Compensated cardiac failure","diagnostic","18 - Heart_failure","2013-11-07"
"19","G580400","Read","Congestive heart failure due to valvular disease","diagnostic","18 - Heart_failure","2013-11-07"
"20","G581.00","Read","Left ventricular failure","diagnostic","18 - Heart_failure","2013-11-07"
"21","G581000","Read","Acute left ventricular failure","diagnostic","18 - Heart_failure","2013-11-07"
"22","G58..11","Read","Cardiac failure","diagnostic","18 - Heart_failure","2013-11-07"
"23","G581.11","Read","Asthma - cardiac","diagnostic","18 - Heart_failure","2013-11-07"
"24","G581.12","Read","Pulmonary oedema - acute","diagnostic","18 - Heart_failure","2013-11-07"
"25","G581.13","Read","Impaired left ventricular function","diagnostic","18 - Heart_failure","2013-11-07"
"26","G582.00","Read","Acute heart failure","diagnostic","18 - Heart_failure","2013-11-07"
"27","G583.00","Read","Heart failure with normal ejection fraction","diagnostic","18 - Heart_failure","2013-11-07"
"28","G583.11","Read","HFNEF - heart failure with normal ejection fraction","diagnostic","18 - Heart_failure","2013-11-07"
"29","G584.00","Read","","diagnostic","18 - Heart_failure","2013-11-07"
"30","G58z.00","Read","Heart failure NOS","diagnostic","18 - Heart_failure","2013-11-07"
"31","G58z.11","Read","Weak heart","diagnostic","18 - Heart_failure","2013-11-07"
"32","G58z.12","Read","Cardiac failure NOS","diagnostic","18 - Heart_failure","2013-11-07"
