"","code","coding_system","description","entity","list_name","upload_date"
"1","G2...00","Read","Hypertensive disease","diagnostic","20 - Hypertension","2013-11-07"
"2","G20..00","Read","Essential hypertension","diagnostic","20 - Hypertension","2013-11-07"
"3","G200.00","Read","Malignant essential hypertension","diagnostic","20 - Hypertension","2013-11-07"
"4","G201.00","Read","Benign essential hypertension","diagnostic","20 - Hypertension","2013-11-07"
"5","G20..11","Read","High blood pressure","diagnostic","20 - Hypertension","2013-11-07"
"6","G202.00","Read","Systolic hypertension","diagnostic","20 - Hypertension","2013-11-07"
"7","G203.00","Read","Diastolic hypertension","diagnostic","20 - Hypertension","2013-11-07"
"8","G20z.00","Read","Essential hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"9","G20z.11","Read","Hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"10","G24..00","Read","Secondary hypertension","diagnostic","20 - Hypertension","2013-11-07"
"11","G240.00","Read","Secondary malignant hypertension","diagnostic","20 - Hypertension","2013-11-07"
"12","G240000","Read","Secondary malignant renovascular hypertension","diagnostic","20 - Hypertension","2013-11-07"
"13","G240z00","Read","Secondary malignant hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"14","G241.00","Read","Secondary benign hypertension","diagnostic","20 - Hypertension","2013-11-07"
"15","G241000","Read","Secondary benign renovascular hypertension","diagnostic","20 - Hypertension","2013-11-07"
"16","G241z00","Read","Secondary benign hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"17","G244.00","Read","Hypertension secondary to endocrine disorders","diagnostic","20 - Hypertension","2013-11-07"
"18","G24z.00","Read","Secondary hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"19","G24z000","Read","Secondary renovascular hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"20","G24z100","Read","Hypertension secondary to drug","diagnostic","20 - Hypertension","2013-11-07"
"21","G24zz00","Read","Secondary hypertension NOS","diagnostic","20 - Hypertension","2013-11-07"
"22","G2y..00","Read","Other specified hypertensive disease","diagnostic","20 - Hypertension","2013-11-07"
"23","G2z..00","Read","Hypertensive disease NOS","diagnostic","20 - Hypertension","2013-11-07"
"24","Gyu2.00","Read","[X]Hypertensive diseases","diagnostic","20 - Hypertension","2013-11-07"
"25","Gyu2000","Read","[X]Other secondary hypertension","diagnostic","20 - Hypertension","2013-11-07"
