"","code","coding_system","description","entity","list_name","upload_date"
"1","G61..00","Read","Intracerebral haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"2","G610.00","Read","Cortical haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"3","G611.00","Read","Internal capsule haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"4","G61..11","Read","CVA - cerebrovascular accid due to intracerebral haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"5","G61..12","Read","Stroke due to intracerebral haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"6","G612.00","Read","Basal nucleus haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"7","G613.00","Read","Cerebellar haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"8","G614.00","Read","Pontine haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"9","G615.00","Read","Bulbar haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"10","G616.00","Read","External capsule haemorrhage","diagnostic","19 - Stroke","2013-11-07"
"11","G617.00","Read","Intracerebral haemorrhage; intraventricular","diagnostic","19 - Stroke","2013-11-07"
"12","G618.00","Read","Intracerebral haemorrhage; multiple localized","diagnostic","19 - Stroke","2013-11-07"
"13","G61X.00","Read","Intracerebral haemorrhage in hemisphere; unspecified","diagnostic","19 - Stroke","2013-11-07"
"14","G61X000","Read","Left sided intracerebral haemorrhage; unspecified","diagnostic","19 - Stroke","2013-11-07"
"15","G61X100","Read","Right sided intracerebral haemorrhage; unspecified","diagnostic","19 - Stroke","2013-11-07"
"16","G61z.00","Read","Intracerebral haemorrhage NOS","diagnostic","19 - Stroke","2013-11-07"
"17","G63y000","Read","Cerebral infarct due to thrombosis of precerebral arteries","diagnostic","19 - Stroke","2013-11-07"
"18","G63y100","Read","Cerebral infarction due to embolism of precerebral arteries","diagnostic","19 - Stroke","2013-11-07"
"19","G64..00","Read","Cerebral arterial occlusion","diagnostic","19 - Stroke","2013-11-07"
"20","G640.00","Read","Cerebral thrombosis","diagnostic","19 - Stroke","2013-11-07"
"21","G640000","Read","Cerebral infarction due to thrombosis of cerebral arteries","diagnostic","19 - Stroke","2013-11-07"
"22","G641.00","Read","Cerebral embolism","diagnostic","19 - Stroke","2013-11-07"
"23","G641000","Read","Cerebral infarction due to embolism of cerebral arteries","diagnostic","19 - Stroke","2013-11-07"
"24","G64..11","Read","CVA - cerebral artery occlusion","diagnostic","19 - Stroke","2013-11-07"
"25","G641.11","Read","Cerebral embolus","diagnostic","19 - Stroke","2013-11-07"
"26","G64..12","Read","Infarction - cerebral","diagnostic","19 - Stroke","2013-11-07"
"27","G64..13","Read","Stroke due to cerebral arterial occlusion","diagnostic","19 - Stroke","2013-11-07"
"28","G64z.00","Read","Cerebral infarction NOS","diagnostic","19 - Stroke","2013-11-07"
"29","G64z000","Read","Brainstem infarction","diagnostic","19 - Stroke","2013-11-07"
"30","G64z100","Read","Wallenberg syndrome","diagnostic","19 - Stroke","2013-11-07"
"31","G64z.11","Read","Brainstem infarction NOS","diagnostic","19 - Stroke","2013-11-07"
"32","G64z111","Read","Lateral medullary syndrome","diagnostic","19 - Stroke","2013-11-07"
"33","G64z.12","Read","Cerebellar infarction","diagnostic","19 - Stroke","2013-11-07"
"34","G64z200","Read","Left sided cerebral infarction","diagnostic","19 - Stroke","2013-11-07"
"35","G64z300","Read","Right sided cerebral infarction","diagnostic","19 - Stroke","2013-11-07"
"36","G64z400","Read","Infarction of basal ganglia","diagnostic","19 - Stroke","2013-11-07"
"37","G65..00","Read","Transient cerebral ischaemia","diagnostic","19 - Stroke","2013-11-07"
"38","G650.00","Read","Basilar artery syndrome","diagnostic","19 - Stroke","2013-11-07"
"39","G650.11","Read","Insufficiency - basilar artery","diagnostic","19 - Stroke","2013-11-07"
"40","G651.00","Read","Vertebral artery syndrome","diagnostic","19 - Stroke","2013-11-07"
"41","G651000","Read","Vertebro-basilar artery syndrome","diagnostic","19 - Stroke","2013-11-07"
"42","G65..11","Read","Drop attack","diagnostic","19 - Stroke","2013-11-07"
"43","G65..12","Read","Transient ischaemic attack","diagnostic","19 - Stroke","2013-11-07"
"44","G65..13","Read","Vertebro-basilar insufficiency","diagnostic","19 - Stroke","2013-11-07"
"45","G652.00","Read","Subclavian steal syndrome","diagnostic","19 - Stroke","2013-11-07"
"46","G653.00","Read","Carotid artery syndrome hemispheric","diagnostic","19 - Stroke","2013-11-07"
"47","G654.00","Read","Multiple and bilateral precerebral artery syndromes","diagnostic","19 - Stroke","2013-11-07"
"48","G656.00","Read","Vertebrobasilar insufficiency","diagnostic","19 - Stroke","2013-11-07"
"49","G65y.00","Read","Other transient cerebral ischaemia","diagnostic","19 - Stroke","2013-11-07"
"50","G65z.00","Read","Transient cerebral ischaemia NOS","diagnostic","19 - Stroke","2013-11-07"
"51","G65z000","Read","Impending cerebral ischaemia","diagnostic","19 - Stroke","2013-11-07"
"52","G65z100","Read","Intermittent cerebral ischaemia","diagnostic","19 - Stroke","2013-11-07"
"53","G65zz00","Read","Transient cerebral ischaemia NOS","diagnostic","19 - Stroke","2013-11-07"
"54","G66..00","Read","Stroke and cerebrovascular accident unspecified","diagnostic","19 - Stroke","2013-11-07"
"55","G660.00","Read","Middle cerebral artery syndrome","diagnostic","19 - Stroke","2013-11-07"
"56","G661.00","Read","Anterior cerebral artery syndrome","diagnostic","19 - Stroke","2013-11-07"
"57","G66..11","Read","CVA unspecified","diagnostic","19 - Stroke","2013-11-07"
"58","G66..12","Read","Stroke unspecified","diagnostic","19 - Stroke","2013-11-07"
"59","G66..13","Read","CVA - Cerebrovascular accident unspecified","diagnostic","19 - Stroke","2013-11-07"
"60","G662.00","Read","Posterior cerebral artery syndrome","diagnostic","19 - Stroke","2013-11-07"
"61","G663.00","Read","Brain stem stroke syndrome","diagnostic","19 - Stroke","2013-11-07"
"62","G664.00","Read","Cerebellar stroke syndrome","diagnostic","19 - Stroke","2013-11-07"
"63","G665.00","Read","Pure motor lacunar syndrome","diagnostic","19 - Stroke","2013-11-07"
"64","G666.00","Read","Pure sensory lacunar syndrome","diagnostic","19 - Stroke","2013-11-07"
"65","G667.00","Read","Left sided CVA","diagnostic","19 - Stroke","2013-11-07"
"66","G668.00","Read","Right sided CVA","diagnostic","19 - Stroke","2013-11-07"
"67","G669.00","Read","Cerebral palsy; not congenital or infantile; acute","diagnostic","19 - Stroke","2013-11-07"
"68","G676000","Read","Cereb infarct due cerebral venous thrombosis; nonpyogenic","diagnostic","19 - Stroke","2013-11-07"
"69","G6W..00","Read","Cereb infarct due unsp occlus/stenos precerebr arteries","diagnostic","19 - Stroke","2013-11-07"
"70","G6X..00","Read","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","diagnostic","19 - Stroke","2013-11-07"
"71","Gyu6300","Read","[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","diagnostic","19 - Stroke","2013-11-07"
"72","Gyu6400","Read","[X]Other cerebral infarction","diagnostic","19 - Stroke","2013-11-07"
"73","Gyu6500","Read","[X]Occlusion and stenosis of other precerebral arteries","diagnostic","19 - Stroke","2013-11-07"
"74","Gyu6600","Read","[X]Occlusion and stenosis of other cerebral arteries","diagnostic","19 - Stroke","2013-11-07"
"75","Gyu6F00","Read","[X]Intracerebral haemorrhage in hemisphere; unspecified","diagnostic","19 - Stroke","2013-11-07"
"76","Gyu6G00","Read","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","diagnostic","19 - Stroke","2013-11-07"
"77","ZV12D00","Read","[V]Personal history of transient ischaemic attack","diagnostic","19 - Stroke","2013-11-07"
