"","code","coding_system","description","entity","list_name","upload_date"
"1","1656.00","Read","Feverish cold","diagnostic","166 - res20: cough/cold","2014-12-16"
"2","171..00","Read","Cough","diagnostic","166 - res20: cough/cold","2014-12-16"
"3","171..11","Read","C/O - cough","diagnostic","166 - res20: cough/cold","2014-12-16"
"4","1712.00","Read","Dry cough","diagnostic","166 - res20: cough/cold","2014-12-16"
"5","1713.00","Read","Productive cough -clear sputum","diagnostic","166 - res20: cough/cold","2014-12-16"
"6","171F.00","Read","Cough with fever","diagnostic","166 - res20: cough/cold","2014-12-16"
"7","171Z.00","Read","Cough symptom NOS","diagnostic","166 - res20: cough/cold","2014-12-16"
"8","H00..00","Read","Acute nasopharyngitis","diagnostic","166 - res20: cough/cold","2014-12-16"
"9","H00..11","Read","Common cold","diagnostic","166 - res20: cough/cold","2014-12-16"
"10","H00..12","Read","Coryza - acute","diagnostic","166 - res20: cough/cold","2014-12-16"
"11","H00..13","Read","Febrile cold","diagnostic","166 - res20: cough/cold","2014-12-16"
"12","H00..15","Read","Pyrexial cold","diagnostic","166 - res20: cough/cold","2014-12-16"
"13","R062.00","Read","[D]Cough","diagnostic","166 - res20: cough/cold","2014-12-16"
