"","code","coding_system","description","entity","list_name","upload_date"
"1","2D94.00","Read","O/E - tympanic membrane pink","diagnostic","169 - res20: Otitis media","2014-12-16"
"2","2D95.00","Read","O/E - tympanic membrane red","diagnostic","169 - res20: Otitis media","2014-12-16"
"3","2D96.00","Read","O/E - tympanic membrane bulging","diagnostic","169 - res20: Otitis media","2014-12-16"
"4","F51..00","Read","Nonsuppurative otitis media + eustachian tube disorders","diagnostic","169 - res20: Otitis media","2014-12-16"
"5","F510.00","Read","Acute non suppurative otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"6","F510000","Read","Acute otitis media with effusion","diagnostic","169 - res20: Otitis media","2014-12-16"
"7","F510011","Read","Acute secretory otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"8","F510100","Read","Acute serous otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"9","F510200","Read","Acute mucoid otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"10","F510z00","Read","Acute nonsuppurative otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"11","F514.00","Read","Unspecified nonsuppurative otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"12","F514100","Read","Serous otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"13","F514200","Read","Catarrhal otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"14","F514300","Read","Mucoid otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"15","F514z00","Read","Nonsuppurative otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"16","F52..00","Read","Suppurative and unspecified otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"17","F520.00","Read","Acute suppurative otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"18","F520000","Read","Acute suppurative otitis media tympanic membrane intact","diagnostic","169 - res20: Otitis media","2014-12-16"
"19","F520100","Read","Acute suppurative otitis media tympanic membrane ruptured","diagnostic","169 - res20: Otitis media","2014-12-16"
"20","F520300","Read","Acute suppurative otitis media due to disease EC","diagnostic","169 - res20: Otitis media","2014-12-16"
"21","F520z00","Read","Acute suppurative otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"22","F524.00","Read","Purulent otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"23","F524000","Read","Bilateral suppurative otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"24","F526.00","Read","Acute left otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"25","F527.00","Read","Acute right otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"26","F528.00","Read","Acute bilateral otitis media","diagnostic","169 - res20: Otitis media","2014-12-16"
"27","F52z.00","Read","Otitis media NOS","diagnostic","169 - res20: Otitis media","2014-12-16"
"28","F52z.11","Read","Infection ear","diagnostic","169 - res20: Otitis media","2014-12-16"
