"","code","coding_system","description","entity","list_name","upload_date"
"1","1C9..00","Read","Sore throat symptom","diagnostic","168 - res20: Sore throat","2014-12-16"
"2","1C9..11","Read","Throat soreness","diagnostic","168 - res20: Sore throat","2014-12-16"
"3","1C92.00","Read","Has a sore throat","diagnostic","168 - res20: Sore throat","2014-12-16"
"4","1C93.00","Read","Persistent sore throat","diagnostic","168 - res20: Sore throat","2014-12-16"
"5","1C9Z.00","Read","Sore throat symptom NOS","diagnostic","168 - res20: Sore throat","2014-12-16"
"6","1CB3.00","Read","Throat pain","diagnostic","168 - res20: Sore throat","2014-12-16"
"7","1CB3.11","Read","Pain in throat","diagnostic","168 - res20: Sore throat","2014-12-16"
"8","2DC1.00","Read","O/E - pharynx hyperaemic","diagnostic","168 - res20: Sore throat","2014-12-16"
"9","2DC1.11","Read","O/E - fauces injected","diagnostic","168 - res20: Sore throat","2014-12-16"
"10","2DC3.00","Read","Inflamed throat","diagnostic","168 - res20: Sore throat","2014-12-16"
"11","H00..00","Read","Acute nasopharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"12","H02..00","Read","Acute pharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"13","H02..11","Read","Sore throat NOS","diagnostic","168 - res20: Sore throat","2014-12-16"
"14","H02..12","Read","Viral sore throat NOS","diagnostic","168 - res20: Sore throat","2014-12-16"
"15","H02..13","Read","Throat infection - pharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"16","H024.00","Read","Acute viral pharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"17","H02z.00","Read","Acute pharyngitis NOS","diagnostic","168 - res20: Sore throat","2014-12-16"
"18","H03..00","Read","Acute tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"19","H030.00","Read","Acute erythematous tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"20","H031.00","Read","Acute follicular tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"21","H03..11","Read","Throat infection - tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"22","H03..12","Read","Tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"23","H032.00","Read","Acute ulcerative tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"24","H036.00","Read","Acute viral tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"25","H037.00","Read","Recurrent acute tonsillitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"26","H03z.00","Read","Acute tonsillitis NOS","diagnostic","168 - res20: Sore throat","2014-12-16"
"27","H050.00","Read","Acute laryngopharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"28","H052.00","Read","Pharyngotracheitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"29","H053.00","Read","Tracheopharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"30","H055.00","Read","Pharyngolaryngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"31","H271100","Read","Influenza with pharyngitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"32","J083600","Read","Uvulitis","diagnostic","168 - res20: Sore throat","2014-12-16"
"33","R041.00","Read","[D]Throat pain","diagnostic","168 - res20: Sore throat","2014-12-16"
