"","code","coding_system","description","entity","list_name","upload_date"
"1","16L..00","Read","Influenza-like symptoms","diagnostic","167 - res20: URTI","2014-12-16"
"2","1J72.00","Read","Suspected swine influenza","diagnostic","167 - res20: URTI","2014-12-16"
"3","H0...00","Read","Acute respiratory infections","diagnostic","167 - res20: URTI","2014-12-16"
"4","H00..00","Read","Acute nasopharyngitis","diagnostic","167 - res20: URTI","2014-12-16"
"5","H00..11","Read","Common cold","diagnostic","167 - res20: URTI","2014-12-16"
"6","H00..12","Read","Coryza - acute","diagnostic","167 - res20: URTI","2014-12-16"
"7","H00..13","Read","Febrile cold","diagnostic","167 - res20: URTI","2014-12-16"
"8","H00..14","Read","Nasal catarrh - acute","diagnostic","167 - res20: URTI","2014-12-16"
"9","H00..15","Read","Pyrexial cold","diagnostic","167 - res20: URTI","2014-12-16"
"10","H00..16","Read","Rhinitis - acute","diagnostic","167 - res20: URTI","2014-12-16"
"11","H023z00","Read","Acute bacterial pharyngitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"12","H024.00","Read","Acute viral pharyngitis","diagnostic","167 - res20: URTI","2014-12-16"
"13","H02z.00","Read","Acute pharyngitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"14","H03..00","Read","Acute tonsillitis","diagnostic","167 - res20: URTI","2014-12-16"
"15","H03..11","Read","Throat infection - tonsillitis","diagnostic","167 - res20: URTI","2014-12-16"
"16","H036.00","Read","Acute viral tonsillitis","diagnostic","167 - res20: URTI","2014-12-16"
"17","H03z.00","Read","Acute tonsillitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"18","H04..00","Read","Acute laryngitis and tracheitis","diagnostic","167 - res20: URTI","2014-12-16"
"19","H040.00","Read","Acute laryngitis","diagnostic","167 - res20: URTI","2014-12-16"
"20","H040w00","Read","Acute viral laryngitis unspecified","diagnostic","167 - res20: URTI","2014-12-16"
"21","H040z00","Read","Acute laryngitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"22","H041.00","Read","Acute tracheitis","diagnostic","167 - res20: URTI","2014-12-16"
"23","H041000","Read","Acute tracheitis without obstruction","diagnostic","167 - res20: URTI","2014-12-16"
"24","H041100","Read","Acute tracheitis with obstruction","diagnostic","167 - res20: URTI","2014-12-16"
"25","H041z00","Read","Acute tracheitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"26","H042.00","Read","Acute laryngotracheitis","diagnostic","167 - res20: URTI","2014-12-16"
"27","H042000","Read","Acute laryngotracheitis without obstruction","diagnostic","167 - res20: URTI","2014-12-16"
"28","H042100","Read","Acute laryngotracheitis with obstruction","diagnostic","167 - res20: URTI","2014-12-16"
"29","H042.11","Read","Laryngotracheitis","diagnostic","167 - res20: URTI","2014-12-16"
"30","H042z00","Read","Acute laryngotracheitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"31","H04z.00","Read","Acute laryngitis and tracheitis NOS","diagnostic","167 - res20: URTI","2014-12-16"
"32","H05..00","Read","Other acute upper respiratory infections","diagnostic","167 - res20: URTI","2014-12-16"
"33","H050.00","Read","Acute laryngopharyngitis","diagnostic","167 - res20: URTI","2014-12-16"
"34","H051.00","Read","Acute upper respiratory tract infection","diagnostic","167 - res20: URTI","2014-12-16"
"35","H052.00","Read","Pharyngotracheitis","diagnostic","167 - res20: URTI","2014-12-16"
"36","H054.00","Read","Recurrent upper respiratory tract infection","diagnostic","167 - res20: URTI","2014-12-16"
"37","H055.00","Read","Pharyngolaryngitis","diagnostic","167 - res20: URTI","2014-12-16"
"38","H05y.00","Read","Other upper respiratory infections of multiple sites","diagnostic","167 - res20: URTI","2014-12-16"
"39","H05z.00","Read","Upper respiratory infection NOS","diagnostic","167 - res20: URTI","2014-12-16"
"40","H05z.11","Read","Upper respiratory tract infection NOS","diagnostic","167 - res20: URTI","2014-12-16"
"41","H05z.12","Read","Viral upper respiratory tract infection NOS","diagnostic","167 - res20: URTI","2014-12-16"
"42","H06z111","Read","Respiratory tract infection","diagnostic","167 - res20: URTI","2014-12-16"
"43","H0z..00","Read","Acute respiratory infection NOS","diagnostic","167 - res20: URTI","2014-12-16"
"44","H27..00","Read","Influenza","diagnostic","167 - res20: URTI","2014-12-16"
"45","H271.00","Read","Influenza with other respiratory manifestation","diagnostic","167 - res20: URTI","2014-12-16"
"46","H271000","Read","Influenza with laryngitis","diagnostic","167 - res20: URTI","2014-12-16"
"47","H271100","Read","Influenza with pharyngitis","diagnostic","167 - res20: URTI","2014-12-16"
"48","H271z00","Read","Influenza with respiratory manifestations NOS","diagnostic","167 - res20: URTI","2014-12-16"
"49","H27yz00","Read","Influenza with other manifestations NOS","diagnostic","167 - res20: URTI","2014-12-16"
"50","H27z.00","Read","Influenza NOS","diagnostic","167 - res20: URTI","2014-12-16"
"51","H27z.11","Read","Flu like illness","diagnostic","167 - res20: URTI","2014-12-16"
"52","H27z.12","Read","Influenza like illness","diagnostic","167 - res20: URTI","2014-12-16"
"53","H29..00","Read","Avian influenza","diagnostic","167 - res20: URTI","2014-12-16"
"54","H2A..","Read","Influenza A (H1N1) swine flu","diagnostic","167 - res20: URTI","2014-12-16"
"55","H5yy.11","Read","Respiratory infection NOS","diagnostic","167 - res20: URTI","2014-12-16"
"56","Hyu0.00","Read","[X]Acute upper respiratory infections","diagnostic","167 - res20: URTI","2014-12-16"
"57","Hyu0300","Read","[X]Other acute upper respiratory infections/multiple sites","diagnostic","167 - res20: URTI","2014-12-16"
