"","code","coding_system","description","entity","list_name","upload_date"
"1","1O1..00","Read","Heart failure confirmed","diagnostic","171 - res21: HF","2015-01-29"
"2","G1yz100","Read","Rheumatic left ventricular failure","diagnostic","171 - res21: HF","2015-01-29"
"3","G232.00","Read","Hypertensive heart&renal dis wth (congestive) heart failure","diagnostic","171 - res21: HF","2015-01-29"
"4","G234.00","Read","Hyperten heart&renal dis+both(congestv)heart and renal fail","diagnostic","171 - res21: HF","2015-01-29"
"5","G58..00","Read","Heart failure","diagnostic","171 - res21: HF","2015-01-29"
"6","G580.00","Read","Congestive heart failure","diagnostic","171 - res21: HF","2015-01-29"
"7","G580000","Read","Acute congestive heart failure","diagnostic","171 - res21: HF","2015-01-29"
"8","G580100","Read","Chronic congestive heart failure","diagnostic","171 - res21: HF","2015-01-29"
"9","G580.11","Read","Congestive cardiac failure","diagnostic","171 - res21: HF","2015-01-29"
"10","G580.12","Read","Right heart failure","diagnostic","171 - res21: HF","2015-01-29"
"11","G580.13","Read","Right ventricular failure","diagnostic","171 - res21: HF","2015-01-29"
"12","G580.14","Read","Biventricular failure","diagnostic","171 - res21: HF","2015-01-29"
"13","G580200","Read","Decompensated cardiac failure","diagnostic","171 - res21: HF","2015-01-29"
"14","G580300","Read","Compensated cardiac failure","diagnostic","171 - res21: HF","2015-01-29"
"15","G581.00","Read","Left ventricular failure","diagnostic","171 - res21: HF","2015-01-29"
"16","G581000","Read","Acute left ventricular failure","diagnostic","171 - res21: HF","2015-01-29"
"17","G58..11","Read","Cardiac failure","diagnostic","171 - res21: HF","2015-01-29"
"18","G581.11","Read","Asthma - cardiac","diagnostic","171 - res21: HF","2015-01-29"
"19","G581.12","Read","Pulmonary oedema - acute","diagnostic","171 - res21: HF","2015-01-29"
"20","G581.13","Read","Impaired left ventricular function","diagnostic","171 - res21: HF","2015-01-29"
"21","G582.00","Read","Acute heart failure","diagnostic","171 - res21: HF","2015-01-29"
"22","G58z.00","Read","Heart failure NOS","diagnostic","171 - res21: HF","2015-01-29"
"23","G58z.12","Read","Cardiac failure NOS","diagnostic","171 - res21: HF","2015-01-29"
"24","Q48y100","Read","Congenital cardiac failure","diagnostic","171 - res21: HF","2015-01-29"
"25","Q490.00","Read","Neonatal cardiac failure","diagnostic","171 - res21: HF","2015-01-29"
"26","402 C","OXMIS","HYPERTENSION CONGESTIVE HEART FAILURE","diagnostic","171 - res21: HF","2015-01-29"
"27","4270","OXMIS","CONGESTIVE HEART FAILURE","diagnostic","171 - res21: HF","2015-01-29"
"28","4270C","OXMIS","CONGESTIVE CARDIAC FAILURE","diagnostic","171 - res21: HF","2015-01-29"
"29","4270CC","OXMIS","CONGESTIVE HEART FAILURE COMPENSATED","diagnostic","171 - res21: HF","2015-01-29"
"30","4270D","OXMIS","CONGESTIVE HEART FAILURE DECOMPENSATED","diagnostic","171 - res21: HF","2015-01-29"
"31","4270DR","OXMIS","DROPSY CARDIAC","diagnostic","171 - res21: HF","2015-01-29"
"32","4270LW","OXMIS","SYNDROME LOW-OUTPUT","diagnostic","171 - res21: HF","2015-01-29"
"33","4270R","OXMIS","HEART FAILURE RIGHT-SIDED","diagnostic","171 - res21: HF","2015-01-29"
"34","4271","OXMIS","LVF (LEFT VENTRICULAR FAILURE)","diagnostic","171 - res21: HF","2015-01-29"
"35","4271A","OXMIS","LEFT VENTRICULAR FAILURE ACUTE","diagnostic","171 - res21: HF","2015-01-29"
"36","4271H","OXMIS","HEART FAILURE LEFT-SIDED","diagnostic","171 - res21: HF","2015-01-29"
"37","428 A","OXMIS","INSUFFICIENCY CARDIAC","diagnostic","171 - res21: HF","2015-01-29"
"38","7824A","OXMIS","HIGH OUTPUT FAILURE (CARDIAC)","diagnostic","171 - res21: HF","2015-01-29"
"39","7824AC","OXMIS","HEART FAILURE ACUTE","diagnostic","171 - res21: HF","2015-01-29"
"40","7824FC","OXMIS","FAILURE CARDIAC","diagnostic","171 - res21: HF","2015-01-29"
"41","7824FH","OXMIS","HEART FAILURE","diagnostic","171 - res21: HF","2015-01-29"
