"","code","coding_system","description","entity","list_name","upload_date"
"1","13AB.00","Read","Diabetic lipid lowering diet","diagnostic","172 - res22: diabetes","2015-02-26"
"2","13AC.00","Read","Diabetic weight reducing diet","diagnostic","172 - res22: diabetes","2015-02-26"
"3","13B1.00","Read","Diabetic diet","diagnostic","172 - res22: diabetes","2015-02-26"
"4","14F4.00","Read","H/O: Admission in last year for diabetes foot problem","diagnostic","172 - res22: diabetes","2015-02-26"
"5","2BBF.00","Read","Retinal abnormality - diabetes related","diagnostic","172 - res22: diabetes","2015-02-26"
"6","2BBk.00","Read","O/E - right eye stable treated prolif diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"7","2BBl.00","Read","O/E - left eye stable treated prolif diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"8","2BBL.00","Read","O/E - diabetic maculopathy present both eyes","diagnostic","172 - res22: diabetes","2015-02-26"
"9","2BBM.00","Read","O/E - diabetic maculopathy absent both eyes","diagnostic","172 - res22: diabetes","2015-02-26"
"10","2BBo.00","Read","O/E - sight threatening diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"11","2BBP.00","Read","O/E - right eye background diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"12","2BBQ.00","Read","O/E - left eye background diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"13","2BBR.00","Read","O/E - right eye preproliferative diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"14","2BBS.00","Read","O/E - left eye preproliferative diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"15","2BBT.00","Read","O/E - right eye proliferative diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"16","2BBV.00","Read","O/E - left eye proliferative diabetic retinopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"17","2BBW.00","Read","O/E - right eye diabetic maculopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"18","2BBX.00","Read","O/E - left eye diabetic maculopathy","diagnostic","172 - res22: diabetes","2015-02-26"
"19","2G51000","Read","Foot abnormality - diabetes related","diagnostic","172 - res22: diabetes","2015-02-26"
"20","2G5A.00","Read","O/E - Right diabetic foot at risk","diagnostic","172 - res22: diabetes","2015-02-26"
"21","2G5B.00","Read","O/E - Left diabetic foot at risk","diagnostic","172 - res22: diabetes","2015-02-26"
"22","2G5C.00","Read","Foot abnormality - diabetes related","diagnostic","172 - res22: diabetes","2015-02-26"
"23","2G5E.00","Read","O/E - Right diabetic foot at low risk","diagnostic","172 - res22: diabetes","2015-02-26"
"24","2G5F.00","Read","O/E - Right diabetic foot at moderate risk","diagnostic","172 - res22: diabetes","2015-02-26"
