"","code","coding_system","description","entity","list_name","upload_date"
"1","10009001","Multilex","insulin biphasic lispro human prb injection 25:75; 100 units/ml","drug","176 - res22: diabetes_meds","2015-03-04"
"2","10009002","Multilex","insulin biphasic lispro human prb injection 50:50; 100 units/ml","drug","176 - res22: diabetes_meds","2015-03-04"
"3","1017001","Multilex","PORK VELOSULIN injection 100 units/ml [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"4","10236001","Multilex","rosiglitazone tablets 2mg","drug","176 - res22: diabetes_meds","2015-03-04"
"5","10236002","Multilex","rosiglitazone tablets 4mg","drug","176 - res22: diabetes_meds","2015-03-04"
"6","10236003","Multilex","rosiglitazone tablets 8mg","drug","176 - res22: diabetes_meds","2015-03-04"
"7","10239005","Multilex","u100 single use insulin syringe with 8mm needle(29G) 0.3ml","drug","176 - res22: diabetes_meds","2015-03-04"
"8","10240005","Multilex","u100 single use insulin syringe with 8mm needle(29G) 0.5ml","drug","176 - res22: diabetes_meds","2015-03-04"
"9","10314005","Multilex","Abcare U100 glass insulin syringe 0.5ml [RAND]","drug","176 - res22: diabetes_meds","2015-03-04"
"10","10315005","Multilex","Abcare U100 glass insulin syringe 1ml [RAND]","drug","176 - res22: diabetes_meds","2015-03-04"
"11","10336005","Multilex","Innovo green insulin pen 3ml/1-70 units [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"12","10337005","Multilex","Innovo orange insulin pen 3ml/1-70 units [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"13","10444001","Multilex","insulin biphasic aspart human pyr injection 30:70; 100 units/ml","drug","176 - res22: diabetes_meds","2015-03-04"
"14","10445001","Multilex","NOVOMIX 30 injection 30:70; 100 units/ml [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"15","1084001","Multilex","acarbose tablets 50mg","drug","176 - res22: diabetes_meds","2015-03-04"
"16","1084002","Multilex","acarbose tablets 100mg","drug","176 - res22: diabetes_meds","2015-03-04"
"17","10917005","Multilex","Novopen Junior green insulin pen 3ml/1-35 units [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"18","10918005","Multilex","Novopen Junior yellow insulin pen 3ml/1-35 units [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"19","11000001","Multilex","HYPURIN PORCINE NEUTRAL injection 100 units/ml [CP PHARM]","drug","176 - res22: diabetes_meds","2015-03-04"
"20","11004001","Multilex","HYPURIN PORCINE ISOPHANE injection 100 units/ml [WOCKHARDT]","drug","176 - res22: diabetes_meds","2015-03-04"
"21","11021001","Multilex","HYPURIN PORCINE 30/70 MIX injection 100 iu/ml [WOCKHARDT]","drug","176 - res22: diabetes_meds","2015-03-04"
"22","11025005","Multilex","Autopen Junior insulin pen 3ml/2-42 units [OWEN]","drug","176 - res22: diabetes_meds","2015-03-04"
"23","11026005","Multilex","Autopen Junior insulin pen 3ml/1-21 units [OWEN]","drug","176 - res22: diabetes_meds","2015-03-04"
"24","1104001","Multilex","HUMALOG MIX 25 injection 25:75; 100 units/ml [LILLY]","drug","176 - res22: diabetes_meds","2015-03-04"
"25","11148001","Multilex","INSUMAN RAPID injection 100 iu/ml [AVENTIS]","drug","176 - res22: diabetes_meds","2015-03-04"
"26","1138007","Multilex","MONOJECT INSULIN NEEDLES","drug","176 - res22: diabetes_meds","2015-03-04"
"27","11476003","Multilex","ROMOZIN tablets 400mg [GLAXO]","drug","176 - res22: diabetes_meds","2015-03-04"
"28","11525005","Multilex","Unifine single use insulin syringe with 8mm needle(30G) 0.3ml [OWEN]","drug","176 - res22: diabetes_meds","2015-03-04"
"29","11526005","Multilex","Unifine single use insulin syringe with 8mm needle(30G) 0.5ml [OWEN]","drug","176 - res22: diabetes_meds","2015-03-04"
"30","11550001","Multilex","glimepiride tablets 2mg","drug","176 - res22: diabetes_meds","2015-03-04"
"31","11550002","Multilex","glimepiride tablets 1mg","drug","176 - res22: diabetes_meds","2015-03-04"
"32","11550003","Multilex","glimepiride tablets 3mg","drug","176 - res22: diabetes_meds","2015-03-04"
"33","11552001","Multilex","AMARYL tablets 2mg [AVENTIS]","drug","176 - res22: diabetes_meds","2015-03-04"
"34","11552002","Multilex","AMARYL tablets 1mg [AVENTIS]","drug","176 - res22: diabetes_meds","2015-03-04"
"35","11552003","Multilex","AMARYL tablets 3mg [AVENTIS]","drug","176 - res22: diabetes_meds","2015-03-04"
"36","11586001","Multilex","PORK ACTRAPID VIAL injection solution 100 units/ml [NOVO]","drug","176 - res22: diabetes_meds","2015-03-04"
"37","11628005","Multilex","Abcare ordinary purpose syringe 1ml [RAND]","drug","176 - res22: diabetes_meds","2015-03-04"
"38","11629005","Multilex","Abcare ordinary purpose syringe 2ml [RAND]","drug","176 - res22: diabetes_meds","2015-03-04"
"39","11644001","Multilex","glimepiride tablets 4mg","drug","176 - res22: diabetes_meds","2015-03-04"
"40","11665001","Multilex","AMARYL tablets 4mg [AVENTIS]","drug","176 - res22: diabetes_meds","2015-03-04"
"41","11788005","Multilex","Autopen Special Edition insulin pen 3ml/1-21 units [OWEN]","drug","176 - res22: diabetes_meds","2015-03-04"
"42","11789005","Multilex","Autopen Special Edition insulin pen 3ml/2-42 units [OWEN]","drug","176 - res22: diabetes_meds","2015-03-04"
"43","1182001","Multilex","HUMULIN ZN injection 100 units/ml [LILLY]","drug","176 - res22: diabetes_meds","2015-03-04"
"44","11864001","Multilex","DIAGLYK tablets 80mg [ASHBOURNE]","drug","176 - res22: diabetes_meds","2015-03-04"
"45","11867001","Multilex","nateglinide tablets 60mg","drug","176 - res22: diabetes_meds","2015-03-04"
"46","11867002","Multilex","nateglinide tablets 120mg","drug","176 - res22: diabetes_meds","2015-03-04"
