"","code","coding_system","description","entity","list_name","upload_date"
"1","1A81.00","Read","No breast lump","test","173 - res22: screen_breast","2015-02-26"
"2","1A82.00","Read","Breast lump present","test","173 - res22: screen_breast","2015-02-26"
"3","1A84.00","Read","Breast lump detected by mammogram","test","173 - res22: screen_breast","2015-02-26"
"4","537..00","Read","Soft tissue X-ray breast","test","173 - res22: screen_breast","2015-02-26"
"5","5371.00","Read","Mammography requested","test","173 - res22: screen_breast","2015-02-26"
"6","537..11","Read","Mammography - X-ray","test","173 - res22: screen_breast","2015-02-26"
"7","5372.00","Read","Mammography normal","test","173 - res22: screen_breast","2015-02-26"
"8","5373.00","Read","Mammography abnormal","test","173 - res22: screen_breast","2015-02-26"
"9","5374.00","Read","Mammography offered","test","173 - res22: screen_breast","2015-02-26"
"10","5376.00","Read","Mammography attended","test","173 - res22: screen_breast","2015-02-26"
"11","537Z.00","Read","Soft tissue X-ray breast NOS","test","173 - res22: screen_breast","2015-02-26"
"12","54L3.00","Read","Mammary gland contrast radiog.","test","173 - res22: screen_breast","2015-02-26"
"13","54L3.11","Read","Breast contrast radiog","test","173 - res22: screen_breast","2015-02-26"
"14","54L3.12","Read","Mammary contrast radiog","test","173 - res22: screen_breast","2015-02-26"
"15","56B1.00","Read","Specific mammary gland imaging","test","173 - res22: screen_breast","2015-02-26"
"16","585C.00","Read","US scan of breast","test","173 - res22: screen_breast","2015-02-26"
"17","5861.00","Read","Thermography - breast","test","173 - res22: screen_breast","2015-02-26"
"18","5861.11","Read","Mammogram-thermographic","test","173 - res22: screen_breast","2015-02-26"
"19","6862.00","Read","Breast neoplasm screen","test","173 - res22: screen_breast","2015-02-26"
"20","6862000","Read","Breast neoplasm screen normal","test","173 - res22: screen_breast","2015-02-26"
"21","6862100","Read","Breast neoplasm screen abnorm","test","173 - res22: screen_breast","2015-02-26"
"22","6862.11","Read","Mammography - screening","test","173 - res22: screen_breast","2015-02-26"
"23","6862Z00","Read","Breast neoplasm screen NOS","test","173 - res22: screen_breast","2015-02-26"
"24","6865.00","Read","Breast neoplasm screen normal","test","173 - res22: screen_breast","2015-02-26"
"25","7P0F.00","Read","Diagnostic imaging of breast","test","173 - res22: screen_breast","2015-02-26"
"26","7P0F000","Read","Scintimammography","test","173 - res22: screen_breast","2015-02-26"
"27","7P0F100","Read","Thermography of breast","test","173 - res22: screen_breast","2015-02-26"
"28","7P0F200","Read","Mammography","test","173 - res22: screen_breast","2015-02-26"
"29","7P0Fy00","Read","Other specified diagnostic imaging of breast","test","173 - res22: screen_breast","2015-02-26"
"30","7P0Fz00","Read","Diagnostic imaging of breast NOS","test","173 - res22: screen_breast","2015-02-26"
"31","8HT8.00","Read","Referral to mammography clinic","test","173 - res22: screen_breast","2015-02-26"
"32","8HTI.00","Read","Referral to breast clinic","test","173 - res22: screen_breast","2015-02-26"
"33","9N0A.00","Read","Seen in breast clinic","test","173 - res22: screen_breast","2015-02-26"
"34","9N1y900","Read","Seen in breast clinic","test","173 - res22: screen_breast","2015-02-26"
"35","9Np2.00","Read","Seen in fast track suspected breast cancer clinic","test","173 - res22: screen_breast","2015-02-26"
"36","9OH9.00","Read","Breast screen abnorm.-told pat","test","173 - res22: screen_breast","2015-02-26"
"37","9OHZ.00","Read","Breast screening administr.NOS","test","173 - res22: screen_breast","2015-02-26"
"38","9Oq8.00","Read","Attended breast screening clinic","test","173 - res22: screen_breast","2015-02-26"
"39","R138.00","Read","[D]Breast imaging abnormal","test","173 - res22: screen_breast","2015-02-26"
"40","R138000","Read","[D]Mammogram abnormal","test","173 - res22: screen_breast","2015-02-26"
"41","R138z00","Read","[D]Breast imaging abnormal NOS","test","173 - res22: screen_breast","2015-02-26"
"42","ZV76100","Read","[V]Screening for malignant neoplasm of breast","test","173 - res22: screen_breast","2015-02-26"
"43","L0010CB","OXMIS","SEEN IN MAMMOGRAPHY CLINIC","test","173 - res22: screen_breast","2015-02-26"
"44","L0010GB","OXMIS","REFERRED TO MAMMOGRAPHY CLINIC","test","173 - res22: screen_breast","2015-02-26"
"45","X9110","OXMIS","MAMMOGRAM","test","173 - res22: screen_breast","2015-02-26"
"46","X9111","OXMIS","MAMMOGRAM NORMAL","test","173 - res22: screen_breast","2015-02-26"
"47","X9111AB","OXMIS","MAMMOGRAM ABNORMAL","test","173 - res22: screen_breast","2015-02-26"
"48","Y060 E","OXMIS","BREAST SCREENING EXAMINATION","test","173 - res22: screen_breast","2015-02-26"
"49","Y1000HB","OXMIS","BREAST SCREENING","test","173 - res22: screen_breast","2015-02-26"
"50","Y600 EN","OXMIS","BREAST SCREENING EXAMINATION NORMAL","test","173 - res22: screen_breast","2015-02-26"
