"","code","coding_system","description","entity","list_name","upload_date"
"1","4149.00","Read","Cervical cytology sample sent to laboratory","test","174 - res22: screen_cervical","2015-02-26"
"2","4JRL.00","Read","Cervical cytology screening test","test","174 - res22: screen_cervical","2015-02-26"
"3","4K2..00","Read","Cervical smear result","test","174 - res22: screen_cervical","2015-02-26"
"4","4K21.00","Read","Cervical smear:inadequate spec","test","174 - res22: screen_cervical","2015-02-26"
"5","4K2..11","Read","Dyskaryosis on cervical smear","test","174 - res22: screen_cervical","2015-02-26"
"6","4K2..12","Read","Dysplasia (dysk.)on cerv.smear","test","174 - res22: screen_cervical","2015-02-26"
"7","4K22.00","Read","Cervical smear: negative","test","174 - res22: screen_cervical","2015-02-26"
"8","4K22.11","Read","Smear NAD: no endocervic cells","test","174 - res22: screen_cervical","2015-02-26"
"9","4K23.00","Read","Cerv.smear: mild dyskaryosis","test","174 - res22: screen_cervical","2015-02-26"
"10","4K24.00","Read","Cerv.smear: severe dyskaryosis","test","174 - res22: screen_cervical","2015-02-26"
"11","4K25.00","Read","Cerv.smear:severe dysk.?inv.ca","test","174 - res22: screen_cervical","2015-02-26"
"12","4K26.00","Read","Cervical smear: ? gland neopl.","test","174 - res22: screen_cervical","2015-02-26"
"13","4K27.00","Read","Cervical smear:atrophic change","test","174 - res22: screen_cervical","2015-02-26"
"14","4K27.11","Read","Atrophic change on cerv.smear","test","174 - res22: screen_cervical","2015-02-26"
"15","4K28.00","Read","Cerv.smear: mod.dyskaryosis","test","174 - res22: screen_cervical","2015-02-26"
"16","4K29.00","Read","Cerv.smear: borderline changes","test","174 - res22: screen_cervical","2015-02-26"
"17","4K2A.00","Read","Cervical smear endocervical cells present","test","174 - res22: screen_cervical","2015-02-26"
"18","4K2B.00","Read","Cervical smear endocervical cells absent","test","174 - res22: screen_cervical","2015-02-26"
"19","4K2C.00","Read","Smear NAD - no endocervical cells","test","174 - res22: screen_cervical","2015-02-26"
"20","4K2D.00","Read","Cervical smear transformation zone cells present","test","174 - res22: screen_cervical","2015-02-26"
"21","4K2E.00","Read","Cervical smear transformation zone cells absent","test","174 - res22: screen_cervical","2015-02-26"
"22","4K2F.00","Read","","test","174 - res22: screen_cervical","2015-02-26"
"23","4K2Z.00","Read","Cervical smear result NOS","test","174 - res22: screen_cervical","2015-02-26"
"24","4K2Z.11","Read","Nuclear abnormality on smear","test","174 - res22: screen_cervical","2015-02-26"
"25","4K3..00","Read","Cervical smear - inflam.change","test","174 - res22: screen_cervical","2015-02-26"
"26","4K31.00","Read","Cervical smear-no inflammation","test","174 - res22: screen_cervical","2015-02-26"
"27","4K32.00","Read","Cervical smear-severe inflamm.","test","174 - res22: screen_cervical","2015-02-26"
"28","4K33.00","Read","Cervical smear - trichomonas","test","174 - res22: screen_cervical","2015-02-26"
"29","4K34.00","Read","Cervical smear - candida","test","174 - res22: screen_cervical","2015-02-26"
"30","4K35.00","Read","Cerv.smear - viral infl.unsp.","test","174 - res22: screen_cervical","2015-02-26"
"31","4K35.11","Read","Viral changes on cerv. smear","test","174 - res22: screen_cervical","2015-02-26"
"32","4K36.00","Read","Cervical smear - wart virus","test","174 - res22: screen_cervical","2015-02-26"
"33","4K36.12","Read","HPV changes: cervical smear","test","174 - res22: screen_cervical","2015-02-26"
"34","4K3A.00","Read","Cervical smear: koilocytosis","test","174 - res22: screen_cervical","2015-02-26"
"35","4K3B.00","Read","Cervical smear - mild inflammation","test","174 - res22: screen_cervical","2015-02-26"
"36","4K3C.00","Read","Cervical smear - moderate inflammation","test","174 - res22: screen_cervical","2015-02-26"
"37","4K3Z.00","Read","Cervical smear - inflam. NOS","test","174 - res22: screen_cervical","2015-02-26"
"38","4K4..00","Read","Cervical smear - action needed","test","174 - res22: screen_cervical","2015-02-26"
"39","4K48.00","Read","Cx. smear: colposcopy needed","test","174 - res22: screen_cervical","2015-02-26"
"40","4K49.00","Read","Cx. smear:cervical biopsy need","test","174 - res22: screen_cervical","2015-02-26"
"41","4K4Z.00","Read","Cervical smear action NOS","test","174 - res22: screen_cervical","2015-02-26"
"42","4K55.00","Read","Cervical cytology test","test","174 - res22: screen_cervical","2015-02-26"
"43","4KA..00","Read","Vaginal vault smear result","test","174 - res22: screen_cervical","2015-02-26"
