"","code","coding_system","description","entity","list_name","upload_date","notes"
"1","2126200","Read","Asthma resolved","diagnostic","4 - Asthma","2013-10-31","excluded"
"2","H33..00","Read","Asthma","diagnostic","4 - Asthma","2013-10-31","included"
"3","H330.00","Read","Extrinsic (atopic) asthma","diagnostic","4 - Asthma","2013-10-31","included"
"4","H330000","Read","Extrinsic asthma without status asthmaticus","diagnostic","4 - Asthma","2013-10-31","included"
"5","H330011","Read","Hay fever with asthma","diagnostic","4 - Asthma","2013-10-31","included"
"6","H330100","Read","Extrinsic asthma with status asthmaticus","diagnostic","4 - Asthma","2013-10-31","included"
"7","H330.11","Read","Allergic asthma","diagnostic","4 - Asthma","2013-10-31","included"
"8","H330111","Read","Extrinsic asthma with asthma attack","diagnostic","4 - Asthma","2013-10-31","included"
"9","H330.12","Read","Childhood asthma","diagnostic","4 - Asthma","2013-10-31","included"
"10","H330.13","Read","Hay fever with asthma","diagnostic","4 - Asthma","2013-10-31","included"
"11","H330.14","Read","Pollen asthma","diagnostic","4 - Asthma","2013-10-31","included"
"12","H330z00","Read","Extrinsic asthma NOS","diagnostic","4 - Asthma","2013-10-31","included"
"13","H331.00","Read","Intrinsic asthma","diagnostic","4 - Asthma","2013-10-31","included"
"14","H331000","Read","Intrinsic asthma without status asthmaticus","diagnostic","4 - Asthma","2013-10-31","included"
"15","H33..11","Read","Bronchial asthma","diagnostic","4 - Asthma","2013-10-31","included"
"16","H331100","Read","Intrinsic asthma with status asthmaticus","diagnostic","4 - Asthma","2013-10-31","included"
"17","H331.11","Read","Late onset asthma","diagnostic","4 - Asthma","2013-10-31","included"
"18","H331111","Read","Intrinsic asthma with asthma attack","diagnostic","4 - Asthma","2013-10-31","included"
"19","H331z00","Read","Intrinsic asthma NOS","diagnostic","4 - Asthma","2013-10-31","included"
"20","H332.00","Read","Mixed asthma","diagnostic","4 - Asthma","2013-10-31","included"
"21","H333.00","Read","Acute exacerbation of asthma","diagnostic","4 - Asthma","2013-10-31","included"
"22","H334.00","Read","Brittle asthma","diagnostic","4 - Asthma","2013-10-31","included"
"23","H33z.00","Read","Asthma unspecified","diagnostic","4 - Asthma","2013-10-31","included"
"24","H33z000","Read","Status asthmaticus NOS","diagnostic","4 - Asthma","2013-10-31","included"
"25","H33z011","Read","Severe asthma attack","diagnostic","4 - Asthma","2013-10-31","included"
"26","H33z100","Read","Asthma attack","diagnostic","4 - Asthma","2013-10-31","included"
"27","H33z.11","Read","Hyperreactive airways disease","diagnostic","4 - Asthma","2013-10-31","included"
"28","H33z111","Read","Asthma attack NOS","diagnostic","4 - Asthma","2013-10-31","included"
"29","H33z200","Read","Late-onset asthma","diagnostic","4 - Asthma","2013-10-31","included"
"30","H33zz00","Read","Asthma NOS","diagnostic","4 - Asthma","2013-10-31","included"
"31","H33zz11","Read","Exercise induced asthma","diagnostic","4 - Asthma","2013-10-31","included"
"32","H33zz12","Read","Allergic asthma NEC","diagnostic","4 - Asthma","2013-10-31","included"
"33","H33zz13","Read","Allergic bronchitis NEC","diagnostic","4 - Asthma","2013-10-31","included"
