"","code","coding_system","description","entity","list_name","upload_date","notes"
"1","B0...00","Read","Malignant neoplasm of lip; oral cavity and pharynx","diagnostic","6 - Cancer","2013-10-31","required"
"2","B00..00","Read","Malignant neoplasm of lip","diagnostic","6 - Cancer","2013-10-31","required"
"3","B000.00","Read","Malignant neoplasm of upper lip; vermilion border","diagnostic","6 - Cancer","2013-10-31","required"
"4","B000000","Read","Malignant neoplasm of upper lip; external","diagnostic","6 - Cancer","2013-10-31","required"
"5","B000100","Read","Malignant neoplasm of upper lip; lipstick area","diagnostic","6 - Cancer","2013-10-31","required"
"6","B000z00","Read","Malignant neoplasm of upper lip; vermilion border NOS","diagnostic","6 - Cancer","2013-10-31","required"
"7","B001.00","Read","Malignant neoplasm of lower lip; vermilion border","diagnostic","6 - Cancer","2013-10-31","required"
"8","B001000","Read","Malignant neoplasm of lower lip; external","diagnostic","6 - Cancer","2013-10-31","required"
"9","B00..11","Read","Carcinoma of lip","diagnostic","6 - Cancer","2013-10-31","required"
"10","B001100","Read","Malignant neoplasm of lower lip; lipstick area","diagnostic","6 - Cancer","2013-10-31","required"
"11","B001z00","Read","Malignant neoplasm of lower lip; vermilion border NOS","diagnostic","6 - Cancer","2013-10-31","required"
"12","B002.00","Read","Malignant neoplasm of upper lip; inner aspect","diagnostic","6 - Cancer","2013-10-31","required"
"13","B002100","Read","Malignant neoplasm of upper lip; frenulum","diagnostic","6 - Cancer","2013-10-31","required"
"14","B002200","Read","Malignant neoplasm of upper lip; mucosa","diagnostic","6 - Cancer","2013-10-31","required"
"15","B002300","Read","Malignant neoplasm of upper lip; oral aspect","diagnostic","6 - Cancer","2013-10-31","required"
"16","B002z00","Read","Malignant neoplasm of upper lip; inner aspect NOS","diagnostic","6 - Cancer","2013-10-31","required"
"17","B003.00","Read","Malignant neoplasm of lower lip; inner aspect","diagnostic","6 - Cancer","2013-10-31","required"
"18","B003000","Read","Malignant neoplasm of lower lip; buccal aspect","diagnostic","6 - Cancer","2013-10-31","required"
"19","B003100","Read","Malignant neoplasm of lower lip; frenulum","diagnostic","6 - Cancer","2013-10-31","required"
"20","B003200","Read","Malignant neoplasm of lower lip; mucosa","diagnostic","6 - Cancer","2013-10-31","required"
"21","B003300","Read","Malignant neoplasm of lower lip; oral aspect","diagnostic","6 - Cancer","2013-10-31","required"
"22","B003z00","Read","Malignant neoplasm of lower lip; inner aspect NOS","diagnostic","6 - Cancer","2013-10-31","required"
"23","B004.00","Read","Malignant neoplasm of lip unspecified; inner aspect","diagnostic","6 - Cancer","2013-10-31","required"
"24","B004000","Read","Malignant neoplasm of lip unspecified; buccal aspect","diagnostic","6 - Cancer","2013-10-31","required"
"25","B004200","Read","Malignant neoplasm of lip unspecified; mucosa","diagnostic","6 - Cancer","2013-10-31","required"
"26","B004300","Read","Malignant neoplasm of lip; oral aspect","diagnostic","6 - Cancer","2013-10-31","required"
"27","B005.00","Read","Malignant neoplasm of commissure of lip","diagnostic","6 - Cancer","2013-10-31","required"
"28","B006.00","Read","Malignant neoplasm of overlapping lesion of lip","diagnostic","6 - Cancer","2013-10-31","required"
"29","B007.00","Read","Malignant neoplasm of lip; unspecified","diagnostic","6 - Cancer","2013-10-31","required"
"30","B00z000","Read","Malignant neoplasm of lip; unspecified; external","diagnostic","6 - Cancer","2013-10-31","required"
"31","B00z100","Read","Malignant neoplasm of lip; unspecified; lipstick area","diagnostic","6 - Cancer","2013-10-31","required"
"32","B00zz00","Read","Malignant neoplasm of lip; vermilion border NOS","diagnostic","6 - Cancer","2013-10-31","required"
"33","B01..00","Read","Malignant neoplasm of tongue","diagnostic","6 - Cancer","2013-10-31","required"
"34","B010.00","Read","Malignant neoplasm of base of tongue","diagnostic","6 - Cancer","2013-10-31","required"
"35","B010000","Read","Malignant neoplasm of base of tongue dorsal surface","diagnostic","6 - Cancer","2013-10-31","required"
"36","B010.11","Read","Malignant neoplasm of posterior third of tongue","diagnostic","6 - Cancer","2013-10-31","required"
"37","B010z00","Read","Malignant neoplasm of fixed part of tongue NOS","diagnostic","6 - Cancer","2013-10-31","required"
"38","B0...11","Read","Carcinoma of lip; oral cavity and pharynx","diagnostic","6 - Cancer","2013-10-31","required"
"39","B011.00","Read","Malignant neoplasm of dorsal surface of tongue","diagnostic","6 - Cancer","2013-10-31","required"
"40","B011z00","Read","Malignant neoplasm of dorsum of tongue NOS","diagnostic","6 - Cancer","2013-10-31","required"
"41","B012.00","Read","Malignant neoplasm of tongue; tip and lateral border","diagnostic","6 - Cancer","2013-10-31","required"
"42","B013.00","Read","Malignant neoplasm of ventral surface of tongue","diagnostic","6 - Cancer","2013-10-31","required"
"43","B013000","Read","Malignant neoplasm of anterior 2/3 of tongue ventral surface","diagnostic","6 - Cancer","2013-10-31","required"
"44","B013100","Read","Malignant neoplasm of frenulum linguae","diagnostic","6 - Cancer","2013-10-31","required"
"45","B013z00","Read","Malignant neoplasm of ventral tongue surface NOS","diagnostic","6 - Cancer","2013-10-31","required"
"46","B014.00","Read","Malignant neoplasm of anterior 2/3 of tongue unspecified","diagnostic","6 - Cancer","2013-10-31","required"
"47","B015.00","Read","Malignant neoplasm of tongue; junctional zone","diagnostic","6 - Cancer","2013-10-31","required"
"48","B016.00","Read","Malignant neoplasm of lingual tonsil","diagnostic","6 - Cancer","2013-10-31","required"
"49","B017.00","Read","Malignant overlapping lesion of tongue","diagnostic","6 - Cancer","2013-10-31","required"
