"","code","coding_system","description","entity","list_name","upload_date","notes"
"1","G3...00","Read","Ischaemic heart disease","diagnostic","7 - CHD","2013-10-31","included"
"2","G30..00","Read","Acute myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"3","G300.00","Read","Acute anterolateral infarction","diagnostic","7 - CHD","2013-10-31","included"
"4","G301.00","Read","Other specified anterior myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"5","G301000","Read","Acute anteroapical infarction","diagnostic","7 - CHD","2013-10-31","included"
"6","G30..11","Read","Attack - heart","diagnostic","7 - CHD","2013-10-31","included"
"7","G301100","Read","Acute anteroseptal infarction","diagnostic","7 - CHD","2013-10-31","included"
"8","G30..12","Read","Coronary thrombosis","diagnostic","7 - CHD","2013-10-31","included"
"9","G30..13","Read","Cardiac rupture following myocardial infarction (MI)","diagnostic","7 - CHD","2013-10-31","included"
"10","G30..14","Read","Heart attack","diagnostic","7 - CHD","2013-10-31","included"
"11","G30..15","Read","MI - acute myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"12","G30..16","Read","Thrombosis - coronary","diagnostic","7 - CHD","2013-10-31","included"
"13","G30..17","Read","Silent myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"14","G301z00","Read","Anterior myocardial infarction NOS","diagnostic","7 - CHD","2013-10-31","included"
"15","G302.00","Read","Acute inferolateral infarction","diagnostic","7 - CHD","2013-10-31","included"
"16","G303.00","Read","Acute inferoposterior infarction","diagnostic","7 - CHD","2013-10-31","included"
"17","G304.00","Read","Posterior myocardial infarction NOS","diagnostic","7 - CHD","2013-10-31","included"
"18","G305.00","Read","Lateral myocardial infarction NOS","diagnostic","7 - CHD","2013-10-31","included"
"19","G306.00","Read","True posterior myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"20","G307.00","Read","Acute subendocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"21","G307000","Read","Acute non-Q wave infarction","diagnostic","7 - CHD","2013-10-31","included"
"22","G307100","Read","Acute non-ST segment elevation myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"23","G308.00","Read","Inferior myocardial infarction NOS","diagnostic","7 - CHD","2013-10-31","included"
"24","G309.00","Read","Acute Q-wave infarct","diagnostic","7 - CHD","2013-10-31","included"
"25","G30A.00","Read","Mural thrombosis","diagnostic","7 - CHD","2013-10-31","included"
"26","G30B.00","Read","Acute posterolateral myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"27","G30X.00","Read","Acute transmural myocardial infarction of unspecif site","diagnostic","7 - CHD","2013-10-31","included"
"28","G30X000","Read","Acute ST segment elevation myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"29","G30y.00","Read","Other acute myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"30","G30y000","Read","Acute atrial infarction","diagnostic","7 - CHD","2013-10-31","included"
"31","G30y100","Read","Acute papillary muscle infarction","diagnostic","7 - CHD","2013-10-31","included"
"32","G30y200","Read","Acute septal infarction","diagnostic","7 - CHD","2013-10-31","included"
"33","G30yz00","Read","Other acute myocardial infarction NOS","diagnostic","7 - CHD","2013-10-31","included"
"34","G30z.00","Read","Acute myocardial infarction NOS","diagnostic","7 - CHD","2013-10-31","included"
"35","G31..00","Read","Other acute and subacute ischaemic heart disease","diagnostic","7 - CHD","2013-10-31","included"
"36","G310.00","Read","Postmyocardial infarction syndrome","diagnostic","7 - CHD","2013-10-31","included"
"37","G310.11","Read","Dressler's syndrome","diagnostic","7 - CHD","2013-10-31","included"
"38","G3...11","Read","Arteriosclerotic heart disease","diagnostic","7 - CHD","2013-10-31","included"
"39","G311.00","Read","Preinfarction syndrome","diagnostic","7 - CHD","2013-10-31","included"
"40","G311000","Read","Myocardial infarction aborted","diagnostic","7 - CHD","2013-10-31","included"
"41","G311011","Read","MI - myocardial infarction aborted","diagnostic","7 - CHD","2013-10-31","included"
"42","G311100","Read","Unstable angina","diagnostic","7 - CHD","2013-10-31","included"
"43","G311.11","Read","Crescendo angina","diagnostic","7 - CHD","2013-10-31","included"
"44","G311.12","Read","Impending infarction","diagnostic","7 - CHD","2013-10-31","included"
"45","G311.13","Read","Unstable angina","diagnostic","7 - CHD","2013-10-31","included"
"46","G311.14","Read","Angina at rest","diagnostic","7 - CHD","2013-10-31","included"
"47","G311200","Read","Angina at rest","diagnostic","7 - CHD","2013-10-31","included"
"48","G311300","Read","Refractory angina","diagnostic","7 - CHD","2013-10-31","included"
"49","G311400","Read","Worsening angina","diagnostic","7 - CHD","2013-10-31","included"
"50","G311500","Read","Acute coronary syndrome","diagnostic","7 - CHD","2013-10-31","included"
"51","G311z00","Read","Preinfarction syndrome NOS","diagnostic","7 - CHD","2013-10-31","included"
"52","G3...12","Read","Atherosclerotic heart disease","diagnostic","7 - CHD","2013-10-31","included"
"53","G312.00","Read","Coronary thrombosis not resulting in myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"54","G3...13","Read","IHD - Ischaemic heart disease","diagnostic","7 - CHD","2013-10-31","included"
"55","G31y.00","Read","Other acute and subacute ischaemic heart disease","diagnostic","7 - CHD","2013-10-31","included"
"56","G31y000","Read","Acute coronary insufficiency","diagnostic","7 - CHD","2013-10-31","included"
"57","G31y100","Read","Microinfarction of heart","diagnostic","7 - CHD","2013-10-31","included"
"58","G31y200","Read","Subendocardial ischaemia","diagnostic","7 - CHD","2013-10-31","included"
"59","G31y300","Read","Transient myocardial ischaemia","diagnostic","7 - CHD","2013-10-31","included"
"60","G31yz00","Read","Other acute and subacute ischaemic heart disease NOS","diagnostic","7 - CHD","2013-10-31","included"
"61","G32..00","Read","Old myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"62","G32..11","Read","Healed myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"63","G32..12","Read","Personal history of myocardial infarction","diagnostic","7 - CHD","2013-10-31","included"
"64","G33..00","Read","Angina pectoris","diagnostic","7 - CHD","2013-10-31","included"
"65","G330.00","Read","Angina decubitus","diagnostic","7 - CHD","2013-10-31","included"
"66","G330000","Read","Nocturnal angina","diagnostic","7 - CHD","2013-10-31","included"
"67","G330z00","Read","Angina decubitus NOS","diagnostic","7 - CHD","2013-10-31","included"
"68","G331.00","Read","Prinzmetal's angina","diagnostic","7 - CHD","2013-10-31","included"
"69","G331.11","Read","Variant angina pectoris","diagnostic","7 - CHD","2013-10-31","included"
"70","G332.00","Read","Coronary artery spasm","diagnostic","7 - CHD","2013-10-31","included"
"71","G33z.00","Read","Angina pectoris NOS","diagnostic","7 - CHD","2013-10-31","included"
"72","G33z000","Read","Status anginosus","diagnostic","7 - CHD","2013-10-31","included"
"73","G33z100","Read","Stenocardia","diagnostic","7 - CHD","2013-10-31","included"
"74","G33z200","Read","Syncope anginosa","diagnostic","7 - CHD","2013-10-31","included"
"75","G33z300","Read","Angina on effort","diagnostic","7 - CHD","2013-10-31","included"
"76","G33z400","Read","Ischaemic chest pain","diagnostic","7 - CHD","2013-10-31","included"
