"","code","coding_system","description","entity","list_name","upload_date","notes"
"1","2126300","Read","Diabetes resolved","diagnostic","9 - Diabetes","2013-10-31","excluded"
"2","C10..00","Read","Diabetes mellitus","diagnostic","9 - Diabetes","2013-10-31","included"
"3","C100.00","Read","Diabetes mellitus with no mention of complication","diagnostic","9 - Diabetes","2013-10-31","included"
"4","C100000","Read","Diabetes mellitus; juvenile type; no mention of complication","diagnostic","9 - Diabetes","2013-10-31","included"
"5","C100011","Read","Insulin dependent diabetes mellitus","diagnostic","9 - Diabetes","2013-10-31","included"
"6","C100100","Read","Diabetes mellitus; adult onset; no mention of complication","diagnostic","9 - Diabetes","2013-10-31","included"
"7","C100111","Read","Maturity onset diabetes","diagnostic","9 - Diabetes","2013-10-31","included"
"8","C100112","Read","Non-insulin dependent diabetes mellitus","diagnostic","9 - Diabetes","2013-10-31","included"
"9","C100z00","Read","Diabetes mellitus NOS with no mention of complication","diagnostic","9 - Diabetes","2013-10-31","included"
"10","C101.00","Read","Diabetes mellitus with ketoacidosis","diagnostic","9 - Diabetes","2013-10-31","included"
"11","C101000","Read","Diabetes mellitus; juvenile type; with ketoacidosis","diagnostic","9 - Diabetes","2013-10-31","included"
"12","C101100","Read","Diabetes mellitus; adult onset; with ketoacidosis","diagnostic","9 - Diabetes","2013-10-31","included"
"13","C101y00","Read","Other specified diabetes mellitus with ketoacidosis","diagnostic","9 - Diabetes","2013-10-31","included"
"14","C101z00","Read","Diabetes mellitus NOS with ketoacidosis","diagnostic","9 - Diabetes","2013-10-31","included"
"15","C102.00","Read","Diabetes mellitus with hyperosmolar coma","diagnostic","9 - Diabetes","2013-10-31","included"
"16","C102000","Read","Diabetes mellitus; juvenile type; with hyperosmolar coma","diagnostic","9 - Diabetes","2013-10-31","included"
"17","C102100","Read","Diabetes mellitus; adult onset; with hyperosmolar coma","diagnostic","9 - Diabetes","2013-10-31","included"
"18","C102z00","Read","Diabetes mellitus NOS with hyperosmolar coma","diagnostic","9 - Diabetes","2013-10-31","included"
"19","C103.00","Read","Diabetes mellitus with ketoacidotic coma","diagnostic","9 - Diabetes","2013-10-31","included"
"20","C103000","Read","Diabetes mellitus; juvenile type; with ketoacidotic coma","diagnostic","9 - Diabetes","2013-10-31","included"
"21","C103100","Read","Diabetes mellitus; adult onset; with ketoacidotic coma","diagnostic","9 - Diabetes","2013-10-31","included"
"22","C103y00","Read","Other specified diabetes mellitus with coma","diagnostic","9 - Diabetes","2013-10-31","included"
"23","C103z00","Read","Diabetes mellitus NOS with ketoacidotic coma","diagnostic","9 - Diabetes","2013-10-31","included"
"24","C104.00","Read","Diabetes mellitus with renal manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
"25","C104000","Read","Diabetes mellitus; juvenile type; with renal manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
"26","C104100","Read","Diabetes mellitus; adult onset; with renal manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
"27","C104.11","Read","Diabetic nephropathy","diagnostic","9 - Diabetes","2013-10-31","included"
"28","C104y00","Read","Other specified diabetes mellitus with renal complications","diagnostic","9 - Diabetes","2013-10-31","included"
"29","C104z00","Read","Diabetes mellitus with nephropathy NOS","diagnostic","9 - Diabetes","2013-10-31","included"
"30","C105.00","Read","Diabetes mellitus with ophthalmic manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
"31","C105000","Read","Diabetes mellitus; juvenile type; + ophthalmic manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
"32","C105100","Read","Diabetes mellitus; adult onset; + ophthalmic manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
"33","C105y00","Read","Other specified diabetes mellitus with ophthalmic complicatn","diagnostic","9 - Diabetes","2013-10-31","included"
"34","C105z00","Read","Diabetes mellitus NOS with ophthalmic manifestation","diagnostic","9 - Diabetes","2013-10-31","included"
