"","code","coding_system","description","entity","list_name","upload_date","notes"
"1","2126100","Read","Hypertension resolved","diagnostic","11 - Hypertension","2013-10-31","excluded"
"2","G2...00","Read","Hypertensive disease","diagnostic","11 - Hypertension","2013-10-31","included"
"3","G20..00","Read","Essential hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"4","G200.00","Read","Malignant essential hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"5","G201.00","Read","Benign essential hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"6","G20..11","Read","High blood pressure","diagnostic","11 - Hypertension","2013-10-31","included"
"7","G202.00","Read","Systolic hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"8","G203.00","Read","Diastolic hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"9","G20z.00","Read","Essential hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"10","G20z.11","Read","Hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"11","G24..00","Read","Secondary hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"12","G240.00","Read","Secondary malignant hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"13","G240000","Read","Secondary malignant renovascular hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"14","G240z00","Read","Secondary malignant hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"15","G241.00","Read","Secondary benign hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"16","G241000","Read","Secondary benign renovascular hypertension","diagnostic","11 - Hypertension","2013-10-31","included"
"17","G241z00","Read","Secondary benign hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"18","G244.00","Read","Hypertension secondary to endocrine disorders","diagnostic","11 - Hypertension","2013-10-31","included"
"19","G24z.00","Read","Secondary hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"20","G24z000","Read","Secondary renovascular hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"21","G24z100","Read","Hypertension secondary to drug","diagnostic","11 - Hypertension","2013-10-31","included"
"22","G24zz00","Read","Secondary hypertension NOS","diagnostic","11 - Hypertension","2013-10-31","included"
"23","G2y..00","Read","Other specified hypertensive disease","diagnostic","11 - Hypertension","2013-10-31","included"
"24","G2z..00","Read","Hypertensive disease NOS","diagnostic","11 - Hypertension","2013-10-31","included"
