"","code","coding_system","description","entity","list_name","upload_date","notes"
"1","G1yz100","Read","Rheumatic left ventricular failure","diagnostic","5 - LVD","2013-10-31","Required - group2"
"2","G3...00","Read","Ischaemic heart disease","diagnostic","5 - LVD","2013-10-31","Required - group1"
"3","G30..00","Read","Acute myocardial infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"4","G300.00","Read","Acute anterolateral infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"5","G301.00","Read","Other specified anterior myocardial infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"6","G301000","Read","Acute anteroapical infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"7","G30..11","Read","Attack - heart","diagnostic","5 - LVD","2013-10-31","Required - group1"
"8","G301100","Read","Acute anteroseptal infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"9","G30..12","Read","Coronary thrombosis","diagnostic","5 - LVD","2013-10-31","Required - group1"
"10","G30..13","Read","Cardiac rupture following myocardial infarction (MI)","diagnostic","5 - LVD","2013-10-31","Required - group1"
"11","G30..14","Read","Heart attack","diagnostic","5 - LVD","2013-10-31","Required - group1"
"12","G30..15","Read","MI - acute myocardial infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"13","G30..16","Read","Thrombosis - coronary","diagnostic","5 - LVD","2013-10-31","Required - group1"
"14","G30..17","Read","Silent myocardial infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"15","G301z00","Read","Anterior myocardial infarction NOS","diagnostic","5 - LVD","2013-10-31","Required - group1"
"16","G302.00","Read","Acute inferolateral infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"17","G303.00","Read","Acute inferoposterior infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"18","G304.00","Read","Posterior myocardial infarction NOS","diagnostic","5 - LVD","2013-10-31","Required - group1"
"19","G305.00","Read","Lateral myocardial infarction NOS","diagnostic","5 - LVD","2013-10-31","Required - group1"
"20","G306.00","Read","True posterior myocardial infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"21","G307.00","Read","Acute subendocardial infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
"22","G307000","Read","Acute non-Q wave infarction","diagnostic","5 - LVD","2013-10-31","Required - group1"
