"","code","coding_system","description","entity","list_name","upload_date"
"1","G311100","Read","Unstable angina","diagnostic","43 - angina","2014-01-27"
"2","G311.11","Read","Crescendo angina","diagnostic","43 - angina","2014-01-27"
"3","G311.13","Read","Unstable angina","diagnostic","43 - angina","2014-01-27"
"4","G311.14","Read","Angina at rest","diagnostic","43 - angina","2014-01-27"
"5","G311200","Read","Angina at rest","diagnostic","43 - angina","2014-01-27"
"6","G311300","Read","Refractory angina","diagnostic","43 - angina","2014-01-27"
"7","G33..00","Read","Angina pectoris","diagnostic","43 - angina","2014-01-27"
"8","G330.00","Read","Angina decubitus","diagnostic","43 - angina","2014-01-27"
"9","G330000","Read","Nocturnal angina","diagnostic","43 - angina","2014-01-27"
"10","G330z00","Read","Angina decubitus NOS","diagnostic","43 - angina","2014-01-27"
"11","G33z.00","Read","Angina pectoris NOS","diagnostic","43 - angina","2014-01-27"
"12","G33z000","Read","Status anginosus","diagnostic","43 - angina","2014-01-27"
"13","G33z100","Read","Stenocardia","diagnostic","43 - angina","2014-01-27"
"14","G33z200","Read","Syncope anginosa","diagnostic","43 - angina","2014-01-27"
"15","G33z300","Read","Angina on effort","diagnostic","43 - angina","2014-01-27"
"16","G33z400","Read","Ischaemic chest pain","diagnostic","43 - angina","2014-01-27"
"17","G33z500","Read","Post infarct angina","diagnostic","43 - angina","2014-01-27"
"18","G33z600","Read","New onset angina","diagnostic","43 - angina","2014-01-27"
"19","G33z700","Read","Stable angina","diagnostic","43 - angina","2014-01-27"
"20","G33zz00","Read","Angina pectoris NOS","diagnostic","43 - angina","2014-01-27"
"21","G343.00","Read","Ischaemic cardiomyopathy","diagnostic","43 - angina","2014-01-27"
"22","Gyu3000","Read","[X]Other forms of angina pectoris","diagnostic","43 - angina","2014-01-27"
"23","4130","OXMIS","ANGINA PECTORIS WITH HYPERTENSION","diagnostic","43 - angina","2014-01-27"
"24","4130E","OXMIS","ANGINA EFFORT WITH HYPERTENSION","diagnostic","43 - angina","2014-01-27"
"25","4139","OXMIS","ANGINA PECTORIS","diagnostic","43 - angina","2014-01-27"
"26","4139AT","OXMIS","ANGINA ATYPICAL","diagnostic","43 - angina","2014-01-27"
"27","4139C","OXMIS","CARDIAC ANGINA","diagnostic","43 - angina","2014-01-27"
"28","4139CO","OXMIS","ANGINA CRESCENDO","diagnostic","43 - angina","2014-01-27"
"29","4139E","OXMIS","ANGINA EFFORT","diagnostic","43 - angina","2014-01-27"
"30","4139M","OXMIS","SYNDROME ANGINAL","diagnostic","43 - angina","2014-01-27"
"31","4139N","OXMIS","ANGINA","diagnostic","43 - angina","2014-01-27"
"32","4139PA","OXMIS","ANGINA INVERSA","diagnostic","43 - angina","2014-01-27"
"33","4139U","OXMIS","UNSTABLE ANGINA","diagnostic","43 - angina","2014-01-27"
