"","code","coding_system","description","entity","list_name","upload_date","BNF_code","BNF_header","drug_substance_name"
"1",10090,"CPRD_product_code","BECLOMETASONE EXTRAFINE PARTICLE cfc free inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"2",10102,"CPRD_product_code","CICLESONIDE cfc free inh 160micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","CICLESONIDE"
"3",10218,"CPRD_product_code","BUDESONIDE + FORMOTEROL breath act pwdr inh 100micrograms + 6micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FORMOTEROL FUMARATE"
"4",10254,"CPRD_product_code","MOMETASONE FUROATE dry pdr inh 400micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","MOMETASONE FUROATE"
"5",10289,"CPRD_product_code","AMINOPHYLLINE 200 MG SUP","drug","38 - asthma_drugs","2014-01-27",0,"",""
"6",10321,"CPRD_product_code","BUDESONIDE inh caps 400micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BUDESONIDE"
"7",10331,"CPRD_product_code","NUELIN liq 60mg/5ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE SODIUM GLYCINATE"
"8",10360,"CPRD_product_code","AEROCROM inh","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL"
"9",10407,"CPRD_product_code","PHYLLOCONTIN CONTINUS paed tab 100mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE HYDRATE"
"10",10432,"CPRD_product_code","THEOPHYLLINE 300 MG SUP","drug","38 - asthma_drugs","2014-01-27",0,"",""
"11",10433,"CPRD_product_code","THEOPHYLLINE liq 60mg/5ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE SODIUM GLYCINATE"
"12",10458,"CPRD_product_code","VENTOLIN CR tabs 4mg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"13",10561,"CPRD_product_code","AMINOPHYLLINE inj 250mg/ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE"
"14",10597,"CPRD_product_code","TILADE mint SYNCRONER 2mg/inhalation","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","NEDOCROMIL SODIUM"
