"","code","coding_system","description","entity","list_name","upload_date"
"1","22A..00","Read","O/E - weight","observation","49 - Body_mass_index","2014-01-27"
"2","22A1.00","Read","O/E - weight > 20% below ideal","observation","49 - Body_mass_index","2014-01-27"
"3","22A2.00","Read","O/E -weight 10-20% below ideal","observation","49 - Body_mass_index","2014-01-27"
"4","22A3.00","Read","O/E - weight within 10% ideal","observation","49 - Body_mass_index","2014-01-27"
"5","22A4.00","Read","O/E - weight 10-20% over ideal","observation","49 - Body_mass_index","2014-01-27"
"6","22A4.11","Read","O/E - overweight","observation","49 - Body_mass_index","2014-01-27"
"7","22A5.00","Read","O/E - weight > 20% over ideal","observation","49 - Body_mass_index","2014-01-27"
"8","22A5.11","Read","O/E - obese","observation","49 - Body_mass_index","2014-01-27"
"9","22A6.00","Read","O/E - Underweight","observation","49 - Body_mass_index","2014-01-27"
"10","22K..00","Read","Body Mass Index","observation","49 - Body_mass_index","2014-01-27"
"11","22K1.00","Read","Body Mass Index normal K/M2","observation","49 - Body_mass_index","2014-01-27"
"12","22K2.00","Read","Body Mass Index high K/M2","observation","49 - Body_mass_index","2014-01-27"
"13","22K3.00","Read","Body Mass Index low K/M2","observation","49 - Body_mass_index","2014-01-27"
"14","22K4.00","Read","Body mass index index 25-29 - overweight","observation","49 - Body_mass_index","2014-01-27"
"15","22K5.00","Read","Body mass index 30+ - obesity","observation","49 - Body_mass_index","2014-01-27"
"16","22K6.00","Read","Body mass index less than 20","observation","49 - Body_mass_index","2014-01-27"
"17","22K7.00","Read","Body mass index 40+ - severely obese","observation","49 - Body_mass_index","2014-01-27"
"18","22K8.00","Read","Body mass index 20-24 - normal","observation","49 - Body_mass_index","2014-01-27"
"19","22Z..00","Read","Height and Weight","observation","49 - Body_mass_index","2014-01-27"
"20","636..00","Read","Birthweight of baby","observation","49 - Body_mass_index","2014-01-27"
"21","636..11","Read","Birthweight","observation","49 - Body_mass_index","2014-01-27"
"22","636..12","Read","Weight - baby","observation","49 - Body_mass_index","2014-01-27"
"23","636Z.00","Read","Birthweight of baby NOS","observation","49 - Body_mass_index","2014-01-27"
"24","647..00","Read","Child weight centiles","observation","49 - Body_mass_index","2014-01-27"
"25","6471.00","Read","Child weight < 3rd centile","observation","49 - Body_mass_index","2014-01-27"
"26","6472.00","Read","Child weight=3rd-9th centile","observation","49 - Body_mass_index","2014-01-27"
"27","6473.00","Read","Child weight=10th-24th centile","observation","49 - Body_mass_index","2014-01-27"
"28","6474.00","Read","Child weight=25th-49th centile","observation","49 - Body_mass_index","2014-01-27"
"29","6475.00","Read","Child weight=50th-74th centile","observation","49 - Body_mass_index","2014-01-27"
"30","6476.00","Read","Child weight=75th-89th centile","observation","49 - Body_mass_index","2014-01-27"
"31","6477.00","Read","Child weight=90th-96th centile","observation","49 - Body_mass_index","2014-01-27"
"32","6478.00","Read","Child weight > 97th centile","observation","49 - Body_mass_index","2014-01-27"
"33","6479.00","Read","Child weight < 0.4th centile","observation","49 - Body_mass_index","2014-01-27"
"34","647A.00","Read","Child weight = 0.4th centile","observation","49 - Body_mass_index","2014-01-27"
"35","647B.00","Read","Child weight 0.5th - 1.9th centile","observation","49 - Body_mass_index","2014-01-27"
"36","647C.00","Read","Child weight = 2nd centile","observation","49 - Body_mass_index","2014-01-27"
"37","647D.00","Read","Child weight 3rd - 8th centile","observation","49 - Body_mass_index","2014-01-27"
"38","647E.00","Read","Child weight 9th centile","observation","49 - Body_mass_index","2014-01-27"
"39","647F.00","Read","Child weight 10th - 24th centile","observation","49 - Body_mass_index","2014-01-27"
