"","code","coding_system","description","entity","list_name","upload_date"
"1","H3...00","Read","Chronic obstructive pulmonary disease","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"2","H31..00","Read","Chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"3","H310.00","Read","Simple chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"4","H310000","Read","Chronic catarrhal bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"5","H310z00","Read","Simple chronic bronchitis NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"6","H311.00","Read","Mucopurulent chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"7","H311000","Read","Purulent chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"8","H311100","Read","Fetid chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"9","H311z00","Read","Mucopurulent chronic bronchitis NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"10","H312.00","Read","Obstructive chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"11","H312000","Read","Chronic asthmatic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"12","H312011","Read","Chronic wheezy bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"13","H312100","Read","Emphysematous bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"14","H312300","Read","Bronchiolitis obliterans","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"15","H312z00","Read","Obstructive chronic bronchitis NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"16","H313.00","Read","Mixed simple and mucopurulent chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"17","H31y.00","Read","Other chronic bronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"18","H31y100","Read","Chronic tracheobronchitis","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"19","H31yz00","Read","Other chronic bronchitis NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"20","H31z.00","Read","Chronic bronchitis NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"21","H32..00","Read","Emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"22","H320.00","Read","Chronic bullous emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"23","H320000","Read","Segmental bullous emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"24","H320100","Read","Zonal bullous emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"25","H320200","Read","Giant bullous emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"26","H320300","Read","Bullous emphysema with collapse","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"27","H320z00","Read","Chronic bullous emphysema NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"28","H321.00","Read","Panlobular emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"29","H322.00","Read","Centrilobular emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"30","H32y.00","Read","Other emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"31","H32y000","Read","Acute vesicular emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"32","H32y100","Read","Atrophic (senile) emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"33","H32y111","Read","Acute interstitial emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"34","H32y200","Read","MacLeod's unilateral emphysema","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"35","H32yz00","Read","Other emphysema NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"36","H32z.00","Read","Emphysema NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"37","H36..00","Read","Mild chronic obstructive pulmonary disease","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"38","H37..00","Read","Moderate chronic obstructive pulmonary disease","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"39","H38..00","Read","Severe chronic obstructive pulmonary disease","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"40","H3y..11","Read","Other specified chronic obstructive pulmonary disease","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"41","H3z..11","Read","Chronic obstructive pulmonary disease NOS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"42","491","OXMIS","CHRONIC BRONCHITIS","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"43","491 E","OXMIS","CHRONIC BRONCHITIS WITH EMPHYSEMA","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"44","492","OXMIS","EMPHYSEMA PULMONARY","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"45","492 AC","OXMIS","EMPHYSEMA APICAL BULLAE","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"46","5199G","OXMIS","OBSTRUCTIVE AIRWAYS DISEASE CHRONIC","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"47","5199GL","OXMIS","COLD (CHRONIC OBSTRUCTIVE LUNG DISEASE)","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
"48","5199GP","OXMIS","COPD (CHRONIC OBSTRUCTIVE PULMONARY DISE","diagnostic","48 - Chronic_obstructive_pulmonary_disease","2014-01-27"
