"","code","coding_system","description","entity","list_name","upload_date"
"1","G3...00","Read","Ischaemic heart disease","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"2","G31..00","Read","Other acute and subacute ischaemic heart disease","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"3","G310.00","Read","Postmyocardial infarction syndrome","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"4","G310.11","Read","Dressler's syndrome","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"5","G3...11","Read","Arteriosclerotic heart disease","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"6","G311.00","Read","Preinfarction syndrome","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"7","G311100","Read","Unstable angina","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"8","G311.11","Read","Crescendo angina","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"9","G311.12","Read","Impending infarction","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"10","G311.13","Read","Unstable angina","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"11","G311.14","Read","Angina at rest","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"12","G311200","Read","Angina at rest","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"13","G311300","Read","Refractory angina","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"14","G311500","Read","Acute coronary syndrome","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"15","G311z00","Read","Preinfarction syndrome NOS","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"16","G3...12","Read","Atherosclerotic heart disease","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"17","G3...13","Read","IHD - Ischaemic heart disease","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"18","G31y.00","Read","Other acute and subacute ischaemic heart disease","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"19","G31y000","Read","Acute coronary insufficiency","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"20","G31y200","Read","Subendocardial ischaemia","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"21","G31y300","Read","Transient myocardial ischaemia","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"22","G31yz00","Read","Other acute and subacute ischaemic heart disease NOS","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"23","G32..00","Read","Old myocardial infarction","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"24","G32..11","Read","Healed myocardial infarction","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"25","G32..12","Read","Personal history of myocardial infarction","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"26","G33..00","Read","Angina pectoris","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"27","G330.00","Read","Angina decubitus","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"28","G330000","Read","Nocturnal angina","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"29","G330z00","Read","Angina decubitus NOS","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"30","G331.00","Read","Prinzmetal's angina","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"31","G331.11","Read","Variant angina pectoris","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"32","G332.00","Read","Coronary artery spasm","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"33","G33z.00","Read","Angina pectoris NOS","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"34","G33z000","Read","Status anginosus","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"35","G33z100","Read","Stenocardia","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"36","G33z200","Read","Syncope anginosa","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
"37","G33z300","Read","Angina on effort","diagnostic","46 - Coronary_Heart_Disease","2014-01-27"
