"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",10292,"CPRD_product_code","LITHIUM 250 MG CAP","drug","68 - Lithium_drugcodes","2014-01-27","Unknown",0,""
"2",10809,"CPRD_product_code","PRIADEL liquid 520mg/5ml [SANOFI/AVE]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"3",10937,"CPRD_product_code","lithium citrate oral liquid 509mg/5ml","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"4",11491,"CPRD_product_code","lithium citrate sugar free liquid 520mg/5ml","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"5",12402,"CPRD_product_code","CAMCOLIT 250 tablets [NORGINE]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"6",12403,"CPRD_product_code","CAMCOLIT 400 tablets [NORGINE]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"7",12648,"CPRD_product_code","lithium citrate oral liquid 1.018g/5ml","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"8",13601,"CPRD_product_code","lithium citrate modified release tablet 564mg","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"9",13654,"CPRD_product_code","LITAREX CR tablets 564mg [ACTAVIS]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"10",1447,"CPRD_product_code","lithium carbonate modified release tablet 400mg","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"11",14954,"CPRD_product_code","lithium carbonate modified release tablet 450mg","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"12",15388,"CPRD_product_code","PHASAL tablets 300mg [LAGAP]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"13",15660,"CPRD_product_code","LITHIUM 10.8 MMOLS/5MLS LIQ","drug","68 - Lithium_drugcodes","2014-01-27","Unknown",0,""
"14",16250,"CPRD_product_code","LITHONATE sustained release tablets 400mg [APS]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"15",22018,"CPRD_product_code","LI-LIQUID solution 509mg/5ml [ROSEMONT]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"16",25344,"CPRD_product_code","LITHIUM CARBONATE modified release tablet 400mg [APS]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"17",25345,"CPRD_product_code","LI-LIQUID solution 1.018g/5ml [ROSEMONT]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium citrate"
"18",3352,"CPRD_product_code","LISKONUM tablets 450mg [GLAXSK PHA]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"19",3359,"CPRD_product_code","PRIADEL tablets 200mg [SANOFI/AVE]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"20",760,"CPRD_product_code","lithium carbonate modified release tablet 200mg","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"21",8041,"CPRD_product_code","lithium carbonate tablets 250mg","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"22",872,"CPRD_product_code","PRIADEL tablets 400mg [SANOFI/AVE]","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
"23",8827,"CPRD_product_code","lithium carbonate modified release tablet 300mg","drug","68 - Lithium_drugcodes","2014-01-27","Antimanic drugs",4020300,"lithium carbonate"
