"","code","coding_system","description","entity","list_name","upload_date"
"1","29B..00","Read","O/E - tactile sensation","diagnostic","55 - Neuropathy","2014-01-27"
"2","29B1.00","Read","O/E - tactile sensation normal","diagnostic","55 - Neuropathy","2014-01-27"
"3","29B..11","Read","O/E - touch sensation","diagnostic","55 - Neuropathy","2014-01-27"
"4","29B2.00","Read","O/E - anaesthesia present","diagnostic","55 - Neuropathy","2014-01-27"
"5","29B2000","Read","O/E - anaesthesia in legs","diagnostic","55 - Neuropathy","2014-01-27"
"6","29B2100","Read","O/E - anaesthesia of extremities","diagnostic","55 - Neuropathy","2014-01-27"
"7","29B2.11","Read","O/E - loss of touch sensation","diagnostic","55 - Neuropathy","2014-01-27"
"8","29B3.00","Read","O/E - hypoaesthesia present","diagnostic","55 - Neuropathy","2014-01-27"
"9","29B4.00","Read","O/E - hyperaesthesia present","diagnostic","55 - Neuropathy","2014-01-27"
"10","29B7.00","Read","10g monofilament sensation present","diagnostic","55 - Neuropathy","2014-01-27"
"11","29B8.00","Read","10g monofilament sensation absent","diagnostic","55 - Neuropathy","2014-01-27"
"12","29B9.00","Read","10g monofilament sensation R foot abnormal","diagnostic","55 - Neuropathy","2014-01-27"
"13","29BA.00","Read","10g monofilament sensation L foot abnormal","diagnostic","55 - Neuropathy","2014-01-27"
"14","29BB.00","Read","10g monofilament sensation R foot normal","diagnostic","55 - Neuropathy","2014-01-27"
"15","29BC.00","Read","10g monofilament sensation L foot normal","diagnostic","55 - Neuropathy","2014-01-27"
"16","29H..00","Read","O/E - vibration sense","diagnostic","55 - Neuropathy","2014-01-27"
"17","29H1.00","Read","O/E - vibration sense normal","diagnostic","55 - Neuropathy","2014-01-27"
"18","29H2.00","Read","O/E - vibration sense reduced","diagnostic","55 - Neuropathy","2014-01-27"
"19","29H3.00","Read","O/E - vibration sense absent","diagnostic","55 - Neuropathy","2014-01-27"
"20","29H4.00","Read","O/E - Vibration sense of right foot abnormal","diagnostic","55 - Neuropathy","2014-01-27"
"21","29H5.00","Read","O/E - Vibration sense of right foot normal","diagnostic","55 - Neuropathy","2014-01-27"
"22","29H6.00","Read","O/E - Vibration sense of left foot abnormal","diagnostic","55 - Neuropathy","2014-01-27"
"23","29H7.00","Read","O/E - Vibration sense of left foot normal","diagnostic","55 - Neuropathy","2014-01-27"
"24","29H8.00","Read","O/E - vibration sense left foot reduced","diagnostic","55 - Neuropathy","2014-01-27"
"25","29H9.00","Read","O/E - vibration sense right foot reduced","diagnostic","55 - Neuropathy","2014-01-27"
"26","29HA.00","Read","O/E - Vibration sense of right foot absent","diagnostic","55 - Neuropathy","2014-01-27"
"27","29HB.00","Read","O/E - Vibration sense of left foot absent","diagnostic","55 - Neuropathy","2014-01-27"
"28","311A.00","Read","Monofilament foot sensation test","diagnostic","55 - Neuropathy","2014-01-27"
"29","66Ac.00","Read","Diabetic peripheral neuropathy screening","diagnostic","55 - Neuropathy","2014-01-27"
