"","code","coding_system","description","entity","list_name","upload_date"
"1","2BB..00","Read","O/E - retinal inspection","test","54 - Retinal_screening","2014-01-27"
"2","2BB1.00","Read","O/E - retina normal","test","54 - Retinal_screening","2014-01-27"
"3","2BB..11","Read","O/E - retina","test","54 - Retinal_screening","2014-01-27"
"4","2BB2.00","Read","O/E - retinal vessel narrowing","test","54 - Retinal_screening","2014-01-27"
"5","2BB3.00","Read","O/E - retinal A-V nipping","test","54 - Retinal_screening","2014-01-27"
"6","2BB4.00","Read","O/E - retinal microaneurysms","test","54 - Retinal_screening","2014-01-27"
"7","2BB5.00","Read","O/E - retinal haemorrhages","test","54 - Retinal_screening","2014-01-27"
"8","2BB6.00","Read","O/E - retinal exudates","test","54 - Retinal_screening","2014-01-27"
"9","2BB7.00","Read","O/E - retinal vascular prolif.","test","54 - Retinal_screening","2014-01-27"
"10","2BB8.00","Read","O/E - vitreous haemorrhages","test","54 - Retinal_screening","2014-01-27"
"11","2BB9.00","Read","O/E - retinal pigmentation","test","54 - Retinal_screening","2014-01-27"
"12","2BBa.00","Read","O/E- non-referable retinopathy","test","54 - Retinal_screening","2014-01-27"
"13","2BBA.00","Read","Examination of retina","test","54 - Retinal_screening","2014-01-27"
"14","2BBb.00","Read","O/E - fundus not adequately seen","test","54 - Retinal_screening","2014-01-27"
"15","2BBB.00","Read","O/E - Right retina not seen","test","54 - Retinal_screening","2014-01-27"
"16","2BBc.00","Read","O/E - No retinal laser photocoagulation scars","test","54 - Retinal_screening","2014-01-27"
"17","2BBC.00","Read","O/E - Left retina not seen","test","54 - Retinal_screening","2014-01-27"
"18","2BBd.00","Read","O/E - Red reflex absent","test","54 - Retinal_screening","2014-01-27"
"19","2BBD.00","Read","O/E - Right retina normal","test","54 - Retinal_screening","2014-01-27"
"20","2BBe.00","Read","O/E - right retina partially assessable","test","54 - Retinal_screening","2014-01-27"
"21","2BBE.00","Read","O/E - Left retina normal","test","54 - Retinal_screening","2014-01-27"
"22","2BBF.00","Read","Retinal abnormality - diabetes related","test","54 - Retinal_screening","2014-01-27"
"23","2BBg.00","Read","O/E - right retina fully assessable","test","54 - Retinal_screening","2014-01-27"
"24","2BBG.00","Read","Retinal abnormality - non-diabetes","test","54 - Retinal_screening","2014-01-27"
"25","2BBH.00","Read","Retinal drusen","test","54 - Retinal_screening","2014-01-27"
"26","2BBi.00","Read","O/E - right eye no maculopathy","test","54 - Retinal_screening","2014-01-27"
"27","2BBI.00","Read","O/E - no retinopathy","test","54 - Retinal_screening","2014-01-27"
"28","2BBj.00","Read","O/E - left eye no maculopathy","test","54 - Retinal_screening","2014-01-27"
"29","2BBJ.00","Read","O/E - no right diabetic retinopathy","test","54 - Retinal_screening","2014-01-27"
"30","2BBk.00","Read","O/E - right eye stable treated prolif diabetic retinopathy","test","54 - Retinal_screening","2014-01-27"
"31","2BBK.00","Read","O/E - no left diabetic retinopathy","test","54 - Retinal_screening","2014-01-27"
"32","2BBl.00","Read","O/E - left eye stable treated prolif diabetic retinopathy","test","54 - Retinal_screening","2014-01-27"
"33","2BBL.00","Read","O/E - diabetic maculopathy present both eyes","test","54 - Retinal_screening","2014-01-27"
"34","2BBm.00","Read","O/E - right eye clinically significant macular oedema","test","54 - Retinal_screening","2014-01-27"
"35","2BBM.00","Read","O/E - diabetic maculopathy absent both eyes","test","54 - Retinal_screening","2014-01-27"
"36","2BBn.00","Read","O/E - left eye clinically significant macular oedema","test","54 - Retinal_screening","2014-01-27"
"37","2BBN.00","Read","Myelinated retinal nerve fibres","test","54 - Retinal_screening","2014-01-27"
"38","2BBo.00","Read","O/E - sight threatening diabetic retinopathy","test","54 - Retinal_screening","2014-01-27"
