"","code","coding_system","description","entity","list_name","upload_date"
"1","442..00","Read","Thyroid hormone tests","diagnostic","65 - Thyroid_function","2014-01-27"
"2","4421.00","Read","Thyroid hormone tests normal","diagnostic","65 - Thyroid_function","2014-01-27"
"3","442..11","Read","TRH level","diagnostic","65 - Thyroid_function","2014-01-27"
"4","4421.11","Read","Euthyroid","diagnostic","65 - Thyroid_function","2014-01-27"
"5","442..12","Read","TSH level","diagnostic","65 - Thyroid_function","2014-01-27"
"6","442..13","Read","Thyroid function tests","diagnostic","65 - Thyroid_function","2014-01-27"
"7","442..14","Read","Thyroxine binding globulin","diagnostic","65 - Thyroid_function","2014-01-27"
"8","4422.00","Read","Thyroid hormone tests high","diagnostic","65 - Thyroid_function","2014-01-27"
"9","4423.00","Read","Thyroid hormone tests low","diagnostic","65 - Thyroid_function","2014-01-27"
"10","4424.00","Read","Serum T3 level","diagnostic","65 - Thyroid_function","2014-01-27"
"11","4424000","Read","Serum T3 level normal","diagnostic","65 - Thyroid_function","2014-01-27"
"12","4424100","Read","Serum T3 level high","diagnostic","65 - Thyroid_function","2014-01-27"
"13","4424200","Read","Serum T3 level low","diagnostic","65 - Thyroid_function","2014-01-27"
"14","4425.00","Read","Free T3 level","diagnostic","65 - Thyroid_function","2014-01-27"
"15","4426.00","Read","Serum T4 level","diagnostic","65 - Thyroid_function","2014-01-27"
"16","4426000","Read","Serum T4 level normal","diagnostic","65 - Thyroid_function","2014-01-27"
"17","4426100","Read","Serum T4 level abnormal","diagnostic","65 - Thyroid_function","2014-01-27"
"18","4427.00","Read","Free T4 level","diagnostic","65 - Thyroid_function","2014-01-27"
"19","4428.00","Read","Free thyroxine index","diagnostic","65 - Thyroid_function","2014-01-27"
"20","4429.00","Read","Thyroxine binding globulin-TBG","diagnostic","65 - Thyroid_function","2014-01-27"
"21","442a.00","Read","Plasma total T4 level","diagnostic","65 - Thyroid_function","2014-01-27"
"22","442A.00","Read","TSH - thyroid stim. hormone","diagnostic","65 - Thyroid_function","2014-01-27"
"23","442A000","Read","Serum TSH level normal","diagnostic","65 - Thyroid_function","2014-01-27"
"24","442A100","Read","Serum TSH level abnormal","diagnostic","65 - Thyroid_function","2014-01-27"
"25","442b.00","Read","Serum total T4 level","diagnostic","65 - Thyroid_function","2014-01-27"
"26","442B.00","Read","TRH - thyroid release. hormone","diagnostic","65 - Thyroid_function","2014-01-27"
"27","442c.00","Read","Plasma free T4 level","diagnostic","65 - Thyroid_function","2014-01-27"
"28","442C.00","Read","Thyroid horm tests borderline","diagnostic","65 - Thyroid_function","2014-01-27"
"29","442d.00","Read","Serum thyroglobulin level","diagnostic","65 - Thyroid_function","2014-01-27"
"30","442D.00","Read","T3 uptake test","diagnostic","65 - Thyroid_function","2014-01-27"
"31","442D000","Read","T3 uptake test normal","diagnostic","65 - Thyroid_function","2014-01-27"
"32","442D100","Read","T3 uptake test abnormal","diagnostic","65 - Thyroid_function","2014-01-27"
"33","442e.00","Read","Blood spot TSH level","diagnostic","65 - Thyroid_function","2014-01-27"
"34","442E.00","Read","PBI - protein bound iodine estimation","diagnostic","65 - Thyroid_function","2014-01-27"
"35","442f.00","Read","Serum total T3 level","diagnostic","65 - Thyroid_function","2014-01-27"
"36","442F.00","Read","T3 suppression test","diagnostic","65 - Thyroid_function","2014-01-27"
"37","442g.00","Read","Serum thyroglobulin recovery level","diagnostic","65 - Thyroid_function","2014-01-27"
"38","442G.00","Read","Thyroid hormone tests abnormal","diagnostic","65 - Thyroid_function","2014-01-27"
"39","442H.00","Read","Thyroid function tests normal","diagnostic","65 - Thyroid_function","2014-01-27"
"40","442I.00","Read","Thyroid function tests abnormal","diagnostic","65 - Thyroid_function","2014-01-27"
"41","442J.00","Read","Thyroid function test","diagnostic","65 - Thyroid_function","2014-01-27"
"42","442K.00","Read","30 minute plasma TSH level","diagnostic","65 - Thyroid_function","2014-01-27"
