"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",148001,"GPRD_product_code","CAPOTEN tabs 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"2",148002,"GPRD_product_code","CAPOTEN tabs 25mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"3",148003,"GPRD_product_code","CAPOTEN tabs 50mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"4",339001,"GPRD_product_code","CILAZAPRIL tabs 250micrograms","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"5",339002,"GPRD_product_code","CILAZAPRIL tabs 500 micrograms","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"6",339003,"GPRD_product_code","CILAZAPRIL tabs 1mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"7",615001,"GPRD_product_code","VASCACE tabs 0.25mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"8",615002,"GPRD_product_code","VASCACE tabs 0.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"9",615003,"GPRD_product_code","VASCACE tabs 1mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"10",671001,"GPRD_product_code","LISINOPRIL + HYDROCHLOROTHIAZIDE tabs 20mg + 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2020100,NA
"11",671002,"GPRD_product_code","LISINOPRIL + HYDROCHLOROTHIAZIDE tabs 10mg + 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"12",727001,"GPRD_product_code","INNOZIDE tabs","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"13",733001,"GPRD_product_code","ENALAPRIL + HYDROCHLOROTHIAZIDE tabs 20mg + 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2020100,NA
"14",837001,"GPRD_product_code","ZESTORETIC 20-tab 20mg + 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2020100,NA
"15",837002,"GPRD_product_code","ZESTORETIC 10-tab 10mg + 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"16",1122001,"GPRD_product_code","ACEPRIL tabs 12.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"17",1122002,"GPRD_product_code","ACEPRIL tabs 25mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"18",1122003,"GPRD_product_code","ACEPRIL tabs 50mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"19",1528001,"GPRD_product_code","CILAZAPRIL tabs 2.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"20",1528002,"GPRD_product_code","CILAZAPRIL tabs 5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"21",1783001,"GPRD_product_code","INNOVACE tabs 2.5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
"22",1783002,"GPRD_product_code","INNOVACE tabs 5mg","drug","101 - ACE inhibitors","2014-01-30",NA,2050501,NA
