"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",65001,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4010100,NA
"2",65002,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4010200,NA
"3",65003,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4010100,NA
"4",66001,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4080200,NA
"5",67001,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4010200,NA
"6",67002,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4010200,NA
"7",107001,"GPRD_product_code","BETALOC tabs 50mg","drug","111 - ACE_inhibitors","2014-01-30",NA,2040000,NA
"8",107002,"GPRD_product_code","BETALOC tabs 100mg","drug","111 - ACE_inhibitors","2014-01-30",NA,2040000,NA
"9",108001,"GPRD_product_code","BETIM tabs 10mg","drug","111 - ACE_inhibitors","2014-01-30",NA,4070402,NA
"10",119001,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4080100,NA
"11",180001,"GPRD_product_code","CO-BETALOC tabs 100mg + 12.5mg","drug","111 - ACE_inhibitors","2014-01-30",NA,2040000,NA
"12",191001,"GPRD_product_code","CORGARETIC 40 tabs","drug","111 - ACE_inhibitors","2014-01-30",NA,2020100,NA
"13",237001,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,2020700,NA
"14",238001,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4010200,NA
"15",247009,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4020300,NA
"16",247010,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4020300,NA
"17",247011,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4020300,NA
"18",248009,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4070300,NA
"19",248010,"GPRD_product_code",NA,"drug","111 - ACE_inhibitors","2014-01-30",NA,4080100,NA
