"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","14AJ.00","Read","H/O: Angina in last year","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"2","662K.00","Read","Angina control","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"3","662K000","Read","Angina control - good","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"4","662K100","Read","Angina control - poor","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"5","662K200","Read","Angina control - improving","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"6","662K300","Read","Angina control - worsening","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"7","662Kz00","Read","Angina control NOS","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"8","8B27.00","Read","Antianginal therapy","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"9","G311100","Read","Unstable angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"10","G311.11","Read","Crescendo angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"11","G311.13","Read","Unstable angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"12","G311.14","Read","Angina at rest","diagnostic","83 - angina","2014-01-30",1,"Main"
"13","G311200","Read","Angina at rest","diagnostic","83 - angina","2014-01-30",1,"Main"
"14","G311300","Read","Refractory angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"15","G311400","Read","Worsening angina","diagnostic","83 - angina","2014-01-30",1,"Sensitivity"
"16","G33..00","Read","Angina pectoris","diagnostic","83 - angina","2014-01-30",1,"Main"
"17","G330.00","Read","Angina decubitus","diagnostic","83 - angina","2014-01-30",1,"Main"
"18","G330000","Read","Nocturnal angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"19","G330z00","Read","Angina decubitus NOS","diagnostic","83 - angina","2014-01-30",1,"Main"
"20","G33z.00","Read","Angina pectoris NOS","diagnostic","83 - angina","2014-01-30",1,"Main"
"21","G33z000","Read","Status anginosus","diagnostic","83 - angina","2014-01-30",1,"Main"
"22","G33z100","Read","Stenocardia","diagnostic","83 - angina","2014-01-30",1,"Main"
"23","G33z200","Read","Syncope anginosa","diagnostic","83 - angina","2014-01-30",1,"Main"
"24","G33z300","Read","Angina on effort","diagnostic","83 - angina","2014-01-30",1,"Main"
"25","G33z400","Read","Ischaemic chest pain","diagnostic","83 - angina","2014-01-30",1,"Main"
"26","G33z500","Read","Post infarct angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"27","G33z600","Read","New onset angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"28","G33z700","Read","Stable angina","diagnostic","83 - angina","2014-01-30",1,"Main"
"29","G33zz00","Read","Angina pectoris NOS","diagnostic","83 - angina","2014-01-30",1,"Main"
"30","G343.00","Read","Ischaemic cardiomyopathy","diagnostic","83 - angina","2014-01-30",1,"Main"
"31","Gyu3000","Read","[X]Other forms of angina pectoris","diagnostic","83 - angina","2014-01-30",1,"Main"
"32","4130","OXMIS","ANGINA PECTORIS WITH HYPERTENSION","diagnostic","83 - angina","2014-01-30",0,"Main"
"33","4130E","OXMIS","ANGINA EFFORT WITH HYPERTENSION","diagnostic","83 - angina","2014-01-30",0,"Main"
"34","4139","OXMIS","ANGINA PECTORIS","diagnostic","83 - angina","2014-01-30",0,"Main"
"35","4139AA","OXMIS","ANGINA ATTACK","diagnostic","83 - angina","2014-01-30",0,"Sensitivity"
"36","4139AT","OXMIS","ANGINA ATYPICAL","diagnostic","83 - angina","2014-01-30",0,"Main"
"37","4139C","OXMIS","CARDIAC ANGINA","diagnostic","83 - angina","2014-01-30",0,"Main"
"38","4139CO","OXMIS","ANGINA CRESCENDO","diagnostic","83 - angina","2014-01-30",0,"Main"
"39","4139E","OXMIS","ANGINA EFFORT","diagnostic","83 - angina","2014-01-30",0,"Main"
"40","4139M","OXMIS","SYNDROME ANGINAL","diagnostic","83 - angina","2014-01-30",0,"Main"
"41","4139N","OXMIS","ANGINA","diagnostic","83 - angina","2014-01-30",0,"Main"
"42","4139PA","OXMIS","ANGINA INVERSA","diagnostic","83 - angina","2014-01-30",0,"Main"
"43","4139U","OXMIS","UNSTABLE ANGINA","diagnostic","83 - angina","2014-01-30",0,"Main"
