"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",313001,"GPRD_product_code","MICARDIS PLUS tabs 80mg + 12.5mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"2",2350001,"GPRD_product_code","OLMETEC tabs 40mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"3",2748001,"GPRD_product_code","TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 12.5mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2020100,NA
"4",7009001,"GPRD_product_code","TELMISARTAN tabs 40mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"5",7009002,"GPRD_product_code","TELMISARTAN tabs 80mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"6",7009003,"GPRD_product_code","TELMISARTAN tabs 20mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"7",7482001,"GPRD_product_code","COZAAR tabs 50mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"8",7482002,"GPRD_product_code","COZAAR tabs 25mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"9",7483001,"GPRD_product_code","LOSARTAN tabs 50mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"10",7483002,"GPRD_product_code","LOSARTAN tabs 25mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"11",8126001,"GPRD_product_code","OLMESARTAN MEDOXOMIL tabs 40mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"12",8127001,"GPRD_product_code","OLMESARTAN MEDOXOMIL tabs 10mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"13",8131001,"GPRD_product_code","OLMETEC tabs 20mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"14",8132001,"GPRD_product_code","OLMETEC tabs 10mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"15",8138001,"GPRD_product_code","OLMESARTAN MEDOXOMIL tabs 20mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"16",8422001,"GPRD_product_code","HYDROCHLOROTHIAZIDE + LOSARTAN tabs 12.5mg + 50mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"17",8428001,"GPRD_product_code","AMIAS tabs 2mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"18",8428002,"GPRD_product_code","AMIAS tabs 4mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
"19",8428003,"GPRD_product_code","AMIAS tabs 8mg","drug","102 - Angiotensin-II receptor antagonists","2014-01-30",NA,2050502,NA
