"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","173A.00","Read","Exercise induced asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
"2","173c.00","Read","Occupational asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
"3","173d.00","Read","Work aggravated asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
"4","178..00","Read","Asthma trigger","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"5","1780.00","Read","Aspirin induced asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
"6","1O2..00","Read","Asthma confirmed","diagnostic","95 - asthma","2014-01-30",0,"Main"
"7","2126200","Read","Asthma resolved","diagnostic","95 - asthma","2014-01-30",-1,"Resolve"
"8","212G.00","Read","Asthma resolved","diagnostic","95 - asthma","2014-01-30",-1,"Resolve"
"9","663..11","Read","Asthma monitoring","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"10","663d.00","Read","Emergency asthma admission since last appointment","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"11","663e.00","Read","Asthma restricts exercise","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"12","663e000","Read","Asthma sometimes restricts exercise","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"13","663e100","Read","Asthma severely restricts exercise","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"14","663f.00","Read","Asthma never restricts exercise","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"15","663h.00","Read","Asthma - currently dormant","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"16","663j.00","Read","Asthma - currently active","diagnostic","95 - asthma","2014-01-30",0,"Main"
"17","663m.00","Read","Asthma accident and emergency attendance since last visit","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"18","663n.00","Read","Asthma treatment compliance satisfactory","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"19","663N.00","Read","Asthma disturbing sleep","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"20","663N000","Read","Asthma causing night waking","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"21","663N100","Read","Asthma disturbs sleep weekly","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"22","663N200","Read","Asthma disturbs sleep frequently","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"23","663O.00","Read","Asthma not disturbing sleep","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"24","663O000","Read","Asthma never disturbs sleep","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"25","663p.00","Read","Asthma treatment compliance unsatisfactory","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"26","663P.00","Read","Asthma limiting activities","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"27","663q.00","Read","Asthma daytime symptoms","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"28","663Q.00","Read","Asthma not limiting activities","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"29","663r.00","Read","Asthma causes night symptoms 1 to 2 times per month","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"30","663s.00","Read","Asthma never causes daytime symptoms","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"31","663t.00","Read","Asthma causes daytime symptoms 1 to 2 times per month","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"32","663u.00","Read","Asthma causes daytime symptoms 1 to 2 times per week","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"33","663U.00","Read","Asthma management plan given","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"34","663v.00","Read","Asthma causes daytime symptoms most days","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"35","663V.00","Read","Asthma severity","diagnostic","95 - asthma","2014-01-30",0,"Sensitivity"
"36","663V000","Read","Occasional asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
"37","663V100","Read","Mild asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
"38","663V200","Read","Moderate asthma","diagnostic","95 - asthma","2014-01-30",0,"Main"
