"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","16C4.00","Read","Back pain worse on sneezing","diagnostic","76 - back pain","2014-01-30","Main"
"2","16C5.00","Read","C/O - low back pain","diagnostic","76 - back pain","2014-01-30","Main"
"3","16C6.00","Read","Back pain without radiation NOS","diagnostic","76 - back pain","2014-01-30","Main"
"4","16C9.00","Read","Chronic low back pain","diagnostic","76 - back pain","2014-01-30","Main"
"5","16CA.00","Read","Mechanical low back pain","diagnostic","76 - back pain","2014-01-30","Main"
"6","1A53.12","Read","C/O - lumbar pain","diagnostic","76 - back pain","2014-01-30","Main"
"7","25C..13","Read","O/E - lumbar pain on palpation","diagnostic","76 - back pain","2014-01-30","Main"
"8","25C5.00","Read","O/E - abd. pain - R.lumbar","diagnostic","76 - back pain","2014-01-30","Main"
"9","25C7.00","Read","O/E - abd. pain - L.lumbar","diagnostic","76 - back pain","2014-01-30","Main"
"10","8HTH.00","Read","Referral to back pain clinic","diagnostic","76 - back pain","2014-01-30","Sensitivity"
"11","F350.00","Read","Sciatic nerve lesion","diagnostic","76 - back pain","2014-01-30","Sensitivity"
"12","J3A..00","Read","Sciatic hernia","diagnostic","76 - back pain","2014-01-30","Main"
"13","J3A0.00","Read","Sciatic hernia with gangrene","diagnostic","76 - back pain","2014-01-30","Main"
"14","J3A1.00","Read","Sciatic hernia with obstruction","diagnostic","76 - back pain","2014-01-30","Main"
"15","J3A2.00","Read","Sciatic hernia - irreducible","diagnostic","76 - back pain","2014-01-30","Main"
"16","J3A3.00","Read","Simple sciatic hernia","diagnostic","76 - back pain","2014-01-30","Main"
"17","J3Ay.00","Read","Unspecified sciatic hernia","diagnostic","76 - back pain","2014-01-30","Main"
"18","J3Az.00","Read","Sciatic hernia NOS","diagnostic","76 - back pain","2014-01-30","Main"
"19","N12..13","Read","Acute back pain - disc","diagnostic","76 - back pain","2014-01-30","Main"
"20","N12C400","Read","Prolapsed lumbar intervertebral disc with sciatica","diagnostic","76 - back pain","2014-01-30","Main"
"21","N140.00","Read","Spinal stenosis; excluding cervical region","diagnostic","76 - back pain","2014-01-30","Main"
"22","N140000","Read","Spinal stenosis of unspecified region","diagnostic","76 - back pain","2014-01-30","Main"
"23","N140100","Read","Thoracic spinal stenosis","diagnostic","76 - back pain","2014-01-30","Main"
"24","N140.11","Read","Spinal stenosis","diagnostic","76 - back pain","2014-01-30","Main"
"25","N140200","Read","Lumbar spinal stenosis","diagnostic","76 - back pain","2014-01-30","Main"
"26","N140300","Read","Idiopathic thoracic spinal stenosis","diagnostic","76 - back pain","2014-01-30","Main"
"27","N140400","Read","Degenerative thoracic spinal stenosis","diagnostic","76 - back pain","2014-01-30","Main"
"28","N140500","Read","Iatrogenic thoracic spinal stenosis","diagnostic","76 - back pain","2014-01-30","Main"
