"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",135001,"GPRD_product_code","CALCITARE inj 160 iu/vial","drug","104 - Bisphosphonates","2014-01-30",NA,9050102,NA
"2",137001,"GPRD_product_code","CALSYNAR inj 100 iu/ml","drug","104 - Bisphosphonates","2014-01-30",NA,6060100,NA
"3",137002,"GPRD_product_code","CALSYNAR inj 200 iu/ml","drug","104 - Bisphosphonates","2014-01-30",NA,6060100,NA
"4",236001,"GPRD_product_code","ESTRADIOL + LEVONORGESTREL - TWICE WEEKLY patch 50micrograms + 20micrograms/24 hours","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"5",327001,"GPRD_product_code","ESTRADURIN inj 40mg","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"6",327002,"GPRD_product_code","ESTRADURIN inj 80mg","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"7",397009,"GPRD_product_code","ETHINYLESTRADIOL tabs 10micrograms [UCB]","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"8",397010,"GPRD_product_code","ETHINYLESTRADIOL tabs 50micrograms [UCB]","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"9",397011,"GPRD_product_code","ETHINYLESTRADIOL tabs 1mg [UCB]","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"10",428001,"GPRD_product_code","HARMOGEN tabs 1.5mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"11",441001,"GPRD_product_code","HONVAN tabs 100mg","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"12",441002,"GPRD_product_code","HONVAN inj 276mg/5ml","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"13",441003,"GPRD_product_code","HONVAN inj 300mg/5ml","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"14",634009,"GPRD_product_code","TAMOXIFEN tabs 10mg [CP PHARM]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"15",634010,"GPRD_product_code","TAMOXIFEN tabs 20mg [CP PHARM]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"16",634011,"GPRD_product_code","TAMOXIFEN tabs 40mg [CP PHARM]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"17",635009,"GPRD_product_code","TAMOXIFEN tabs 20mg [CELLTECH]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"18",635010,"GPRD_product_code","TAMOXIFEN tabs 40mg [CELLTECH]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"19",635011,"GPRD_product_code","TAMOXIFEN tabs 10mg [CELLTECH]","drug","104 - Bisphosphonates","2014-01-30",NA,8030401,NA
"20",636009,"GPRD_product_code","TAMOXIFEN tabs 10mg [HILLCROSS]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"21",636010,"GPRD_product_code","TAMOXIFEN tabs 20mg [HILLCROSS]","drug","104 - Bisphosphonates","2014-01-30",NA,8030401,NA
"22",636011,"GPRD_product_code","TAMOXIFEN tabs 40mg [HILLCROSS]","drug","104 - Bisphosphonates","2014-01-30",NA,8030401,NA
"23",654001,"GPRD_product_code","NOLVADEX tabs 10mg","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"24",704001,"GPRD_product_code","OVESTIN tabs 250micrograms","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"25",704002,"GPRD_product_code","OVESTIN tabs 1mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"26",779001,"GPRD_product_code","PREMARIN tabs 625micrograms","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"27",779002,"GPRD_product_code","PREMARIN tabs 1.25mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"28",779003,"GPRD_product_code","PREMARIN tabs 2.5mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"29",780001,"GPRD_product_code","PREMPAK 0.625 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"30",793009,"GPRD_product_code","ETHINYLESTRADIOL tabs 20micrograms [CP PHARM]","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"31",952001,"GPRD_product_code","NORGESTIMATE + ETHINYLESTRADIOL tabs 250micrograms + 35micrograms","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"32",952002,"GPRD_product_code","NORGESTIMATE + ETHINYLESTRADIOL tabs 2mg + 10mg","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"33",963001,"GPRD_product_code","CILEST tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"34",977001,"GPRD_product_code","ZOMETA inf 4mg","drug","104 - Bisphosphonates","2014-01-30",NA,6060200,NA
"35",1088001,"GPRD_product_code","ESTRADIOL implant 25mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"36",1088002,"GPRD_product_code","ESTRADIOL implant 50mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"37",1088003,"GPRD_product_code","ESTRADIOL implant 100mg","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"38",1102001,"GPRD_product_code","MENOPHASE tabs","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"39",1107001,"GPRD_product_code","PREMPAK -C 0.625 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"40",1147001,"GPRD_product_code","DROSPIRENONE + ETHINYLESTRADIOL tabs 3mg + 30micrograms","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"41",1159001,"GPRD_product_code","PREMPAK 1.25 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"42",1160001,"GPRD_product_code","PREMPAK -C 1.25 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"43",1271001,"GPRD_product_code","MIXOGEN tabs","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"44",1300001,"GPRD_product_code","NOLVADEX -D tabs 20mg","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"45",1301001,"GPRD_product_code","NOLVADEX -FORTE tabs 40mg","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"46",1328001,"GPRD_product_code","BENZTRONE inj 1mg/ml","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"47",1328002,"GPRD_product_code","BENZTRONE inj 5mg/ml","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"48",1353009,"GPRD_product_code","TAMOXIFEN tabs 40mg [APS]","drug","104 - Bisphosphonates","2014-01-30",NA,8030401,NA
"49",1353010,"GPRD_product_code","TAMOXIFEN tabs 10mg [APS]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"50",1353011,"GPRD_product_code","TAMOXIFEN tabs 20mg [APS]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"51",1354009,"GPRD_product_code","TAMOXIFEN tabs 40mg [IVAX]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"52",1354010,"GPRD_product_code","TAMOXIFEN tabs 10mg [IVAX]","drug","104 - Bisphosphonates","2014-01-30",NA,6050100,NA
"53",1354011,"GPRD_product_code","TAMOXIFEN tabs 20mg [IVAX]","drug","104 - Bisphosphonates","2014-01-30",NA,8030401,NA
"54",1472001,"GPRD_product_code","BONEFOS caps 400mg","drug","104 - Bisphosphonates","2014-01-30",NA,6060200,NA
"55",1472002,"GPRD_product_code","BONEFOS conc soln inf 300mg/5ml","drug","104 - Bisphosphonates","2014-01-30",NA,6060200,NA
"56",1472003,"GPRD_product_code","BONEFOS tabs 800mg","drug","104 - Bisphosphonates","2014-01-30",NA,6060200,NA
"57",1531009,"GPRD_product_code","ESTRADIOL implant 25mg [ORGANON]","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"58",1531010,"GPRD_product_code","ESTRADIOL implant 50mg [ORGANON]","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"59",1531011,"GPRD_product_code","ESTRADIOL implant 100mg [ORGANON]","drug","104 - Bisphosphonates","2014-01-30",NA,6040101,NA
"60",1636009,"GPRD_product_code","DIETHYLSTILBESTROL tabs 1mg [TEVA]","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"61",1636010,"GPRD_product_code","DIETHYLSTILBESTROL tabs 5mg [TEVA]","drug","104 - Bisphosphonates","2014-01-30",NA,8030100,NA
"62",1790001,"GPRD_product_code","LOESTRIN 20 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"63",1792001,"GPRD_product_code","LOESTRIN 30 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"64",1794001,"GPRD_product_code","LOGYNON tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"65",1796001,"GPRD_product_code","OVRAN tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"66",1798001,"GPRD_product_code","OVRAN 30 tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
"67",1800001,"GPRD_product_code","OVRANETTE tabs","drug","104 - Bisphosphonates","2014-01-30",NA,7030100,NA
