"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","246..00","Read","O/E - blood pressure reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"2","2461.00","Read","O/E - BP reading very low","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"3","246..11","Read","O/E - BP reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"4","246..12","Read","O/E - blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"5","2462.00","Read","O/E - BP reading low","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"6","2463.00","Read","O/E - BP borderline low","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"7","2464.00","Read","O/E - BP reading normal","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"8","2465.00","Read","O/E - BP borderline raised","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"9","2466.00","Read","O/E - BP reading raised","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"10","2467.00","Read","O/E - BP reading very high","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"11","2468.00","Read","O/E - BP reading:postural drop","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"12","2469.00","Read","O/E - Systolic BP reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"13","246a.00","Read","Average night interval diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Sensitivity"
"14","246A.00","Read","O/E - Diastolic BP reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"15","246b.00","Read","Average night interval systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Sensitivity"
"16","246B.00","Read","O/E - BP stable","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"17","246c.00","Read","Average home diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Sensitivity"
"18","246C.00","Read","Lying blood pressure reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"19","246d.00","Read","Average home systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Sensitivity"
"20","246D.00","Read","Standing blood pressure reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"21","246e.00","Read","Ambulatory systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"22","246E.00","Read","Sitting blood pressure reading","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"23","246f.00","Read","Ambulatory diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"24","246F.00","Read","O/E - blood pressure decreased","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"25","246G.00","Read","O/E - BP labile","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"26","246J.00","Read","O/E - BP reading: no postural drop","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"27","246N.00","Read","Standing systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"28","246P.00","Read","Standing diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"29","246Q.00","Read","Sitting systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"30","246R.00","Read","Sitting diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"31","246S.00","Read","Lying systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"32","246T.00","Read","Lying diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"33","246V.00","Read","Average 24 hour diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"34","246W.00","Read","Average 24 hour systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"35","246X.00","Read","Average day interval diastolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"36","246Y.00","Read","Average day interval systolic blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"37","246Z.00","Read","O/E-blood pressure reading NOS","observation","72 - blood_pressure_measurement","2014-01-30",1,"Main"
"38","6623.00","Read","Pre-treatment BP reading","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"39","662B.00","Read","O/E - initial high BP","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"40","662C.00","Read","O/E - check high BP","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"41","662L.00","Read","24 hr blood pressure monitoring","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"42","R1y2.00","Read","[D]Raised blood pressure reading","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"43","R1y3.00","Read","[D]Low blood pressure reading","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"44","ZV70B00","Read","[V]Examination of blood pressure","observation","72 - blood_pressure_measurement","2014-01-30",0,"Sensitivity"
"45","4010C","OXMIS","BLOOD PRESSURE CHECK","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"46","4010CA","OXMIS","BP CHECKED","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"47","4010T","OXMIS","BP TAKEN","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"48","4010TL","OXMIS","BLOOD PRESSURE TAKEN LYING DOWN","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"49","4010TM","OXMIS","BP TAKEN LYING DOWN","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"50","4010TS","OXMIS","BP TAKEN STANDING","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"51","4010TT","OXMIS","BLOOD PRESSURE TAKEN STANDING","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"52","4010TU","OXMIS","BP TAKEN SITTING","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"53","4010TV","OXMIS","BLOOD PRESSURE TAKEN SITTING","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"54","D2530","OXMIS","BLOOD PRESSURE RECORDED","observation","72 - blood_pressure_measurement","2014-01-30",0,"Main"
"55","Y060 AA","OXMIS","SCREENING BLOOD PRESSURE","observation","72 - blood_pressure_measurement","2014-01-30",0,"Sensitivity"
"56","Y060 BA","OXMIS","SCREENING BLOOD PRESSURE NORMAL","observation","72 - blood_pressure_measurement","2014-01-30",0,"Sensitivity"
"57","Y060 CA","OXMIS","SCREENING BLOOD PRESSURE ABNORMAL","observation","72 - blood_pressure_measurement","2014-01-30",0,"Sensitivity"
